dataset	local_path	url	bytes	sha256	verified_date	reference_period
ahrq/meps_2024	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/ahrq/meps_2024/h256cb.pdf	https://meps.ahrq.gov/mepsweb/data_stats/download_data/pufs/h256/h256cb.pdf	3905395	c5f0de30624e7337559f9b14a535b3b20118769e2eea074ee54103cf4f168885	2026-09-05	calendar2024; 2025 interview for CPS/SIPP
ahrq/meps_2024	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/ahrq/meps_2024/h256dat.zip	https://meps.ahrq.gov/mepsweb/data_files/pufs/h256/h256dat.zip	6125956	d0779e49de4f5ff0b0fff6774167023382366a0ef0905e6a3c40126114f988c9	2026-09-05	calendar2024; 2025 interview for CPS/SIPP
ahrq/meps_2024	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/ahrq/meps_2024/h256doc.pdf	https://meps.ahrq.gov/mepsweb/data_stats/download_data/pufs/h256/h256doc.pdf	1703083	31a3adfe4131b78a34f7abddc34b890201ace8dcad4be7bdcc3c3521de50c140	2026-09-05	calendar2024; 2025 interview for CPS/SIPP
ahrq/meps_2024	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/ahrq/meps_2024/h256su.txt	https://meps.ahrq.gov/mepsweb/data_stats/download_data/pufs/h256/h256su.txt	565233	a7bd4eca49833f40df45b53aad803dfca15b1a3a9b1de03aa6e79f508c5e24be	2026-09-05	calendar2024; 2025 interview for CPS/SIPP
census/cps_asec_2025	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/census/cps_asec_2025/2025_ASEC_Replicate_Weight_Usage_Instructions.docx	https://www2.census.gov/programs-surveys/cps/datasets/2025/march/2025_ASEC_Replicate_Weight_Usage_Instructions.docx	79898	98b5a770ce9ebf71d48d240b7cdec7f60e522cde72a904682b98fc1f18e8f43d	2026-09-05	calendar2024; 2025 interview for CPS/SIPP
census/cps_asec_2025	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/census/cps_asec_2025/TY2024-tax-model-external-user-notes.pdf	https://www2.census.gov/programs-surveys/demo/guidance/income-poverty/user-note/TY2024-tax-model-external-user-notes.pdf	102188	679c6eed37be65905761f0ec4ca770de7b2ebfb8f801a9a4be1dd09b39f61914	2026-09-05	calendar2024; 2025 interview for CPS/SIPP
census/cps_asec_2025	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/census/cps_asec_2025/User-Note.pdf	https://www2.census.gov/programs-surveys/cps/datasets/2025/march/User-Note.pdf	50805	ebe274d7178b2fe643efeabffcbe181f5979244771ac3f58884fa72484bba285	2026-09-05	calendar2024; 2025 interview for CPS/SIPP
census/cps_asec_2025	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/census/cps_asec_2025/asec2025_ddl_pub_full.pdf	https://www2.census.gov/programs-surveys/cps/datasets/2025/march/asec2025_ddl_pub_full.pdf	1307738	5cb80973326ef8b625fbaae70d80b0c641ce5d2b3911abd2fb4427abd5908a6f	2026-09-05	calendar2024; 2025 interview for CPS/SIPP
census/cps_asec_2025	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/census/cps_asec_2025/asecpub25csv.zip	https://www2.census.gov/programs-surveys/cps/datasets/2025/march/asecpub25csv.zip	147271429	318845a2b5e0034eb2973898de1738f4df0025727de38499e7669cb9c0deef0b	2026-09-05	calendar2024; 2025 interview for CPS/SIPP
census/cps_asec_2025	/Volumes/2TBPNY/research-data/immigration-fiscal/data/external/stage3/census/cps_asec_2025/tax-model-methods-2022.pdf	https://www.census.gov/content/dam/Census/library/working-papers/2022/demo/sehsd-wp2022-18.pdf	379623	6fc01f44a1d994b75e756b49c0e10f48d490f276bca8149744ee9daf80e4e9ab	2026-09-05	2022 methods, TY2024 note also required
