year,block,group,nativity,institutional,population,pct,pct_adj_generic_hispanic
2010,hispanic_origin,Not Hispanic,native,1030361,33294787,3.095,3.095
2010,hispanic_origin,Not Hispanic,foreign_born,23217,3392232,0.684,0.684
2010,hispanic_origin,Mexican,native,139246,3183775,4.374,4.434
2010,hispanic_origin,Mexican,foreign_born,74868,3199209,2.34,2.34
2010,hispanic_origin,Puerto Rican,native,42628,776592,5.489,5.55
2010,hispanic_origin,Puerto Rican,foreign_born,1188,10839,10.96,10.96
2010,hispanic_origin,Cuban,native,4255,145261,2.929,2.99
2010,hispanic_origin,Cuban,foreign_born,2716,127220,2.135,2.135
2010,hispanic_origin,Dominican,native,4276,116435,3.672,3.733
2010,hispanic_origin,Dominican,foreign_born,2549,144783,1.761,1.761
2010,hispanic_origin,Guatemalan,native,1151,50561,2.276,2.337
2010,hispanic_origin,Guatemalan,foreign_born,4221,277343,1.522,1.522
2010,hispanic_origin,Honduran,native,934,26349,3.545,3.605
2010,hispanic_origin,Honduran,foreign_born,3999,169215,2.363,2.363
2010,hispanic_origin,Salvadoran,native,2212,92958,2.38,2.44
2010,hispanic_origin,Salvadoran,foreign_born,4360,312477,1.395,1.395
2010,hispanic_origin,Colombian,native,606,54715,1.108,1.168
2010,hispanic_origin,Colombian,foreign_born,1353,96185,1.407,1.407
2010,hispanic_origin,All other Hispanic,native,9684,210624,4.598,4.598
2010,hispanic_origin,All other Hispanic,foreign_born,2345,48113,4.874,4.874
2010,nh_race,NH White,native,442800,25944263,1.707,1.707
2010,nh_race,NH White,foreign_born,5105,984194,0.519,0.519
2010,nh_race,NH Black,native,522471,5313367,9.833,9.833
2010,nh_race,NH Black,foreign_born,8861,551149,1.608,1.608
2010,nh_race,NH AIAN,native,16866,265403,6.355,6.355
2010,nh_race,NH AIAN,foreign_born,66,1264,5.222,5.222
2010,nh_race,NH Asian,native,6836,813164,0.841,0.841
2010,nh_race,NH Asian,foreign_born,7308,1686542,0.433,0.433
2010,total,All,native,1239499,38224045,3.243,3.243
2010,total,All,foreign_born,123694,8139462,1.52,
2019,hispanic_origin,Not Hispanic,native,899932,35000640,2.571,2.571
2019,hispanic_origin,Not Hispanic,foreign_born,19582,3740654,0.523,0.523
2019,hispanic_origin,Mexican,native,133898,4744001,2.822,3.106
2019,hispanic_origin,Mexican,foreign_born,37670,2011181,1.873,1.873
2019,hispanic_origin,Puerto Rican,native,32586,977566,3.333,3.617
2019,hispanic_origin,Puerto Rican,foreign_born,1153,15951,7.228,7.228
2019,hispanic_origin,Cuban,native,3869,206904,1.87,2.153
2019,hispanic_origin,Cuban,foreign_born,2805,160137,1.752,1.752
2019,hispanic_origin,Dominican,native,4667,175358,2.661,2.945
2019,hispanic_origin,Dominican,foreign_born,2123,177135,1.199,1.199
2019,hispanic_origin,Guatemalan,native,1693,93409,1.812,2.096
2019,hispanic_origin,Guatemalan,foreign_born,3845,296626,1.296,1.296
2019,hispanic_origin,Honduran,native,1426,57179,2.494,2.777
2019,hispanic_origin,Honduran,foreign_born,4388,154929,2.832,2.832
2019,hispanic_origin,Salvadoran,native,3169,180444,1.756,2.039
2019,hispanic_origin,Salvadoran,foreign_born,5171,248743,2.079,2.079
2019,hispanic_origin,Colombian,native,1132,93114,1.216,1.499
2019,hispanic_origin,Colombian,foreign_born,576,108018,0.533,0.533
2019,hispanic_origin,All other Hispanic,native,28686,347199,8.262,8.262
2019,hispanic_origin,All other Hispanic,foreign_born,4480,68945,6.498,6.498
2019,nh_race,NH White,native,386961,26124509,1.481,1.481
2019,nh_race,NH White,foreign_born,4238,1013006,0.418,0.418
