country,years,suppressed_cells,lpr_total,share_employment,share_family,share_diversity,share_refugee_asylee,share_other,total,family_sponsored,employment,immediate_relatives,diversity,refugee_asylee,other
Mexico,19,0,2885300,0.05556,0.88064,0.00007,0.00523,0.05851,2885300,747816,160295,1793094,192,15088,168815
China,19,0,1339923,0.26841,0.53980,0.00035,0.18950,0.00194,1339923,257430,359649,465856,469,253914,2595
India,19,0,1331442,0.48999,0.47965,0.00062,0.02506,0.00468,1331442,249316,652406,389315,822,33370,6233
Philippines,19,4,989253,0.21102,0.78311,0.00013,0.00153,0.00421,989253,255534,208724,519048,130,1515,4165
Dominican Republic,19,8,843518,0.00771,0.98849,0.00011,0.00160,0.00209,843518,408863,6499,424579,95,1347,1761
Cuba,19,0,842929,0.00030,0.17964,0.00726,0.81217,0.00062,842929,65551,257,85874,6121,684605,521
Vietnam,19,10,594170,0.03376,0.92396,0.00006,0.03176,0.01045,594170,295011,20033,253212,38,18842,6203
Colombia,19,4,430332,0.09568,0.78054,0.00038,0.11889,0.00450,430332,61237,41157,274501,165,51138,1936
El Salvador,19,14,422787,0.07491,0.73548,0.00001,0.04934,0.14027,422787,122220,31142,183556,3,20515,58316
Korea,19,5,390189,0.57261,0.42451,0.00048,0.00039,0.00200,390189,28991,223413,136641,187,154,782
Jamaica,19,18,370633,0.04105,0.95510,0.00005,0.00159,0.00221,370633,97383,15201,256304,20,589,818
Haiti,19,8,368249,0.00813,0.84752,0.00003,0.10920,0.03511,368249,125033,2992,186795,11,40178,12919
Brazil,19,0,296279,0.33402,0.63982,0.00286,0.01464,0.00866,296279,10237,98964,179327,846,4339,2566
Pakistan,19,2,295070,0.17594,0.76058,0.00068,0.05808,0.00472,295070,94888,51901,129484,201,17133,1393
Bangladesh,19,12,262908,0.07811,0.81846,0.07890,0.02175,0.00277,262908,113249,20518,101738,20726,5713,728
Guatemala,19,8,256073,0.09750,0.63604,0.00093,0.09444,0.17110,256073,49427,24544,110689,233,23773,43071
Nigeria,19,0,252650,0.09732,0.76230,0.11513,0.02257,0.00268,252650,30417,24591,162194,29089,5703,676
Canada,19,0,251583,0.44660,0.52870,0.00428,0.00355,0.01688,251583,11078,112356,121934,1076,893,4246
United Kingdom,19,0,238440,0.43692,0.55015,0.00769,0.00198,0.00326,238440,9763,104179,121414,1834,473,777
Peru,19,6,233739,0.07760,0.85237,0.02279,0.03409,0.01315,233739,48105,18105,150775,5317,7955,3069
Iran,19,0,229452,0.14643,0.44477,0.11728,0.28976,0.00175,229452,38815,33599,63238,26911,66487,402
Venezuela,19,0,225544,0.23629,0.54913,0.04236,0.16913,0.00309,225544,13037,53294,110816,9553,38146,698
Ethiopia,19,0,218837,0.01952,0.49211,0.19949,0.28761,0.00127,218837,21913,4272,85778,43655,62940,279
Ecuador,19,10,209617,0.11092,0.83274,0.00686,0.01591,0.03357,209617,57452,23144,116304,1431,3320,7005
Ukraine,19,0,205816,0.09476,0.44321,0.18275,0.24010,0.03918,205816,12131,19504,79093,37615,49419,8064
Iraq,19,0,204974,0.02785,0.13561,0.01144,0.73043,0.09468,204974,7403,5708,20395,2345,149726,19407
Honduras,19,0,185588,0.10898,0.76916,0.00221,0.06607,0.05358,185588,38291,20226,104455,410,12262,9944
Russia,19,0,183518,0.19552,0.51109,0.13245,0.15208,0.00885,183518,7340,35885,86465,24310,27913,1625
Egypt,19,0,175110,0.09481,0.41742,0.30681,0.17839,0.00256,175110,15645,16604,57453,53729,31240,449
Nepal,19,0,171603,0.14384,0.28347,0.27156,0.29914,0.00199,171603,11927,24685,36720,46604,51336,341
Afghanistan,19,0,162740,0.01374,0.13409,0.01658,0.12315,0.71244,162740,5692,2236,16129,2699,20041,115943
Myanmar,19,8,162314,0.00958,0.13038,0.02723,0.83268,0.00013,162314,8446,1552,12681,4412,134928,21
Ghana,19,0,143700,0.04964,0.77787,0.15204,0.01787,0.00258,143700,15968,7134,95820,21849,2568,371
Thailand,19,0,135707,0.07455,0.53934,0.00892,0.36575,0.01144,135707,5732,10118,67466,1211,49638,1552
Poland,19,0,130245,0.19658,0.72598,0.06771,0.00305,0.00668,130245,23350,25605,71213,8820,397,870
Kenya,19,0,122551,0.09548,0.44639,0.20308,0.25129,0.00376,122551,6165,11702,48545,24890,30798,461
Taiwan,19,16,116825,0.38305,0.58473,0.03042,0.00053,0.00128,116825,25257,44642,42890,3545,62,149
Guyana,19,6,112393,0.02204,0.97089,0.00176,0.00250,0.00280,112393,61077,2477,48026,198,281,315
Germany,19,0,111543,0.32869,0.57030,0.08198,0.01475,0.00428,111543,3113,36666,60506,9145,1645,478
Japan,19,2,108414,0.35130,0.60700,0.03727,0.00185,0.00257,108414,2676,38079,63120,4040,201,279
Somalia,19,12,106568,0.00185,0.15774,0.00863,0.83131,0.00048,106568,1775,197,15026,919,88544,51
Albania,19,2,92978,0.02506,0.51880,0.32283,0.13164,0.00168,92978,10577,2329,37631,29998,12232,156
Turkey,19,0,92141,0.27218,0.44500,0.20691,0.07170,0.00421,92141,3869,25082,37138,19067,6607,388
Argentina,19,0,86367,0.32851,0.60455,0.01226,0.04461,0.01007,86367,3663,28376,48556,1059,3853,870
Jordan,19,0,85054,0.07119,0.81600,0.03819,0.07110,0.00353,85054,21320,6055,48084,3248,6047,300
Trinidad and Tobago,19,8,83112,0.08636,0.89647,0.00773,0.00152,0.00791,83112,17474,7169,56943,642,126,657
France,19,0,82216,0.47756,0.46231,0.04957,0.00743,0.00313,82216,2620,39268,35394,4076,611,257
Israel,19,2,81750,0.39551,0.56766,0.02075,0.01186,0.00422,81750,3465,32323,42927,1696,969,345
"Congo, Democratic Republic",19,8,81349,0.00706,0.12507,0.29134,0.57606,0.00048,81349,2903,573,7247,23644,46751,39
Yemen,19,10,81018,0.01544,0.91415,0.03405,0.03560,0.00077,81018,20271,1246,53506,2748,2873,62
Morocco,19,0,80688,0.04340,0.62168,0.32824,0.00405,0.00264,80688,6282,3502,43886,26488,327,213
Uzbekistan,19,0,79996,0.03214,0.28134,0.49616,0.18150,0.00886,79996,7308,2571,15198,39691,14519,709
Liberia,19,0,78353,0.00859,0.37157,0.19467,0.42261,0.00256,78353,5533,673,23584,15255,33117,201
Cameroon,19,0,76440,0.02572,0.43541,0.30178,0.23518,0.00191,76440,6467,1966,26816,23068,17977,146
Syria,19,4,75499,0.07244,0.52635,0.01721,0.38236,0.00165,75499,14801,5460,24874,1297,28821,124
Romania,19,2,71008,0.19621,0.64533,0.13005,0.02494,0.00348,71008,4526,13926,41276,9230,1770,247
Nicaragua,19,4,66038,0.02566,0.86454,0.00399,0.05115,0.05466,66038,15509,1690,41435,263,3369,3600
Armenia,19,2,62560,0.04651,0.40623,0.29648,0.24478,0.00599,62560,4834,2902,20514,18500,15274,374
Bhutan,19,18,62412,0.00168,0.00973,0.00390,0.98454,0.00014,62412,24,105,583,243,61402,9
Lebanon,19,4,61651,0.15344,0.78040,0.02014,0.04352,0.00250,61651,16098,9449,31959,1240,2680,154
Italy,19,0,59837,0.35260,0.56446,0.05138,0.02877,0.00279,59837,2586,21095,31184,3074,1721,167
Cambodia,19,2,59146,0.03175,0.86923,0.04688,0.03212,0.02003,59146,9809,1877,41584,2772,1899,1184
South Africa,19,4,57972,0.42018,0.46457,0.07058,0.04200,0.00266,57972,1763,24289,25092,4080,2428,154
Sudan,19,14,57033,0.00954,0.21836,0.24282,0.52837,0.00090,57033,1451,542,10951,13791,30009,51
Australia,19,12,52814,0.33559,0.55694,0.10398,0.00102,0.00247,52814,1222,17693,28141,5482,54,130
Indonesia,19,0,49635,0.18608,0.56771,0.03426,0.20105,0.01090,49635,3693,9238,24491,1701,9981,541
Bulgaria,19,4,49361,0.12922,0.54506,0.28650,0.03482,0.00440,49361,2235,6375,24655,14134,1718,217
Soviet Union (former),19,0,47840,0.08380,0.72655,0.00784,0.14443,0.03738,47840,622,4008,34129,375,6908,1788
Spain,19,4,46953,0.38755,0.48854,0.03056,0.09023,0.00312,46953,1757,18122,21087,1429,4219,146
Hong Kong,19,8,46672,0.26878,0.70874,0.01660,0.00392,0.00195,46672,19319,12535,13734,774,183,91
Malaysia,19,0,45082,0.28180,0.36867,0.01382,0.33199,0.00373,45082,3039,12707,13585,623,14970,168
Costa Rica,19,2,42062,0.11795,0.84098,0.00518,0.02599,0.00989,42062,3263,4960,32102,218,1093,416
Belarus,19,8,41544,0.12325,0.34555,0.31141,0.19488,0.02491,41544,1342,5057,12836,12777,7996,1022
Moldova,19,6,40476,0.04183,0.33271,0.26627,0.29759,0.06160,40476,1167,1684,12228,10720,11981,2480
Bolivia,19,0,37326,0.18773,0.74762,0.01709,0.03177,0.01580,37326,5483,7009,22430,638,1186,590
Sierra Leone,19,2,37154,0.02013,0.56642,0.14633,0.26302,0.00410,37154,3411,747,17603,5429,9758,152
Chile,19,0,35811,0.23575,0.70805,0.00827,0.03771,0.01022,35811,2638,8440,22711,296,1350,366
Sri Lanka,19,0,35681,0.28855,0.39135,0.18317,0.13205,0.00488,35681,3705,10290,10251,6532,4709,174
Eritrea,19,10,35423,0.01920,0.30728,0.08078,0.59212,0.00062,35423,2174,678,8675,2852,20906,22
Algeria,19,8,35191,0.04336,0.35646,0.57091,0.02693,0.00233,35191,2135,1523,10385,20052,946,82
Saudi Arabia,19,0,33744,0.22959,0.54743,0.12344,0.09572,0.00382,33744,4984,7745,13483,4164,3229,129
Bosnia and Herzegovina,19,8,32369,0.03826,0.33899,0.02344,0.59862,0.00068,32369,977,1234,9955,756,19305,22
Cabo Verde,19,26,32003,0.00576,0.99085,0.00169,0.00050,0.00119,32003,14522,184,17114,54,16,38
Georgia,19,4,30520,0.07090,0.52853,0.27557,0.12021,0.00480,30520,1594,2158,14494,8388,3659,146
Togo,19,4,30386,0.01131,0.46549,0.34946,0.17090,0.00284,30386,3032,343,11085,10598,5183,86
Ireland,19,14,29770,0.36819,0.59898,0.02954,0.00131,0.00198,29770,470,10944,17334,878,39,59
Kazakhstan,19,4,29410,0.10177,0.50422,0.22991,0.14484,0.01926,29410,834,2980,13930,6732,4241,564
Tanzania,19,4,29168,0.06026,0.31341,0.03812,0.58516,0.00306,29168,1151,1753,7967,1109,17024,89
Cote d'Ivoire,19,0,29043,0.03369,0.50863,0.18021,0.25705,0.02043,29043,2402,978,12365,5232,7463,593
Uganda,19,2,28724,0.07025,0.43195,0.09257,0.40103,0.00419,28724,1644,2011,10721,2650,11480,120
Guinea,19,0,25243,0.02023,0.45137,0.13019,0.37442,0.02379,25243,1338,511,10065,3289,9459,601
Senegal,19,0,24860,0.05424,0.78351,0.07000,0.07093,0.02131,24860,2140,1349,17346,1741,1764,530
Panama,19,2,24486,0.07647,0.89062,0.00482,0.02207,0.00601,24486,3961,1871,17829,118,540,147
Netherlands,19,12,23516,0.43933,0.51593,0.03647,0.00465,0.00363,23516,644,10301,11453,855,109,85
Uruguay,19,6,22450,0.13905,0.77856,0.00478,0.06206,0.01555,22450,784,3112,16641,107,1389,348
Laos,19,20,21787,0.02481,0.70149,0.00116,0.27097,0.00157,21787,1621,537,13560,25,5864,34
United Arab Emirates,19,2,21480,0.39147,0.42556,0.07950,0.08499,0.01849,21480,3555,8406,5583,1707,1825,397
Serbia and Montenegro,9,0,21213,0.07528,0.50262,0.07741,0.33729,0.00740,21213,833,1597,9829,1642,7155,157
Hungary,19,4,20389,0.24530,0.66380,0.07450,0.01114,0.00525,20389,594,4998,12931,1518,227,107
Kuwait,19,2,20354,0.23389,0.58590,0.04974,0.12669,0.00379,20354,4150,4754,7759,1011,2575,77
Greece,19,8,20252,0.26878,0.64142,0.07209,0.01430,0.00341,20252,1102,5432,11861,1457,289,69
Sweden,19,6,19560,0.37725,0.57292,0.03784,0.00758,0.00440,19560,538,7367,10650,739,148,86
