design,endpoint,outcome,y,x,controls,estimator,n,coef,se,lo,hi,F,hansen_J,hansen_p,ar_lo,ar_hi,ar_kind
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,first stage on Z2,341,0.6581916342305967,0.0841761913034378,0.4932062992758586,0.8231769691853348,61.14010399667508,,,,,
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,first stage on Z2_exmex,341,1.005280219419747,0.12458229411949415,0.7610989229455385,1.2494615158939555,65.11208860750524,,,,,
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,first stage on Z2_mex,341,1.4366704370242793,0.23528869965185012,0.9755045857066531,1.8978362883419055,37.28311335262296,,,,,
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,first stage on Z,341,0.28544615368882886,0.1323165841917677,0.026105648672964166,0.5447866587046936,4.653929810186467,,,,,
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,"first stage on Z+Z2, coefficient on Z",341,-0.007061630685787149,0.17576961054575596,-0.3515700673554688,0.33744680598389454,33.97113391950015,,,,,
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,"first stage on Z+Z2, coefficient on Z2",341,0.6650785746432174,0.168073305433218,0.33565489599411014,0.9945022532923247,33.97113391950015,,,,,
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,OLS,341,0.3561576932625971,0.21121291326965375,-0.05781961674592423,0.7701350032711185,,,,,,
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,reduced form on Z2,341,-0.06913292532714327,0.20923851081729944,-0.47924040652905014,0.3409745558747636,,,,,,
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,reduced form on Z2_exmex,341,-0.036530114937181224,0.28320304445431305,-0.5916080820676348,0.5185478521932723,,,,,,
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,IV with Z2,341,-0.1050346460388499,0.32469030652531755,-0.7414276468284723,0.5313583547507724,,,,-0.8570294289346424,0.4696132496047209,bounded
FG,2010 ACS,adj_week_noba,d_adj_week_noba,d_fbemp,none,IV with Z2 + baseline level,341,1.2888118610214685,0.4778993244519238,0.3521291850956979,2.225494536947239,,,,,,
