state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,157935,4645047,7,7,0
Alaska,721523,49762,671761,1,1,0
Arizona,6412700,884625,5528075,9,9,0
Arkansas,2926229,122446,2803783,4,5,1
California,37341989,9962472,27379517,53,44,-9
Colorado,5044930,479769,4565161,7,7,0
Connecticut,3581628,469180,3112448,5,5,0
Delaware,900877,72531,828346,1,1,0
Florida,18900773,3549510,15351263,27,25,-2
Georgia,9727566,909022,8818544,14,14,0
Hawaii,1366862,236177,1130685,2,2,0
Idaho,1573499,89359,1484140,2,2,0
Illinois,12864380,1736696,11127684,18,18,0
Indiana,6501582,285300,6216282,9,10,1
Iowa,3053787,124681,2929106,4,5,1
Kansas,2863813,177139,2686674,4,4,0
Kentucky,4350606,130794,4219812,6,7,1
Louisiana,4553962,157697,4396265,6,7,1
Maine,1333074,43911,1289163,2,2,0
Maryland,5789929,750533,5039396,8,8,0
Massachusetts,6559644,942255,5617389,9,9,0
Michigan,9911626,591534,9320092,14,15,1
Minnesota,5314879,366951,4947928,8,8,0
Mississippi,2978240,63518,2914722,4,5,1
Missouri,6011478,216698,5794780,8,9,1
Montana,994416,19119,975297,1,2,1
Nebraska,1831825,106298,1725527,3,3,0
Nevada,2709432,508882,2200550,4,4,0
New Hampshire,1321445,68999,1252446,2,2,0
New Jersey,8807501,1773859,7033642,12,11,-1
New Mexico,2067273,195770,1871503,3,3,0
New York,19421055,4180075,15240980,27,24,-3
North Carolina,9565781,682955,8882826,13,14,1
North Dakota,675905,15807,660098,1,1,0
Ohio,11568495,440761,11127734,16,18,2
Oklahoma,3764882,192788,3572094,5,6,1
Oregon,3848606,364898,3483708,5,6,1
Pennsylvania,12734905,704332,12030573,18,19,1
Rhode Island,1055247,133548,921699,2,2,0
South Carolina,4645975,212259,4433716,7,7,0
South Dakota,819761,18663,801098,1,1,0
Tennessee,6375431,273300,6102131,9,10,1
Texas,25268418,3913577,21354841,36,34,-2
Utah,2770765,218283,2552482,4,4,0
Vermont,630337,24837,605500,1,1,0
Virginia,8037736,848087,7189649,11,12,1
Washington,6753369,832746,5920623,10,9,-1
West Virginia,1859815,23917,1835898,3,3,0
Wisconsin,5698230,257987,5440243,8,9,1
Wyoming,568300,16712,551588,1,1,0
