state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,122911,4680071,7,7,0
Alaska,721523,21642,699881,1,1,0
Arizona,6412700,1657668,4755032,9,7,-2
Arkansas,2926229,138194,2788035,4,4,0
California,37341989,11423146,25918843,53,41,-12
Colorado,5044930,757181,4287749,7,7,0
Connecticut,3581628,50658,3530970,5,6,1
Delaware,900877,30283,870594,1,1,0
Florida,18900773,629718,18271055,27,29,2
Georgia,9727566,519502,9208064,14,14,0
Hawaii,1366862,35415,1331447,2,2,0
Idaho,1573499,148923,1424576,2,2,0
Illinois,12864380,1602403,11261977,18,18,0
Indiana,6501582,295373,6206209,9,10,1
Iowa,3053787,117090,2936697,4,5,1
Kansas,2863813,247297,2616516,4,4,0
Kentucky,4350606,82110,4268496,6,7,1
Louisiana,4553962,78643,4475319,6,7,1
Maine,1333074,5134,1327940,2,2,0
Maryland,5789929,88004,5701925,8,9,1
Massachusetts,6559644,38379,6521265,9,10,1
Michigan,9911626,317903,9593723,14,15,1
Minnesota,5314879,176007,5138872,8,8,0
Mississippi,2978240,52459,2925781,4,5,1
Missouri,6011478,147254,5864224,8,9,1
Montana,994416,20048,974368,1,2,1
Nebraska,1831825,128060,1703765,3,3,0
Nevada,2709432,540978,2168454,4,3,-1
New Hampshire,1321445,7822,1313623,2,2,0
New Jersey,8807501,217715,8589786,12,13,1
New Mexico,2067273,590890,1476383,3,2,-1
New York,19421055,457288,18963767,27,30,3
North Carolina,9565781,486960,9078821,13,14,1
North Dakota,675905,9223,666682,1,1,0
Ohio,11568495,172029,11396466,16,18,2
Oklahoma,3764882,267016,3497866,5,5,0
Oregon,3848606,369817,3478789,5,5,0
Pennsylvania,12734905,129568,12605337,18,20,2
Rhode Island,1055247,9090,1046157,2,2,0
South Carolina,4645975,138358,4507617,7,7,0
South Dakota,819761,13839,805922,1,1,0
Tennessee,6375431,186615,6188816,9,10,1
Texas,25268418,7951193,17317225,36,27,-9
Utah,2770765,258905,2511860,4,4,0
Vermont,630337,2534,627803,1,1,0
Virginia,8037736,155067,7882669,11,12,1
Washington,6753369,601768,6151601,10,10,0
West Virginia,1859815,9704,1850111,3,3,0
Wisconsin,5698230,244248,5453982,8,9,1
Wyoming,568300,37719,530581,1,1,0
