state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,493835,4309147,7,7,0
Alaska,721523,74186,647337,1,1,0
Arizona,6412700,659344,5753356,9,9,0
Arkansas,2926229,300870,2625359,4,4,0
California,37341989,3839444,33502545,53,53,0
Colorado,5044930,518712,4526218,7,7,0
Connecticut,3581628,368257,3213371,5,5,0
Delaware,900877,92627,808250,1,1,0
Florida,18900773,1943347,16957426,27,27,0
Georgia,9727566,1000173,8727393,14,14,0
Hawaii,1366862,140539,1226323,2,2,0
Idaho,1573499,161785,1411714,2,2,0
Illinois,12864380,1322695,11541685,18,18,0
Indiana,6501582,668482,5833100,9,9,0
Iowa,3053787,313986,2739801,4,4,0
Kansas,2863813,294453,2569360,4,4,0
Kentucky,4350606,447322,3903284,6,6,0
Louisiana,4553962,468231,4085731,6,6,0
Maine,1333074,137065,1196009,2,2,0
Maryland,5789929,595311,5194618,8,8,0
Massachusetts,6559644,674452,5885192,9,9,0
Michigan,9911626,1019098,8892528,14,14,0
Minnesota,5314879,546467,4768412,8,8,0
Mississippi,2978240,306218,2672022,4,4,0
Missouri,6011478,618091,5393387,8,8,0
Montana,994416,102244,892172,1,1,0
Nebraska,1831825,188345,1643480,3,3,0
Nevada,2709432,278579,2430853,4,4,0
New Hampshire,1321445,135869,1185576,2,2,0
New Jersey,8807501,905573,7901928,12,12,0
New Mexico,2067273,212554,1854719,3,3,0
New York,19421055,1996842,17424213,27,27,0
North Carolina,9565781,983538,8582243,13,13,0
North Dakota,675905,69495,606410,1,1,0
Ohio,11568495,1189454,10379041,16,16,0
Oklahoma,3764882,387099,3377783,5,5,0
Oregon,3848606,395708,3452898,5,5,0
Pennsylvania,12734905,1309383,11425522,18,18,0
Rhode Island,1055247,108499,946748,2,2,0
South Carolina,4645975,477692,4168283,7,7,0
South Dakota,819761,84287,735474,1,1,0
Tennessee,6375431,655512,5719919,9,9,0
Texas,25268418,2598058,22670360,36,36,0
Utah,2770765,284886,2485879,4,4,0
Vermont,630337,64810,565527,1,1,0
Virginia,8037736,826427,7211309,11,11,0
Washington,6753369,694371,6058998,10,10,0
West Virginia,1859815,191223,1668592,3,3,0
Wisconsin,5698230,585883,5112347,8,8,0
Wyoming,568300,58432,509868,1,1,0
