state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,89200,4713782,7,7,0
Alaska,721523,8900,712623,1,1,0
Arizona,6412700,299100,6113600,9,9,0
Arkansas,2926229,61500,2864729,4,4,0
California,37341989,2915700,34426289,53,50,-3
Colorado,5044930,177500,4867430,7,7,0
Connecticut,3581628,116800,3464828,5,5,0
Delaware,900877,18500,882377,1,1,0
Florida,18900773,785800,18114973,27,27,0
Georgia,9727566,396000,9331566,14,14,0
Hawaii,1366862,38800,1328062,2,2,0
Idaho,1573499,33000,1540499,2,2,0
Illinois,12864380,593800,12270580,18,18,0
Indiana,6501582,103200,6398382,9,9,0
Iowa,3053787,45700,3008087,4,4,0
Kansas,2863813,79700,2784113,4,4,0
Kentucky,4350606,48800,4301806,6,6,0
Louisiana,4553962,57200,4496762,6,7,1
Maine,1333074,1800,1331274,2,2,0
Maryland,5789929,237600,5552329,8,8,0
Massachusetts,6559644,171000,6388644,9,9,0
Michigan,9911626,97500,9814126,14,14,0
Minnesota,5314879,96600,5218279,8,8,0
Mississippi,2978240,25900,2952340,4,4,0
Missouri,6011478,60000,5951478,8,9,1
Montana,994416,1000,993416,1,2,1
Nebraska,1831825,37100,1794725,3,3,0
Nevada,2709432,185700,2523732,4,4,0
New Hampshire,1321445,9800,1311645,2,2,0
New Jersey,8807501,486900,8320601,12,12,0
New Mexico,2067273,80800,1986473,3,3,0
New York,19421055,916600,18504455,27,27,0
North Carolina,9565781,334900,9230881,13,14,1
North Dakota,675905,800,675105,1,1,0
Ohio,11568495,93600,11474895,16,17,1
Oklahoma,3764882,91900,3672982,5,5,0
Oregon,3848606,129600,3719006,5,5,0
Pennsylvania,12734905,151300,12583605,18,18,0
Rhode Island,1055247,24300,1030947,2,2,0
South Carolina,4645975,95800,4550175,7,7,0
South Dakota,819761,2900,816861,1,1,0
Tennessee,6375431,120400,6255031,9,9,0
Texas,25268418,1718100,23550318,36,34,-2
Utah,2770765,91500,2679265,4,4,0
Vermont,630337,1500,628837,1,1,0
Virginia,8037736,251500,7786236,11,11,0
Washington,6753369,240200,6513169,10,10,0
West Virginia,1859815,2000,1857815,3,3,0
Wisconsin,5698230,77600,5620630,8,8,0
Wyoming,568300,5200,563100,1,1,0
