state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,-96367,4899349,7,7,0
Alaska,721523,-19154,740677,1,1,0
Arizona,6412700,58426,6354274,9,9,0
Arkansas,2926229,-51276,2977505,4,4,0
California,37341989,1560442,35781547,53,50,-3
Colorado,5044930,-14116,5059046,7,7,0
Connecticut,3581628,-19600,3601228,5,5,0
Delaware,900877,-16236,917113,1,1,0
Florida,18900773,72669,18828104,27,27,0
Georgia,9727566,28645,9698921,14,14,0
Hawaii,1366862,-13482,1380344,2,2,0
Idaho,1573499,-27645,1601144,2,2,0
Illinois,12864380,110745,12753635,18,18,0
Indiana,6501582,-148685,6650267,9,9,0
Iowa,3053787,-72719,3126506,4,4,0
Kansas,2863813,-29902,2893715,4,4,0
Kentucky,4350606,-120549,4471155,6,6,0
Louisiana,4553962,-119824,4673786,6,7,1
Maine,1333074,-50608,1383682,2,2,0
Maryland,5789929,19022,5770907,8,8,0
Massachusetts,6559644,-80501,6640145,9,9,0
Michigan,9911626,-288852,10200478,14,14,0
Minnesota,5314879,-108828,5423707,8,8,0
Mississippi,2978240,-90325,3068565,4,4,0
Missouri,6011478,-174292,6185770,8,9,1
Montana,994416,-38108,1032524,1,2,1
Nebraska,1831825,-33553,1865378,3,3,0
Nevada,2709432,86348,2623084,4,4,0
New Hampshire,1321445,-41835,1363280,2,2,0
New Jersey,8807501,159343,8648158,12,12,0
New Mexico,2067273,2599,2064674,3,3,0
New York,19421055,188136,19232919,27,27,0
North Carolina,9565781,-28492,9594273,13,14,1
North Dakota,675905,-25777,701682,1,1,0
Ohio,11568495,-358132,11926627,16,17,1
Oklahoma,3764882,-52694,3817576,5,5,0
Oregon,3848606,-16806,3865412,5,5,0
Pennsylvania,12734905,-344078,13078983,18,18,0
Rhode Island,1055247,-16285,1071532,2,2,0
South Carolina,4645975,-83327,4729302,7,7,0
South Dakota,819761,-29257,849018,1,1,0
Tennessee,6375431,-125842,6501273,9,9,0
Texas,25268418,790996,24477422,36,34,-2
Utah,2770765,-13974,2784739,4,4,0
Vermont,630337,-23255,653592,1,1,0
Virginia,8037736,-55020,8092756,11,11,0
Washington,6753369,-16204,6769573,10,10,0
West Virginia,1859815,-71137,1930952,3,3,0
Wisconsin,5698230,-143667,5841897,8,8,0
Wyoming,568300,-16968,585268,1,1,0
