state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,90000,4712982,7,7,0
Alaska,721523,10000,711523,1,1,0
Arizona,6412700,325000,6087700,9,9,0
Arkansas,2926229,70000,2856229,4,4,0
California,37341989,2500000,34841989,53,51,-2
Colorado,5044930,190000,4854930,7,7,0
Connecticut,3581628,130000,3451628,5,5,0
Delaware,900877,20000,880877,1,1,0
Florida,18900773,900000,18000773,27,26,-1
Georgia,9727566,400000,9327566,14,14,0
Hawaii,1366862,40000,1326862,2,2,0
Idaho,1573499,35000,1538499,2,2,0
Illinois,12864380,500000,12364380,18,18,0
Indiana,6501582,100000,6401582,9,9,0
Iowa,3053787,45000,3008787,4,4,0
Kansas,2863813,85000,2778813,4,4,0
Kentucky,4350606,50000,4300606,6,6,0
Louisiana,4553962,65000,4488962,6,7,1
Maine,1333074,2500,1330574,2,2,0
Maryland,5789929,250000,5539929,8,8,0
Massachusetts,6559644,180000,6379644,9,9,0
Michigan,9911626,110000,9801626,14,14,0
Minnesota,5314879,90000,5224879,8,8,0
Mississippi,2978240,25000,2953240,4,4,0
Missouri,6011478,65000,5946478,8,9,1
Montana,994416,2500,991916,1,2,1
Nebraska,1831825,45000,1786825,3,3,0
Nevada,2709432,230000,2479432,4,4,0
New Hampshire,1321445,10000,1311445,2,2,0
New Jersey,8807501,475000,8332501,12,12,0
New Mexico,2067273,85000,1982273,3,3,0
New York,19421055,800000,18621055,27,27,0
North Carolina,9565781,350000,9215781,13,13,0
North Dakota,675905,2500,673405,1,1,0
Ohio,11568495,100000,11468495,16,17,1
Oklahoma,3764882,90000,3674882,5,5,0
Oregon,3848606,130000,3718606,5,5,0
Pennsylvania,12734905,150000,12584905,18,18,0
Rhode Island,1055247,35000,1020247,2,2,0
South Carolina,4645975,100000,4545975,7,7,0
South Dakota,819761,2500,817261,1,1,0
Tennessee,6375431,120000,6255431,9,9,0
Texas,25268418,1650000,23618418,36,35,-1
Utah,2770765,110000,2660765,4,4,0
Vermont,630337,2500,627837,1,1,0
Virginia,8037736,275000,7762736,11,11,0
Washington,6753369,220000,6533369,10,10,0
West Virginia,1859815,2500,1857315,3,3,0
Wisconsin,5698230,75000,5623230,8,8,0
Wyoming,568300,5000,563300,1,1,0
