state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,4802982,176238,4626744,7,7,0
Alaska,721523,26475,695048,1,1,0
Arizona,6412700,235304,6177396,9,9,0
Arkansas,2926229,107373,2818856,4,4,0
California,37341989,1370205,35971784,53,53,0
Colorado,5044930,185116,4859814,7,7,0
Connecticut,3581628,131422,3450206,5,5,0
Delaware,900877,33056,867821,1,1,0
Florida,18900773,693534,18207239,27,27,0
Georgia,9727566,356938,9370628,14,14,0
Hawaii,1366862,50155,1316707,2,2,0
Idaho,1573499,57737,1515762,2,2,0
Illinois,12864380,472038,12392342,18,18,0
Indiana,6501582,238565,6263017,9,9,0
Iowa,3053787,112054,2941733,4,4,0
Kansas,2863813,105083,2758730,4,4,0
Kentucky,4350606,159639,4190967,6,6,0
Louisiana,4553962,167100,4386862,6,6,0
Maine,1333074,48915,1284159,2,2,0
Maryland,5789929,212452,5577477,8,8,0
Massachusetts,6559644,240696,6318948,9,9,0
Michigan,9911626,363691,9547935,14,14,0
Minnesota,5314879,195021,5119858,8,8,0
Mississippi,2978240,109282,2868958,4,4,0
Missouri,6011478,220582,5790896,8,8,0
Montana,994416,36489,957927,1,1,0
Nebraska,1831825,67216,1764609,3,3,0
Nevada,2709432,99418,2610014,4,4,0
New Hampshire,1321445,48488,1272957,2,2,0
New Jersey,8807501,323177,8484324,12,12,0
New Mexico,2067273,75855,1991418,3,3,0
New York,19421055,712625,18708430,27,27,0
North Carolina,9565781,351001,9214780,13,13,0
North Dakota,675905,24801,651104,1,1,0
Ohio,11568495,424488,11144007,16,16,0
Oklahoma,3764882,138146,3626736,5,5,0
Oregon,3848606,141219,3707387,5,5,0
Pennsylvania,12734905,467287,12267618,18,18,0
Rhode Island,1055247,38721,1016526,2,2,0
South Carolina,4645975,170477,4475498,7,7,0
South Dakota,819761,30080,789681,1,1,0
Tennessee,6375431,233936,6141495,9,9,0
Texas,25268418,927185,24341233,36,36,0
Utah,2770765,101669,2669096,4,4,0
Vermont,630337,23129,607208,1,1,0
Virginia,8037736,294932,7742804,11,11,0
Washington,6753369,247804,6505565,10,10,0
West Virginia,1859815,68243,1791572,3,3,0
Wisconsin,5698230,209088,5489142,8,8,0
Wyoming,568300,20853,547447,1,1,0
