state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,668906,4361147,7,7,0
Alaska,736081,97885,638196,1,1,0
Arizona,7158923,952007,6206916,9,9,0
Arkansas,3013756,400775,2612981,4,4,0
California,39576757,5262993,34313764,52,52,0
Colorado,5782171,768924,5013247,8,8,0
Connecticut,3608298,479838,3128460,5,5,0
Delaware,990837,131763,859074,1,1,0
Florida,21570527,2868490,18702037,28,28,0
Georgia,10725274,1426268,9299006,14,14,0
Hawaii,1460137,194172,1265965,2,2,0
Idaho,1841377,244870,1596507,2,2,0
Illinois,12822739,1705192,11117547,17,17,0
Indiana,6790280,902984,5887296,9,9,0
Iowa,3192406,424532,2767874,4,4,0
Kansas,2940865,391082,2549783,4,4,0
Kentucky,4509342,599661,3909681,6,6,0
Louisiana,4661468,619891,4041577,6,6,0
Maine,1363582,181332,1182250,2,2,0
Maryland,6185278,822530,5362748,8,8,0
Massachusetts,7033469,935324,6098145,9,9,0
Michigan,10084442,1341048,8743394,13,13,0
Minnesota,5709752,759294,4950458,8,8,0
Mississippi,2963914,394147,2569767,4,4,0
Missouri,6160281,819206,5341075,8,8,0
Montana,1085407,144340,941067,2,2,0
Nebraska,1963333,261088,1702245,3,3,0
Nevada,3108462,413369,2695093,4,4,0
New Hampshire,1379089,183394,1195695,2,2,0
New Jersey,9294493,1236000,8058493,12,12,0
New Mexico,2120220,281951,1838269,3,3,0
New York,20215751,2688329,17527422,26,26,0
North Carolina,10453948,1390186,9063762,14,14,0
North Dakota,779702,103686,676016,1,1,0
Ohio,11808848,1570363,10238485,15,15,0
Oklahoma,3963516,527076,3436440,5,5,0
Oregon,4241500,564043,3677457,6,6,0
Pennsylvania,13011844,1730340,11281504,17,17,0
Rhode Island,1098163,146036,952127,2,2,0
South Carolina,5124712,681494,4443218,7,7,0
South Dakota,887770,118057,769713,1,1,0
Tennessee,6916897,919822,5997075,9,9,0
Texas,29183290,3880850,25302440,38,38,0
Utah,3275252,435549,2839703,4,4,0
Vermont,643503,85574,557929,1,1,0
Virginia,8654542,1150898,7503644,11,11,0
Washington,7715946,1026081,6689865,10,10,0
West Virginia,1795045,238709,1556336,2,2,0
Wisconsin,5897473,784257,5113216,8,8,0
Wyoming,577719,76826,500893,1,1,0
