state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,-577673,5607726,7,7,0
Alaska,736081,-46762,782843,1,1,0
Arizona,7158923,-5071,7163994,9,9,0
Arkansas,3013756,-291382,3305138,4,4,0
California,39576757,5998520,33578237,52,44,-8
Colorado,5782171,-264597,6046768,8,8,0
Connecticut,3608298,47918,3560380,5,5,0
Delaware,990837,-46862,1037699,1,1,0
Florida,21570527,1778274,19792253,28,26,-2
Georgia,10725274,-413187,11138461,14,14,0
Hawaii,1460137,75546,1384591,2,2,0
Idaho,1841377,-163605,2004982,2,3,1
Illinois,12822739,78285,12744454,17,17,0
Indiana,6790280,-631067,7421347,9,10,1
Iowa,3192406,-293197,3485603,4,5,1
Kansas,2940865,-215743,3156608,4,4,0
Kentucky,4509342,-488269,4997611,6,7,1
Louisiana,4661468,-492320,5153788,6,7,1
Maine,1363582,-153622,1517204,2,2,0
Maryland,6185278,107883,6077395,8,8,0
Massachusetts,7033469,257878,6775591,9,9,0
Michigan,10084442,-754773,10839215,13,14,1
Minnesota,5709752,-332873,6042625,8,8,0
Mississippi,2963914,-374774,3338688,4,4,0
Missouri,6160281,-649202,6809483,8,9,1
Montana,1085407,-139580,1224987,2,2,0
Nebraska,1963333,-136643,2099976,3,3,0
Nevada,3108462,201194,2907268,4,4,0
New Hampshire,1379089,-116228,1495317,2,2,0
New Jersey,9294493,896028,8398465,12,11,-1
New Mexico,2120220,-102337,2222557,3,3,0
New York,20215751,1942102,18273649,26,24,-2
North Carolina,10453948,-643105,11097053,14,14,0
North Dakota,779702,-82233,861935,1,1,0
Ohio,11808848,-1185280,12994128,15,17,2
Oklahoma,3963516,-333631,4297147,5,6,1
Oregon,4241500,-177823,4419323,6,6,0
Pennsylvania,13011844,-961326,13973170,17,18,1
Rhode Island,1098163,2617,1095546,2,2,0
South Carolina,5124712,-482448,5607160,7,7,0
South Dakota,887770,-95899,983669,1,1,0
Tennessee,6916897,-660236,7577133,9,10,1
Texas,29183290,1086600,28096690,38,37,-1
Utah,3275252,-197241,3472493,4,5,1
Vermont,643503,-65865,709368,1,1,0
Virginia,8654542,-95048,8749590,11,11,0
Washington,7715946,73330,7642616,10,10,0
West Virginia,1795045,-241200,2036245,2,3,1
Wisconsin,5897473,-568697,6466170,8,8,0
Wyoming,577719,-66379,644098,1,1,0
