state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,77082,4952971,7,7,0
Alaska,736081,6573,729508,1,1,0
Arizona,7158923,806186,6352737,9,9,0
Arkansas,3013756,98599,2915157,4,4,0
California,39576757,6135126,33441631,52,46,-6
Colorado,5782171,344149,5438022,8,8,0
Connecticut,3608298,43954,3564344,5,5,0
Delaware,990837,23130,967707,1,1,0
Florida,21570527,420279,21150248,28,29,1
Georgia,10725274,372243,10353031,14,14,0
Hawaii,1460137,8078,1452059,2,2,0
Idaho,1841377,81750,1759627,2,2,0
Illinois,12822739,941721,11881018,17,16,-1
Indiana,6790280,168565,6621715,9,9,0
Iowa,3192406,66129,3126277,4,4,0
Kansas,2940865,129258,2811607,4,4,0
Kentucky,4509342,47068,4462274,6,6,0
Louisiana,4661468,42125,4619343,6,6,0
Maine,1363582,1109,1362473,2,2,0
Maryland,6185278,54984,6130294,8,8,0
Massachusetts,7033469,20438,7013031,9,10,1
Michigan,10084442,121808,9962634,13,14,1
Minnesota,5709752,98146,5611606,8,8,0
Mississippi,2963914,32166,2931748,4,4,0
Missouri,6160281,63999,6096282,8,8,0
Montana,1085407,2961,1082446,2,2,0
Nebraska,1963333,77928,1885405,3,3,0
Nevada,3108462,347269,2761193,4,4,0
New Hampshire,1379089,3587,1375502,2,2,0
New Jersey,9294493,163433,9131060,12,13,1
New Mexico,2120220,202256,1917964,3,3,0
New York,20215751,325187,19890564,26,28,2
North Carolina,10453948,361404,10092544,14,14,0
North Dakota,779702,4324,775378,1,1,0
Ohio,11808848,70071,11738777,15,16,1
Oklahoma,3963516,173507,3790009,5,5,0
Oregon,4241500,224381,4017119,6,6,0
Pennsylvania,13011844,83380,12928464,17,18,1
Rhode Island,1098163,4977,1093186,2,2,0
South Carolina,5124712,100621,5024091,7,7,0
South Dakota,887770,5746,882024,1,1,0
Tennessee,6916897,146743,6770154,9,9,0
Texas,29183290,3827338,25355952,38,35,-3
Utah,3275252,161772,3113480,4,4,0
Vermont,643503,1116,642387,1,1,0
Virginia,8654542,91775,8562767,11,12,1
Washington,7715946,394130,7321816,10,10,0
West Virginia,1795045,3096,1791949,2,3,1
Wisconsin,5897473,137525,5759948,8,8,0
Wyoming,577719,12723,564996,1,1,0
