state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,-444326,5474379,7,7,0
Alaska,736081,-61107,797188,1,1,0
Arizona,7158923,1197539,5961384,9,8,-1
Arkansas,3013756,-173209,3186965,4,4,0
California,39576757,8879869,30696888,52,40,-12
Colorado,5782171,278671,5503500,8,7,-1
Connecticut,3608298,-371276,3979574,5,5,0
Delaware,990837,-78543,1069380,1,1,0
Florida,21570527,-1824903,23395430,28,31,3
Georgia,10725274,-662395,11387669,14,15,1
Hawaii,1460137,-129066,1589203,2,2,0
Idaho,1841377,-11003,1852380,2,2,0
Illinois,12822739,427106,12395633,17,16,-1
Indiana,6790280,-403797,7194077,9,9,0
Iowa,3192406,-221396,3413802,4,5,1
Kansas,2940865,-30902,2971767,4,4,0
Kentucky,4509342,-429036,4938378,6,7,1
Louisiana,4661468,-449291,5110759,6,7,1
Maine,1363582,-157463,1521045,2,2,0
Maryland,6185278,-624130,6809408,8,9,1
Massachusetts,7033469,-795749,7829218,9,10,1
Michigan,10084442,-796345,10880787,13,14,1
Minnesota,5709752,-452541,6162293,8,8,0
Mississippi,2963914,-296167,3260081,4,4,0
Missouri,6160281,-537356,6697637,8,9,1
Montana,1085407,-99950,1185357,2,2,0
Nebraska,1963333,-58978,2022311,3,3,0
Nevada,3108462,328689,2779773,4,4,0
New Hampshire,1379089,-156054,1535143,2,2,0
New Jersey,9294493,-845310,10139803,12,13,1
New Mexico,2120220,495725,1624495,3,2,-1
New York,20215751,-1896581,22112332,26,29,3
North Carolina,10453948,-636439,11090387,14,15,1
North Dakota,779702,-70866,850568,1,1,0
Ohio,11808848,-1186652,12995500,15,17,2
Oklahoma,3963516,-84196,4047712,5,5,0
Oregon,4241500,-13961,4255461,6,6,0
Pennsylvania,13011844,-1400161,14412005,17,19,2
Rhode Island,1098163,-120595,1218758,2,2,0
South Carolina,5124712,-437522,5562234,7,7,0
South Dakota,887770,-84818,972588,1,1,0
Tennessee,6916897,-552317,7469214,9,10,1
Texas,29183290,6585407,22597883,38,30,-8
Utah,3275252,-31473,3306725,4,4,0
Vermont,643503,-74103,717606,1,1,0
Virginia,8654542,-828933,9483475,11,13,2
Washington,7715946,-57714,7773660,10,10,0
West Virginia,1795045,-203807,1998852,2,3,1
Wisconsin,5897473,-379425,6276898,8,8,0
Wyoming,577719,-23143,600862,1,1,0
