state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,124956,4905097,7,7,0
Alaska,736081,28634,707447,1,1,0
Arizona,7158923,1982168,5176755,9,8,-1
Arkansas,3013756,167313,2846443,4,4,0
California,39576757,12635258,26941499,52,40,-12
Colorado,5782171,891760,4890411,8,7,-1
Connecticut,3608298,63563,3544735,5,5,0
Delaware,990837,34018,956819,1,1,0
Florida,21570527,709870,20860657,28,31,3
Georgia,10725274,558421,10166853,14,15,1
Hawaii,1460137,47164,1412973,2,2,0
Idaho,1841377,188699,1652678,2,2,0
Illinois,12822739,1709245,11113494,17,16,-1
Indiana,6790280,340483,6449797,9,10,1
Iowa,3192406,148372,3044034,4,5,1
Kansas,2940865,285350,2655515,4,4,0
Kentucky,4509342,90537,4418805,6,7,1
Louisiana,4661468,88174,4573294,6,7,1
Maine,1363582,7122,1356460,2,2,0
Maryland,6185278,97574,6087704,8,9,1
Massachusetts,7033469,47720,6985749,9,10,1
Michigan,10084442,371361,9713081,13,14,1
Minnesota,5709752,204270,5505482,8,8,0
Mississippi,2963914,54717,2909197,4,4,0
Missouri,6160281,176154,5984127,8,9,1
Montana,1085407,28858,1056549,2,2,0
Nebraska,1963333,155339,1807994,3,3,0
Nevada,3108462,656491,2451971,4,4,0
New Hampshire,1379089,9190,1369899,2,2,0
New Jersey,9294493,215699,9078794,12,13,1
New Mexico,2120220,668593,1451627,3,2,-1
New York,20215751,464480,19751271,26,29,3
North Carolina,10453948,542666,9911282,14,15,1
North Dakota,779702,19558,760144,1,1,0
Ohio,11808848,206126,11602722,15,17,2
Oklahoma,3963516,346321,3617195,5,5,0
Oregon,4241500,445523,3795977,6,6,0
Pennsylvania,13011844,158266,12853578,17,19,2
Rhode Island,1098163,10956,1087207,2,2,0
South Carolina,5124712,152356,4972356,7,7,0
South Dakota,887770,22056,865714,1,1,0
Tennessee,6916897,227090,6689807,9,10,1
Texas,29183290,9530419,19652871,38,29,-9
Utah,3275252,314819,2960433,4,4,0
Vermont,643503,3739,639764,1,1,0
Virginia,8654542,184600,8469942,11,13,2
Washington,7715946,760663,6955283,10,10,0
West Virginia,1795045,11650,1783395,2,3,1
Wisconsin,5897473,289231,5608242,8,8,0
Wyoming,577719,45354,532365,1,1,0
