state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,554840,4475213,7,7,0
Alaska,736081,81193,654888,1,1,0
Arizona,7158923,789666,6369257,9,9,0
Arkansas,3013756,332433,2681323,4,4,0
California,39576757,4365518,35211239,52,52,0
Colorado,5782171,637803,5144368,8,8,0
Connecticut,3608298,398014,3210284,5,5,0
Delaware,990837,109294,881543,1,1,0
Florida,21570527,2379339,19191188,28,28,0
Georgia,10725274,1183052,9542222,14,14,0
Hawaii,1460137,161061,1299076,2,2,0
Idaho,1841377,203113,1638264,2,2,0
Illinois,12822739,1414413,11408326,17,17,0
Indiana,6790280,749002,6041278,9,9,0
Iowa,3192406,352139,2840267,4,4,0
Kansas,2940865,324392,2616473,4,4,0
Kentucky,4509342,497403,4011939,6,6,0
Louisiana,4661468,514184,4147284,6,6,0
Maine,1363582,150410,1213172,2,2,0
Maryland,6185278,682268,5503010,8,8,0
Massachusetts,7033469,775827,6257642,9,9,0
Michigan,10084442,1112365,8972077,13,13,0
Minnesota,5709752,629815,5079937,8,8,0
Mississippi,2963914,326935,2636979,4,4,0
Missouri,6160281,679510,5480771,8,8,0
Montana,1085407,119726,965681,2,2,0
Nebraska,1963333,216566,1746767,3,3,0
Nevada,3108462,342879,2765583,4,4,0
New Hampshire,1379089,152121,1226968,2,2,0
New Jersey,9294493,1025230,8269263,12,12,0
New Mexico,2120220,233871,1886349,3,3,0
New York,20215751,2229900,17985851,26,26,0
North Carolina,10453948,1153124,9300824,14,14,0
North Dakota,779702,86005,693697,1,1,0
Ohio,11808848,1302576,10506272,15,15,0
Oklahoma,3963516,437196,3526320,5,5,0
Oregon,4241500,467859,3773641,6,6,0
Pennsylvania,13011844,1435273,11576571,17,17,0
Rhode Island,1098163,121133,977030,2,2,0
South Carolina,5124712,565282,4559430,7,7,0
South Dakota,887770,97926,789844,1,1,0
Tennessee,6916897,762969,6153928,9,9,0
Texas,29183290,3219065,25964225,38,38,0
Utah,3275252,361277,2913975,4,4,0
Vermont,643503,70982,572521,1,1,0
Virginia,8654542,954640,7699902,11,11,0
Washington,7715946,851108,6864838,10,10,0
West Virginia,1795045,198003,1597042,2,2,0
Wisconsin,5897473,650521,5246952,8,8,0
Wyoming,577719,63725,513994,1,1,0
