state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,165901,4864152,7,7,0
Alaska,736081,24277,711804,1,1,0
Arizona,7158923,236116,6922807,9,9,0
Arkansas,3013756,99400,2914356,4,4,0
California,39576757,1305323,38271434,52,52,0
Colorado,5782171,190708,5591463,8,8,0
Connecticut,3608298,119009,3489289,5,5,0
Delaware,990837,32680,958157,1,1,0
Florida,21570527,711440,20859087,28,28,0
Georgia,10725274,353742,10371532,14,14,0
Hawaii,1460137,48158,1411979,2,2,0
Idaho,1841377,60732,1780645,2,2,0
Illinois,12822739,422920,12399819,17,17,0
Indiana,6790280,223957,6566323,9,9,0
Iowa,3192406,105292,3087114,4,4,0
Kansas,2940865,96996,2843869,4,4,0
Kentucky,4509342,148727,4360615,6,6,0
Louisiana,4661468,153745,4507723,6,6,0
Maine,1363582,44974,1318608,2,2,0
Maryland,6185278,204003,5981275,8,8,0
Massachusetts,7033469,231978,6801491,9,9,0
Michigan,10084442,332606,9751836,13,13,0
Minnesota,5709752,188319,5521433,8,8,0
Mississippi,2963914,97756,2866158,4,4,0
Missouri,6160281,203179,5957102,8,8,0
Montana,1085407,35799,1049608,2,2,0
Nebraska,1963333,64755,1898578,3,3,0
Nevada,3108462,102523,3005939,4,4,0
New Hampshire,1379089,45485,1333604,2,2,0
New Jersey,9294493,306551,8987942,12,12,0
New Mexico,2120220,69929,2050291,3,3,0
New York,20215751,666757,19548994,26,26,0
North Carolina,10453948,344793,10109155,14,14,0
North Dakota,779702,25716,753986,1,1,0
Ohio,11808848,389480,11419368,15,15,0
Oklahoma,3963516,130725,3832791,5,5,0
Oregon,4241500,139893,4101607,6,6,0
Pennsylvania,13011844,429157,12582687,17,17,0
Rhode Island,1098163,36220,1061943,2,2,0
South Carolina,5124712,169024,4955688,7,7,0
South Dakota,887770,29280,858490,1,1,0
Tennessee,6916897,228133,6688764,9,9,0
Texas,29183290,962525,28220765,38,38,0
Utah,3275252,108025,3167227,4,4,0
Vermont,643503,21224,622279,1,1,0
Virginia,8654542,285445,8369097,11,11,0
Washington,7715946,254488,7461458,10,10,0
West Virginia,1795045,59204,1735841,2,2,0
Wisconsin,5897473,194511,5702962,8,8,0
Wyoming,577719,19054,558665,1,1,0
