state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,-123032,5153085,7,7,0
Alaska,736081,-20782,756863,1,1,0
Arizona,7158923,283886,6875037,9,9,0
Arkansas,3013756,-40500,3054256,4,4,0
California,39576757,2748230,36828527,52,48,-4
Colorado,5782171,25925,5756246,8,8,0
Connecticut,3608298,-94024,3702322,5,5,0
Delaware,990837,-18680,1009517,1,1,0
Florida,21570527,-468975,22039502,28,29,1
Georgia,10725274,-125690,10850964,14,14,0
Hawaii,1460137,-44516,1504653,2,2,0
Idaho,1841377,-9719,1851096,2,2,0
Illinois,12822739,206964,12615775,17,16,-1
Indiana,6790280,-126510,6916790,9,9,0
Iowa,3192406,-65945,3258351,4,4,0
Kansas,2940865,-15577,2956442,4,4,0
Kentucky,4509342,-122953,4632295,6,6,0
Louisiana,4661468,-131160,4792628,6,6,0
Maine,1363582,-45779,1409361,2,2,0
Maryland,6185278,-175974,6361252,8,8,0
Massachusetts,7033469,-226229,7259698,9,10,1
Michigan,10084442,-263445,10347887,13,14,1
Minnesota,5709752,-132970,5842722,8,8,0
Mississippi,2963914,-80002,3043916,4,4,0
Missouri,6160281,-167958,6328239,8,8,0
Montana,1085407,-35079,1120486,2,2,0
Nebraska,1963333,-17375,1980708,3,3,0
Nevada,3108462,123530,2984932,4,4,0
New Hampshire,1379089,-44683,1423772,2,2,0
New Jersey,9294493,-211773,9506266,12,12,0
New Mexico,2120220,61735,2058485,3,3,0
New York,20215751,-473161,20688912,26,27,1
North Carolina,10453948,-128074,10582022,14,14,0
North Dakota,779702,-23787,803489,1,1,0
Ohio,11808848,-357244,12166092,15,16,1
Oklahoma,3963516,-26507,3990023,5,5,0
Oregon,4241500,744,4240756,6,6,0
Pennsylvania,13011844,-388212,13400056,17,18,1
Rhode Island,1098163,-34205,1132368,2,2,0
South Carolina,5124712,-110014,5234726,7,7,0
South Dakota,887770,-26520,914290,1,1,0
Tennessee,6916897,-143613,7060510,9,9,0
Texas,29183290,1533237,27650053,38,36,-2
Utah,3275252,-10019,3285271,4,4,0
Vermont,643503,-21213,664716,1,1,0
Virginia,8654542,-236487,8891029,11,12,1
Washington,7715946,-13541,7729487,10,10,0
West Virginia,1795045,-59215,1854260,2,2,0
Wisconsin,5897473,-111695,6009168,8,8,0
Wyoming,577719,-11417,589136,1,1,0
