state,pop_base,removed,pop_cf,seats_base,seats_cf,delta
Alabama,5030053,-101090,5131143,7,7,0
Alaska,736081,-18696,754777,1,1,0
Arizona,7158923,26067,7132856,9,9,0
Arkansas,3013756,-25413,3039169,4,4,0
California,39576757,627196,38949561,52,51,-1
Colorado,5782171,-22226,5804397,8,8,0
Connecticut,3608298,27585,3580713,5,5,0
Delaware,990837,-1143,991980,1,1,0
Florida,21570527,230025,21340502,28,28,0
Georgia,10725274,13715,10711559,14,14,0
Hawaii,1460137,-6030,1466167,2,2,0
Idaho,1841377,-23548,1864925,2,2,0
Illinois,12822739,-2647,12825386,17,17,0
Indiana,6790280,-106522,6896802,9,9,0
Iowa,3192406,-57014,3249420,4,4,0
Kansas,2940865,-17889,2958754,4,4,0
Kentucky,4509342,-89375,4598717,6,6,0
Louisiana,4661468,-78819,4740287,6,6,0
Maine,1363582,-39035,1402617,2,2,0
Maryland,6185278,83435,6101843,8,8,0
Massachusetts,7033469,81754,6951715,9,9,0
Michigan,10084442,-202969,10287411,13,13,0
Minnesota,5709752,-92148,5801900,8,8,0
Mississippi,2963914,-75418,3039332,4,4,0
Missouri,6160281,-132561,6292842,8,8,0
Montana,1085407,-32599,1118006,2,2,0
Nebraska,1963333,-17177,1980510,3,3,0
Nevada,3108462,95406,3013056,4,4,0
New Hampshire,1379089,-29213,1408302,2,2,0
New Jersey,9294493,163331,9131162,12,12,0
New Mexico,2120220,-11938,2132158,3,3,0
New York,20215751,-35788,20251539,26,27,1
North Carolina,10453948,-3301,10457249,14,14,0
North Dakota,779702,-20110,799812,1,1,0
Ohio,11808848,-258860,12067708,15,16,1
Oklahoma,3963516,-40711,4004227,5,5,0
Oregon,4241500,-13587,4255087,6,6,0
Pennsylvania,13011844,-194611,13206455,17,17,0
Rhode Island,1098163,5703,1092460,2,2,0
South Carolina,5124712,-68024,5192736,7,7,0
South Dakota,887770,-18450,906220,1,1,0
Tennessee,6916897,-79654,6996551,9,9,0
Texas,29183290,705967,28477323,38,37,-1
Utah,3275252,-8079,3283331,4,4,0
Vermont,643503,-18276,661779,1,1,0
Virginia,8654542,3401,8651141,11,11,0
Washington,7715946,59634,7656312,10,10,0
West Virginia,1795045,-55600,1850645,2,2,0
Wisconsin,5897473,-108557,6006030,8,8,0
Wyoming,577719,-16144,593863,1,1,0
