arm,house_size,seats_moved,gainers,losers
2020_mexico_born,435,7,Florida +1; Massachusetts +1; Michigan +1; New York +1; Ohio +1; Pennsylvania +1; Virginia +1,California -4; Illinois -1; Texas -2
2020_mexico_born,436,6,Florida +1; Massachusetts +1; Michigan +1; Ohio +1; Pennsylvania +1; Virginia +1,California -4; Texas -2
2020_mexico_born,437,6,Florida +1; Massachusetts +1; Michigan +1; New Jersey +1; Pennsylvania +1; Virginia +1,California -4; Texas -2
2020_mexico_born,438,6,Florida +1; Massachusetts +1; Michigan +1; New Jersey +1; Pennsylvania +1; Virginia +1,California -3; Texas -3
2020_mexico_born,440,6,Massachusetts +1; Michigan +1; New Jersey +1; Pennsylvania +1; Virginia +1; West Virginia +1,Arizona -1; California -3; Texas -2
2020_mexico_born,450,8,Florida +1; Louisiana +1; Maryland +1; Missouri +1; New York +1; Ohio +1; Tennessee +1; West Virginia +1,Arizona -1; California -4; Texas -3
2020_mexico_born,500,8,Connecticut +1; Florida +1; Maryland +1; Michigan +1; Mississippi +1; Missouri +1; New York +1; Tennessee +1,Arizona -1; California -5; Texas -2
2020_mexican_origin,435,24,Florida +3; Georgia +1; Iowa +1; Kentucky +1; Louisiana +1; Maryland +1; Massachusetts +1; Michigan +1; Missouri +1; New Jersey +1; New York +3; North Carolina +1; Ohio +2; Pennsylvania +2; Tennessee +1; Virginia +2; West Virginia +1,Arizona -1; California -12; Colorado -1; Illinois -1; New Mexico -1; Texas -8
2020_mexican_origin,436,24,Florida +3; Georgia +1; Indiana +1; Iowa +1; Kentucky +1; Louisiana +1; Maryland +1; Massachusetts +1; Michigan +1; Missouri +1; New Jersey +1; New York +2; North Carolina +1; Ohio +2; Pennsylvania +2; Tennessee +1; Virginia +2; West Virginia +1,Arizona -1; California -12; Colorado -1; Illinois -1; New Mexico -1; Texas -8
2020_mexican_origin,437,23,Florida +3; Georgia +1; Indiana +1; Iowa +1; Kentucky +1; Louisiana +1; Maryland +1; Massachusetts +1; Michigan +1; Missouri +1; New Jersey +1; New York +2; North Carolina +1; Ohio +1; Pennsylvania +2; Tennessee +1; Virginia +2; West Virginia +1,Arizona -1; California -11; Colorado -1; Illinois -1; New Mexico -1; Texas -8
2020_mexican_origin,438,24,Florida +3; Georgia +1; Idaho +1; Indiana +1; Iowa +1; Kentucky +1; Louisiana +1; Maryland +1; Massachusetts +1; Michigan +1; Missouri +1; New Jersey +1; New York +2; North Carolina +1; Ohio +1; Pennsylvania +2; Tennessee +1; Virginia +2; West Virginia +1,Arizona -1; California -11; Colorado -1; Illinois -1; New Mexico -1; Texas -9
2020_mexican_origin,440,25,Delaware +1; Florida +2; Georgia +1; Idaho +1; Indiana +1; Iowa +1; Kentucky +1; Louisiana +1; Maryland +1; Massachusetts +1; Michigan +1; Missouri +1; New Jersey +2; New York +2; North Carolina +1; Ohio +1; Pennsylvania +2; Tennessee +1; Virginia +2; West Virginia +1,Arizona -2; California -11; Colorado -1; Illinois -1; New Mexico -1; Texas -9
2020_mexican_origin,450,26,Delaware +1; Florida +3; Indiana +1; Iowa +1; Kentucky +1; Louisiana +1; Maryland +1; Massachusetts +1; Michigan +1; Missouri +1; New Jersey +1; New York +3; North Carolina +1; Ohio +2; Pennsylvania +1; South Carolina +1; Tennessee +1; Virginia +1; Washington +1; West Virginia +1; Wisconsin +1,Arizona -2; California -13; Colorado -1; New Mexico -1; Texas -9
2020_mexican_origin,500,27,Connecticut +1; Florida +3; Georgia +1; Indiana +1; Kansas +1; Louisiana +1; Maryland +1; Massachusetts +1; Michigan +1; Mississippi +1; Missouri +1; New Jersey +1; New York +4; North Carolina +1; Ohio +2; Pennsylvania +2; South Dakota +1; Tennessee +1; Virginia +1; Wisconsin +1,Arizona -2; California -13; Colorado -1; Nevada -1; Texas -10
