state,pop_2020_app,seats_2020_official,pop_est2024,seats_est2024,pop_proj2030,seats_proj2030,pop_proj2030_nomex,seats_proj2030_nomex,mex_share_2020,delta_2030_vs_2020,delta_nomex_vs_2030
Alabama,5030053,7,5157699,7,5336819,7,5179588,7,0.02946151859632493,0,0
Alaska,736081,1,740133,1,750362,1,724697,1,0.03420411612308971,0,0
Arizona,7158923,9,7582384,10,8150554,10,6052531,8,0.2574086912235262,1,-2
Arkansas,3013756,4,3088354,4,3194453,4,3012424,4,0.05698271525631139,0,0
California,39576757,52,39431263,50,39300889,48,27183598,38,0.3083210430809174,-4,-10
Colorado,5782171,8,5957493,8,6202391,8,5264506,7,0.15121344560719494,0,-1
Connecticut,3608298,5,3675069,5,3811849,5,3749042,5,0.016476743328849224,0,0
Delaware,990837,1,1051917,1,1138151,1,1095419,2,0.03754502506466755,0,1
Florida,21570527,28,23372215,30,25931224,32,25080935,35,0.03279015853437424,4,3
Georgia,10725274,14,11180878,14,11824864,15,11196261,16,0.05315938781610614,1,1
Hawaii,1460137,2,1446146,2,1438806,2,1396492,2,0.029408884234835498,0,0
Idaho,1841377,2,2001619,3,2220412,3,1991918,3,0.10290614035040081,1,0
Illinois,12822739,17,12710158,16,12582321,15,10846737,15,0.1379383141152604,-2,0
Indiana,6790280,9,6924275,9,7116581,9,6723714,9,0.05520449819447799,0,0
Iowa,3192406,4,3241488,4,3313862,4,3160131,4,0.0463904027244655,0,0
Kansas,2940865,4,2970606,4,3017230,4,2718933,4,0.09886444974522803,0,0
Kentucky,4509342,6,4588372,6,4703450,6,4593441,6,0.02338899999157305,0,0
Louisiana,4661468,6,4597740,6,4519309,6,4418605,6,0.022283109097820688,0,0
Maine,1363582,2,1405012,2,1463146,2,1455456,2,0.005256009539580311,0,0
Maryland,6185278,8,6263220,8,6385817,8,6269271,9,0.018250756069492755,0,1
Massachusetts,7033469,9,7136171,9,7339682,9,7285788,10,0.007342891537589773,0,1
Michigan,10084442,13,10140459,13,10237858,13,9850720,14,0.037814387746986894,0,1
Minnesota,5709752,8,5793151,7,5911624,7,5689608,8,0.0375559218684104,-1,1
Mississippi,2963914,4,2943045,4,2920777,4,2864914,4,0.019126061012566493,0,0
Missouri,6160281,8,6245466,8,6375879,8,6181752,9,0.03044715005695357,0,1
Montana,1085407,2,1137233,2,1209112,2,1177534,2,0.02611647059582258,0,0
Nebraska,1963333,3,2005465,3,2065952,3,1897687,3,0.08144670313186811,0,0
Nevada,3108462,4,3267467,4,3483811,4,2778233,4,0.20253038319271718,0,0
New Hampshire,1379089,2,1409032,2,1452554,2,1441914,2,0.007325125499514535,0,0
New Jersey,9294493,12,9500851,12,9828683,12,9562018,13,0.02713133465160499,0,1
New Mexico,2120220,3,2130256,3,2147003,3,1466968,2,0.31673694239277056,0,-1
New York,20215751,26,19867248,25,19525234,24,19045455,27,0.024572275351036923,-2,3
North Carolina,10453948,14,11046024,14,11903309,15,11261195,16,0.053944117571658096,1,1
North Dakota,779702,1,796568,1,821013,1,798695,1,0.027183462399737335,0,0
Ohio,11808848,15,11883304,15,12004628,15,11781066,16,0.018622985070177886,0,1
Oklahoma,3963516,5,4095393,5,4282236,5,3899869,5,0.08929142710663966,0,0
Oregon,4241500,6,4272371,5,4313472,5,3859264,5,0.1052997760226335,-1,0
Pennsylvania,13011844,17,13078751,17,13197500,16,13035499,18,0.012275124110003163,-1,2
Rhode Island,1098163,2,1112308,2,1134989,1,1123292,2,0.010305391822525435,-1,1
South Carolina,5124712,7,5478831,7,5977043,7,5785177,8,0.032100535600829865,0,1
South Dakota,887770,1,924669,1,977455,1,954939,1,0.023035245615418407,0,0
Tennessee,6916897,9,7227750,9,7658779,9,7375196,10,0.037027152493379616,0,1
Texas,29183290,38,31290831,40,34239519,42,23643490,33,0.30946781531485995,4,-9
Utah,3275252,4,3503613,4,3819196,5,3438553,5,0.09966561351615082,1,0
Vermont,643503,1,648493,1,656422,1,652783,1,0.005543097701176218,0,0
Virginia,8654542,11,8811195,11,9060716,11,8853935,12,0.02282165826914931,0,1
Washington,7715946,10,7958180,10,8290201,10,7448209,10,0.10156473360492674,0,0
West Virginia,1795045,2,1769979,2,1738833,2,1726687,2,0.006985340200384949,0,0
Wisconsin,5897473,8,5960975,8,6052400,7,5744565,8,0.050861614796710385,-1,1
Wyoming,577719,1,587618,1,601902,1,558257,1,0.07251103044905914,0,0
