YEAR,sexlab,agegrp,edu4,nat_lnw,nat_n
2023,men,25-29,ba_plus,11.121650904836434,15974.0
2023,men,25-29,hs,10.67914461255527,9289.0
2023,men,25-29,lths,10.588163215646803,1158.0
2023,men,25-29,somecoll,10.778786721652686,10046.0
2023,men,30-34,ba_plus,11.345042376138016,20570.0
2023,men,30-34,hs,10.759039114001736,9575.0
2023,men,30-34,lths,10.658579722131222,1232.0
2023,men,30-34,somecoll,10.9361129795563,12387.0
2023,men,35-39,ba_plus,11.532529594682465,21372.0
2023,men,35-39,hs,10.879089294744135,8928.0
2023,men,35-39,lths,10.728849067501102,1262.0
2023,men,35-39,somecoll,11.066189881540447,12572.0
2023,men,40-44,ba_plus,11.611280027734253,20373.0
2023,men,40-44,hs,10.938366440993551,9159.0
2023,men,40-44,lths,10.876996819468648,1548.0
2023,men,40-44,somecoll,11.124682551194208,12236.0
2023,men,45-49,ba_plus,11.66648272605512,17706.0
2023,men,45-49,hs,10.996478046699345,8887.0
2023,men,45-49,lths,10.856684606854031,1412.0
2023,men,45-49,somecoll,11.193022796439022,11700.0
2023,men,50-54,ba_plus,11.696718324420198,19567.0
2023,men,50-54,hs,10.999094944501676,10663.0
2023,men,50-54,lths,10.831415858348684,1576.0
2023,men,50-54,somecoll,11.199052634716352,12774.0
2023,women,25-29,ba_plus,10.971084606990592,18446.0
2023,women,25-29,hs,10.429773339220075,3937.0
2023,women,25-29,lths,10.329764667966925,426.0
2023,women,25-29,somecoll,10.557921669996675,7082.0
2023,women,30-34,ba_plus,11.152115589064696,20857.0
2023,women,30-34,hs,10.48628378904344,3969.0
2023,women,30-34,lths,10.370040038403168,470.0
2023,women,30-34,somecoll,10.640752370348245,8269.0
2023,women,35-39,ba_plus,11.272735428576937,20181.0
2023,women,35-39,hs,10.565842022699645,4089.0
2023,women,35-39,lths,10.433277595186095,524.0
2023,women,35-39,somecoll,10.748151966754138,8542.0
2023,women,40-44,ba_plus,11.310755559999903,19501.0
2023,women,40-44,hs,10.599371178001116,4408.0
2023,women,40-44,lths,10.462404290674948,572.0
2023,women,40-44,somecoll,10.796955170834513,9020.0
2023,women,45-49,ba_plus,11.329141163753766,16886.0
2023,women,45-49,hs,10.635066949016514,4597.0
2023,women,45-49,lths,10.471468366818742,547.0
2023,women,45-49,somecoll,10.840198967989643,9038.0
2023,women,50-54,ba_plus,11.337859549070691,17966.0
2023,women,50-54,hs,10.668874413657841,6313.0
2023,women,50-54,lths,10.526069253832134,680.0
2023,women,50-54,somecoll,10.857917032540314,10946.0
2024,men,25-29,ba_plus,11.16297887342733,15985.0
2024,men,25-29,hs,10.71474542061999,9536.0
2024,men,25-29,lths,10.631465242140509,1169.0
2024,men,25-29,somecoll,10.844528551915223,9828.0
2024,men,30-34,ba_plus,11.391290564273042,20310.0
2024,men,30-34,hs,10.81381335029362,9653.0
2024,men,30-34,lths,10.658508323236287,1202.0
2024,men,30-34,somecoll,10.974806509643221,12006.0
2024,men,35-39,ba_plus,11.570974171023268,21656.0
2024,men,35-39,hs,10.916389710572162,9214.0
2024,men,35-39,lths,10.784178384197729,1351.0
2024,men,35-39,somecoll,11.101764995167539,12599.0
2024,men,40-44,ba_plus,11.656816990002994,20790.0
2024,men,40-44,hs,10.979926183107146,9251.0
2024,men,40-44,lths,10.842487932563285,1439.0
2024,men,40-44,somecoll,11.168542733837965,12285.0
2024,men,45-49,ba_plus,11.711951666121184,18362.0
2024,men,45-49,hs,11.037434270834071,9165.0
2024,men,45-49,lths,10.894259202109113,1384.0
2024,men,45-49,somecoll,11.225157697820924,11447.0
2024,men,50-54,ba_plus,11.725446250973532,18645.0
2024,men,50-54,hs,11.050234800236744,10052.0
2024,men,50-54,lths,10.86559959714011,1527.0
2024,men,50-54,somecoll,11.248209623235505,12355.0
2024,women,25-29,ba_plus,11.011781672441266,18467.0
2024,women,25-29,hs,10.4662093742985,4048.0
2024,women,25-29,lths,10.35109816470346,373.0
2024,women,25-29,somecoll,10.58569711529821,6715.0
2024,women,30-34,ba_plus,11.197890474720275,21164.0
2024,women,30-34,hs,10.523353905842402,4078.0
2024,women,30-34,lths,10.469145700935643,492.0
2024,women,30-34,somecoll,10.677725493742651,7976.0
2024,women,35-39,ba_plus,11.30784223966993,20655.0
2024,women,35-39,hs,10.599963251525711,4078.0
2024,women,35-39,lths,10.461753433349683,523.0
2024,women,35-39,somecoll,10.774588554192487,8583.0
2024,women,40-44,ba_plus,11.353477060963323,19757.0
2024,women,40-44,hs,10.639630741530517,4614.0
2024,women,40-44,lths,10.541973210071287,580.0
2024,women,40-44,somecoll,10.840204229767378,8978.0
2024,women,45-49,ba_plus,11.379056827768856,17718.0
2024,women,45-49,hs,10.698231118707287,4757.0
2024,women,45-49,lths,10.538509576810755,562.0
2024,women,45-49,somecoll,10.879434116801107,8965.0
2024,women,50-54,ba_plus,11.376236136516603,18076.0
2024,women,50-54,hs,10.704426739405,6103.0
2024,women,50-54,lths,10.563327862706947,643.0
2024,women,50-54,somecoll,10.91621631632224,10484.0
