cohort,ysm_band,sex,years,n,mean_ysm,resid_lnw,se,lo95,hi95,mean_lnw
1980-89,21+,men,"[2023, 2024]",3794,37.65727766135537,-0.13218189708376907,0.012005438761174247,-0.15571255705567058,-0.10865123711186754,10.906473915312677
1980-89,21+,women,"[2023, 2024]",2563,37.81889002898955,-0.12024537482574113,0.014071698402353654,-0.14782590369435428,-0.09266484595712797,10.669029918883549
1990-99,21+,men,"[2023, 2024]",10705,28.510417976604344,-0.18184776499144018,0.007104495813736527,-0.19577257678636376,-0.1679229531965166,10.787639524683652
1990-99,21+,women,"[2023, 2024]",6573,28.57232926290728,-0.1654776272489105,0.008629912771195451,-0.18239225628045358,-0.1485629982173674,10.539741999298426
2000-07,11-20,men,"[2023, 2024]",4473,18.501555453151322,-0.22522782440825806,0.01141426570369573,-0.2475997851875017,-0.20285586362901442,10.687823549917994
2000-07,11-20,women,"[2023, 2024]",2326,18.571877962047623,-0.2098750584146209,0.015040496981671606,-0.23935443249869726,-0.18039568433054454,10.449292959309807
2000-07,21+,men,"[2023, 2024]",5660,22.630447179527,-0.20835297288046195,0.010025605618179702,-0.22800315989209416,-0.18870278586882974,10.716963457857247
2000-07,21+,women,"[2023, 2024]",3148,22.608860683041957,-0.1964595353017281,0.012112052934309381,-0.2201991590529745,-0.17271991155048172,10.473353913890115
2008-14,6-10,men,"[2023, 2024]",804,9.690717221398733,-0.21192518877292507,0.027659390393015033,-0.26613759394323455,-0.1577127836026156,10.716146190268482
2008-14,6-10,women,"[2023, 2024]",409,9.688512056459517,-0.23830676055601346,0.03933937251715546,-0.3154119306896382,-0.16120159042238874,10.512759184373579
2008-14,11-20,men,"[2023, 2024]",2818,13.526102791386352,-0.21793815910927347,0.013771175152273087,-0.24492966240772873,-0.1909466558108182,10.728631289191133
2008-14,11-20,women,"[2023, 2024]",1494,13.508603422927777,-0.19996191894282814,0.01920086407131314,-0.2375956125226019,-0.16232822536305438,10.535017938509746
2015-19,0-5,men,"[2023, 2024]",849,4.674452915792526,-0.25559006984985094,0.024334714153731472,-0.30328610959116464,-0.20789403010853724,10.67588059428276
2015-19,0-5,women,"[2023, 2024]",374,4.702531775528223,-0.22234654200975826,0.03512047407938864,-0.29118267120536,-0.1535104128141565,10.50550283242867
2015-19,6-10,men,"[2023, 2024]",1805,7.335324482908646,-0.22918676335111843,0.01896290510267824,-0.2663540573523678,-0.19201946934986908,10.73038969281628
2015-19,6-10,women,"[2023, 2024]",874,7.378023822368364,-0.2825864964118421,0.024771956138643518,-0.33113953044358335,-0.23403346238010078,10.453811566737267
2020-21,0-5,men,"[2023, 2024]",1176,2.8811846985870826,-0.33249334675758835,0.020930896302659194,-0.3735179035108004,-0.2914687900043763,10.592399753697842
2020-21,0-5,women,"[2023, 2024]",444,2.9221283602391095,-0.22753268852346156,0.03548751266651124,-0.2970882133498236,-0.15797716369709952,10.529263586406948
2022-24,0-5,men,"[2023, 2024]",1701,1.0738907940794968,-0.35234140493653404,0.020277211842084353,-0.3920847401470194,-0.3125980697260487,10.627156673216616
2022-24,0-5,women,"[2023, 2024]",582,1.0984833867170918,-0.22686073165227622,0.03351955278022597,-0.29255905510151914,-0.16116240820303332,10.538322230368557
pre1980,21+,men,"[2023, 2024]",1111,47.85670189389976,-0.10150066179399705,0.02419869957131855,-0.14893011295378142,-0.0540712106342127,11.052966994769074
pre1980,21+,women,"[2023, 2024]",994,47.80648678372331,-0.09312974060510067,0.023042173755287117,-0.13829240116546343,-0.04796708004473792,10.791588525683663
