scope,fiscal_year,total_encounters,mexico_encounters,mexico_share,title42_encounters,title42_share,mexico_title42,mexico_share_title8_only
nationwide,2021,1956519,674739,0.3448670828139159,1071075,0.547439099748073,582813,0.10381910092563731
nationwide,2022,2766582,823057,0.29749958613191296,1103966,0.39903606688686616,693044,0.07819785205964576
nationwide,2023,3201144,735937,0.22989812392069836,579084,0.18089907857940787,349685,0.1473086046848661
nationwide,2024,2901142,668088,0.23028448797059917,0,0.0,0,0.23028448797059917
nationwide,2025,691906,188334,0.27219593412978066,0,0.0,0,0.27219593412978066
southwest_land_border,2021,1734686,655594,0.3779323750811386,1063526,0.6130942429926799,582537,0.10885183860778354
southwest_land_border,2022,2378944,808339,0.3397889988162815,1079507,0.4537757088859595,692363,0.08925096022354297
southwest_land_border,2023,2475669,717333,0.289753193985141,564380,0.2279707020607359,348732,0.19285466509774293
southwest_land_border,2024,2135005,653684,0.3061744586078253,0,0.0,0,0.3061744586078253
southwest_land_border,2025,443671,177052,0.39906146671745507,0,0.0,0,0.39906146671745507
