Citizenship,encounters,share,fiscal_year
MEXICO,653684.0,0.3061744586078253,2024
VENEZUELA,261045.0,0.12226903449874825,2024
GUATEMALA,204252.0,0.09566816002772827,2024
CUBA,150995.0,0.07072348776700757,2024
OTHER,144624.0,0.06773941981400512,2024
HONDURAS,140479.0,0.06579797237008812,2024
COLOMBIA,127664.0,0.05979564450668734,2024
ECUADOR,122072.0,0.057176446893567,2024
HAITI,88673.0,0.04153292381048288,2024
EL SALVADOR,53888.0,0.025240221919854988,2024
"CHINA, PEOPLES REPUBLIC OF",38246.0,0.017913775377575228,2024
PERU,36964.0,0.017313308399746135,2024
