window,band,band_label,population,partial_balance_per_person,partial_plus_G_K_X_R_balance_per_person
w1_pre1990,0,0-17,0.0,,
w1_pre1990,1,18-24,0.0,,
w1_pre1990,2,25-34,0.0,,
w1_pre1990,3,35-44,218679.18568137995,1050.9203650966022,-4541.711152693
w1_pre1990,4,45-54,534532.2003876297,5683.04800340749,444.49465353581877
w1_pre1990,5,55-64,1046374.913671821,4067.8244423717265,-1758.4627530077073
w1_pre1990,6,65-74,763495.9783085099,-12325.436157753542,-17529.297413341665
w1_pre1990,7,75+,376158.86980527977,-16320.007315203067,-21330.266928568453
w2_1990_1999,0,0-17,0.0,,
w2_1990_1999,1,18-24,0.0,,
w2_1990_1999,2,25-34,259525.34416657008,6615.530533699686,1383.6306765526338
w2_1990_1999,3,35-44,563887.83543233,1008.7528247394623,-4492.105357580923
w2_1990_1999,4,45-54,991783.0011470603,2717.0607787770805,-2383.7489742750945
w2_1990_1999,5,55-64,565840.59227907,2136.850664033239,-2918.5154097194927
w2_1990_1999,6,65-74,167946.83134567004,-11717.664550065592,-16281.538101621298
w2_1990_1999,7,75+,73637.18422933998,-13353.137826329274,-18084.08003323216
w3_2000_2009,0,0-17,17058.24278351,-4831.688552071888,-10309.682345280351
w3_2000_2009,1,18-24,228654.01159185998,2235.2799734130194,-2677.0530422593647
w3_2000_2009,2,25-34,521761.5880256502,3506.909882928093,-1466.9805860199
w3_2000_2009,3,35-44,1086738.6333301899,659.6476603064671,-4780.262401267574
w3_2000_2009,4,45-54,871591.8033351094,1331.011152979663,-3804.090461088097
w3_2000_2009,5,55-64,425714.2253847402,1704.7164362331669,-3044.5683319550108
w3_2000_2009,6,65-74,97866.43540520001,-10140.215660783402,-14988.471004682438
w3_2000_2009,7,75+,32480.095138630004,-12601.003474958134,-17227.5631596096
w4_2010_2015,0,0-17,93183.53862583998,-7299.395873136915,-13052.996372236827
w4_2010_2015,1,18-24,87607.34449193999,-740.7169590075337,-5962.680332798684
w4_2010_2015,2,25-34,224245.92997281003,3003.78636627641,-2170.2043062058538
w4_2010_2015,3,35-44,230487.60748372998,132.2008082991758,-5250.05173103384
w4_2010_2015,4,45-54,178051.46008070005,1994.842318966641,-3063.1804004178707
w4_2010_2015,5,55-64,110540.15181467,-2375.937221880773,-7343.002274105773
w4_2010_2015,6,65-74,31798.976469490004,-7310.475306125442,-11856.24165363586
w4_2010_2015,7,75+,27976.37384738,-8111.301819831073,-13588.372192964087
w5_2016_2025,0,0-17,435741.1554277298,-2809.334840270395,-8150.823668588107
w5_2016_2025,1,18-24,263641.47669499996,4494.513252830412,-213.02274281812993
w5_2016_2025,2,25-34,691313.1377126796,8554.653390900285,3928.346701097477
w5_2016_2025,3,35-44,487130.75335533003,3410.049263243666,-1409.253811147415
w5_2016_2025,4,45-54,292970.85587997985,5075.311110653596,679.7614531689109
w5_2016_2025,5,55-64,145393.71598545997,1302.309366049257,-3498.7048534332835
w5_2016_2025,6,65-74,51239.137366330004,-11241.446326569094,-16174.209403480852
w5_2016_2025,7,75+,25733.29589728,-10549.094284884193,-15186.541125518046
mexico_born,0,0-17,545982.9368370799,-3638.8435038967887,-9054.932756287653
mexico_born,1,18-24,579902.8327787993,2812.8050182791408,-2053.197657525437
mexico_born,2,25-34,1696845.9998777104,5972.374542984825,1074.1878217477545
mexico_born,3,35-44,2586924.0152829555,1239.7399185182373,-4104.36478328027
mexico_born,4,45-54,2868929.320830486,3044.5881056661106,-2017.628136576982
mexico_born,5,55-64,2293863.5991357607,2667.1243536048696,-2662.7250795066234
mexico_born,6,65-74,1112347.3588952005,-11848.115491650333,-16892.76086033422
mexico_born,7,75+,535985.8189179099,-14981.501864657173,-19936.601834748988
