window,reference,component,gap_total,gap_per_person
w1_pre1990,third_plus_nh_white,tax,-22852396690.505688,-7774.9308549201105
w1_pre1990,third_plus_nh_white,employer,-2412779701.1187987,-820.8852488608869
w1_pre1990,third_plus_nh_white,sales,-1241644862.3668566,-422.43722100622637
w1_pre1990,third_plus_nh_white,owner_property,-2618013768.382648,-890.7107776078738
w1_pre1990,third_plus_nh_white,cash,14356585135.988998,4884.452963809385
w1_pre1990,third_plus_nh_white,noncash,-198357692.8934886,-67.48602204289081
w1_pre1990,third_plus_nh_white,school,-1296328377.1462994,-441.04185806343304
w1_pre1990,third_plus_nh_white,lunch,119942075.27438115,40.80715709969153
w1_pre1990,third_plus_nh_white,medical,1626417326.108448,553.3459979272492
w1_pre1990,all_native,tax,-20022598588.783974,-6812.165991687568
w1_pre1990,all_native,employer,-2106487910.149565,-716.6774701991058
w1_pre1990,all_native,sales,-1098945014.101641,-373.88732629296896
w1_pre1990,all_native,owner_property,-2303405710.6872816,-783.6736064914439
w1_pre1990,all_native,cash,13990959852.769205,4760.058514756892
w1_pre1990,all_native,noncash,-96080421.0334976,-32.68885273453238
w1_pre1990,all_native,school,-1246053979.7228909,-423.93730797910115
w1_pre1990,all_native,lunch,110849291.03039584,37.71357484951712
w1_pre1990,all_native,medical,1591629483.1448262,541.5103433437476
w2_1990_1999,third_plus_nh_white,tax,-24870309046.071323,-9482.9985159033
w2_1990_1999,third_plus_nh_white,employer,-3849038834.0300055,-1467.6307191496905
w2_1990_1999,third_plus_nh_white,sales,-1267352062.76732,-483.2387771332488
w2_1990_1999,third_plus_nh_white,owner_property,-2308856600.795562,-880.3623500704551
w2_1990_1999,third_plus_nh_white,cash,6596949806.18695,2515.4036126238493
w2_1990_1999,third_plus_nh_white,noncash,-285204922.3536968,-108.74805980087565
w2_1990_1999,third_plus_nh_white,school,-1232679007.1031687,-470.0180111670567
w2_1990_1999,third_plus_nh_white,lunch,160827033.84744498,61.32302258356411
