item,group,unadj,unadj_se,n_unadj,adj,adj_se,n_adj
net,Hisp G1,12.8756,2.1786,9386,13.4,2.2449,8836
net,Hisp G2,16.4947,1.7784,9386,14.0948,1.8268,8836
net,Hisp G3+,13.522,1.5288,9386,12.3918,1.6043,8836
net,NHWhite G1-2,0.4355,0.8358,9386,1.2963,0.9053,8836
immig_reduce,Hisp G1,-0.1607,0.0303,10014,-0.195,0.03,9423
immig_reduce,Hisp G2,-0.1561,0.0274,10014,-0.1399,0.0277,9423
immig_reduce,Hisp G3+,-0.0293,0.0339,10014,-0.0171,0.0335,9423
immig_reduce,NHWhite G1-2,-0.0451,0.0229,10014,-0.0902,0.0245,9423
guarjob,Hisp G1,0.8196,0.1407,9008,0.8247,0.14,8587
guarjob,Hisp G2,1.0791,0.141,9008,0.838,0.144,8587
guarjob,Hisp G3+,0.9239,0.14,9008,0.8323,0.1399,8587
guarjob,NHWhite G1-2,0.2375,0.1058,9008,0.2946,0.1119,8587
