item,sample,group,n,mean,se,clusters
th_h,pooled,Hisp G1,282,79.952,1.689,173
th_h,pooled,Hisp G2,358,78.298,1.61,209
th_h,pooled,Hisp G3+,428,78.356,1.504,239
th_h,pooled,NHWhite G3+,7642,69.367,0.364,1318
th_h,pooled,NHWhite G1-2,787,70.555,1.105,317
th_h,2020,Hisp G1,159,80.665,2.199,73
th_h,2020,Hisp G2,194,78.745,2.069,84
th_h,2020,Hisp G3+,254,80.651,1.692,92
th_h,2020,NHWhite G3+,4685,69.896,0.422,101
th_h,2020,NHWhite G1-2,498,69.534,1.4,100
th_h,2024,Hisp G1,123,78.978,2.644,100
th_h,2024,Hisp G2,164,77.767,2.527,125
th_h,2024,Hisp G3+,174,74.167,2.684,147
th_h,2024,NHWhite G3+,2957,68.51,0.661,1217
th_h,2024,NHWhite G1-2,289,72.411,1.673,217
th_w,pooled,Hisp G1,294,68.24,1.89,178
th_w,pooled,Hisp G2,355,63.211,1.685,205
th_w,pooled,Hisp G3+,430,65.476,1.437,239
th_w,pooled,NHWhite G3+,7586,70.568,0.342,1312
th_w,pooled,NHWhite G1-2,785,70.263,1.061,316
th_w,2020,Hisp G1,167,69.802,2.241,74
th_w,2020,Hisp G2,197,61.287,2.574,84
th_w,2020,Hisp G3+,252,65.715,1.925,91
th_w,2020,NHWhite G3+,4648,70.92,0.408,101
th_w,2020,NHWhite G1-2,497,70.48,1.329,100
th_w,2024,Hisp G1,127,66.053,3.288,104
th_w,2024,Hisp G2,158,65.56,2.056,121
th_w,2024,Hisp G3+,178,65.055,2.08,148
th_w,2024,NHWhite G3+,2938,70.0,0.604,1211
th_w,2024,NHWhite G1-2,288,69.876,1.785,216
net,pooled,Hisp G1,281,11.688,2.162,172
net,pooled,Hisp G2,350,15.307,1.728,204
net,pooled,Hisp G3+,419,12.334,1.506,235
net,pooled,NHWhite G3+,7419,-1.188,0.366,1275
net,pooled,NHWhite G1-2,765,0.281,0.816,310
net,2020,Hisp G1,159,11.028,2.836,73
net,2020,Hisp G2,193,17.57,2.354,84
net,2020,Hisp G3+,248,14.7,1.869,91
net,2020,NHWhite G3+,4562,-0.975,0.457,101
net,2020,NHWhite G1-2,487,-1.133,0.865,100
net,2024,Hisp G1,122,12.614,3.371,99
net,2024,Hisp G2,157,12.591,2.486,120
net,2024,Hisp G3+,171,8.01,2.329,144
net,2024,NHWhite G3+,2857,-1.536,0.611,1174
net,2024,NHWhite G1-2,278,2.859,1.562,210
immig_reduce,pooled,Hisp G1,301,0.219,0.03,180
immig_reduce,pooled,Hisp G2,368,0.224,0.027,213
immig_reduce,pooled,Hisp G3+,445,0.35,0.033,245
immig_reduce,pooled,NHWhite G3+,7922,0.38,0.009,1389
immig_reduce,pooled,NHWhite G1-2,823,0.271,0.021,325
immig_reduce,2020,Hisp G1,171,0.137,0.027,74
immig_reduce,2020,Hisp G2,198,0.157,0.03,84
immig_reduce,2020,Hisp G3+,262,0.279,0.041,92
immig_reduce,2020,NHWhite G3+,4833,0.317,0.01,101
immig_reduce,2020,NHWhite G1-2,518,0.236,0.025,100
immig_reduce,2024,Hisp G1,130,0.334,0.055,106
immig_reduce,2024,Hisp G2,170,0.299,0.043,129
immig_reduce,2024,Hisp G3+,183,0.477,0.054,153
immig_reduce,2024,NHWhite G3+,3089,0.48,0.014,1288
immig_reduce,2024,NHWhite G1-2,305,0.332,0.039,225
guarjob,pooled,Hisp G1,254,4.389,0.139,156
guarjob,pooled,Hisp G2,301,4.649,0.137,186
guarjob,pooled,Hisp G3+,377,4.494,0.138,228
guarjob,pooled,NHWhite G3+,7302,3.57,0.034,1279
guarjob,pooled,NHWhite G1-2,758,3.825,0.102,316
guarjob,2020,Hisp G1,141,4.239,0.147,64
guarjob,2020,Hisp G2,158,4.742,0.179,75
guarjob,2020,Hisp G3+,221,4.432,0.167,91
guarjob,2020,NHWhite G3+,4442,3.484,0.044,101
guarjob,2020,NHWhite G1-2,465,3.925,0.123,100
guarjob,2024,Hisp G1,113,4.572,0.245,92
guarjob,2024,Hisp G2,143,4.548,0.209,111
guarjob,2024,Hisp G3+,156,4.591,0.24,137
guarjob,2024,NHWhite G3+,2860,3.707,0.054,1178
guarjob,2024,NHWhite G1-2,293,3.667,0.179,216
