item,contrast,coef,se,n
redist,Hisp G1,0.6299,0.0849,17198
redist,Hisp G2,0.613,0.0901,17198
redist,Hisp G3+,0.5004,0.0849,17198
helppoor_r,Hisp G1,0.4507,0.0532,17000
helppoor_r,Hisp G2,0.2956,0.0613,17000
helppoor_r,Hisp G3+,0.3078,0.0517,17000
welfare_toolittle,Hisp G1,0.0509,0.02,13679
welfare_toolittle,Hisp G2,0.0872,0.0256,13679
welfare_toolittle,Hisp G3+,0.0721,0.0236,13679
immig_reduce,Hisp G1,-0.2696,0.0435,2884
immig_reduce,Hisp G2,-0.178,0.0623,2884
immig_reduce,Hisp G3+,-0.091,0.0504,2884
pid_dem,Hisp G1,0.1395,0.0158,27385
pid_dem,Hisp G2,0.183,0.0204,27385
pid_dem,Hisp G3+,0.139,0.0187,27385
pid_strong,Hisp G1,-0.0636,0.012,27385
pid_strong,Hisp G2,-0.0631,0.015,27385
pid_strong,Hisp G3+,-0.0486,0.014,27385
trust_yes,Hisp G1,-0.1115,0.0165,13093
trust_yes,Hisp G2,-0.1163,0.0208,13093
trust_yes,Hisp G3+,-0.1052,0.0203,13093
immcrime_agree,Hisp G1,-0.1388,0.0264,5265
immcrime_agree,Hisp G2,-0.0874,0.0363,5265
immcrime_agree,Hisp G3+,-0.0205,0.038,5265
