item,group,n,mean,se,clusters
helppoor_r,Hisp G1,1178,3.5265,0.0518,722
helppoor_r,Hisp G2,677,3.4389,0.059,494
helppoor_r,Hisp G3+,823,3.395,0.0517,565
helppoor_r,NHWhite G1-2,1751,3.1123,0.0373,1201
helppoor_r,NHWhite G3+,12997,2.9777,0.0141,3378
immcrime_agree,Hisp G1,392,0.1778,0.0219,218
immcrime_agree,Hisp G2,277,0.19,0.0322,176
immcrime_agree,Hisp G3+,325,0.2652,0.0369,195
immcrime_agree,NHWhite G1-2,497,0.1736,0.02,309
immcrime_agree,NHWhite G3+,3953,0.285,0.0117,534
immig_reduce,Hisp G1,186,0.3127,0.0409,132
immig_reduce,Hisp G2,116,0.3403,0.0572,92
immig_reduce,Hisp G3+,161,0.4513,0.0477,116
immig_reduce,NHWhite G1-2,289,0.4129,0.0357,201
immig_reduce,NHWhite G3+,2173,0.5604,0.0156,400
pid_dem,Hisp G1,1871,0.4402,0.015,979
pid_dem,Hisp G2,1100,0.5113,0.0204,718
pid_dem,Hisp G3+,1259,0.4687,0.0186,767
pid_dem,NHWhite G1-2,3871,0.4367,0.0102,1702
pid_dem,NHWhite G3+,20990,0.3614,0.0049,4179
pid_strong,Hisp G1,1871,0.1614,0.0108,979
pid_strong,Hisp G2,1100,0.1656,0.0139,718
pid_strong,Hisp G3+,1259,0.1952,0.0137,767
pid_strong,NHWhite G1-2,3871,0.2788,0.0091,1702
pid_strong,NHWhite G3+,20990,0.2881,0.0042,4179
redist,Hisp G1,1191,4.9391,0.0787,727
redist,Hisp G2,686,5.0048,0.0868,499
redist,Hisp G3+,828,4.7875,0.0842,568
redist,NHWhite G1-2,1774,4.3211,0.0601,1216
redist,NHWhite G3+,13166,4.0988,0.0241,3391
trust_yes,Hisp G1,970,0.1304,0.0128,575
trust_yes,Hisp G2,499,0.1733,0.0191,358
trust_yes,Hisp G3+,594,0.2184,0.0207,394
trust_yes,NHWhite G1-2,1301,0.4376,0.0171,894
trust_yes,NHWhite G3+,9886,0.3997,0.0066,1810
welfare_toolittle,Hisp G1,895,0.2505,0.0182,608
welfare_toolittle,Hisp G2,575,0.3102,0.0248,441
welfare_toolittle,Hisp G3+,656,0.2943,0.0239,469
welfare_toolittle,NHWhite G1-2,1400,0.2901,0.015,1024
welfare_toolittle,NHWhite G3+,10506,0.1988,0.0048,2919
