education_bucket,npv_usd,avg_federal_annual,discount_rate,npv_annuitized_3pct_only,npv_annuitized,annual_gap,bridge_verdict
<HS,-109000,676.7904040735388,0.02,-3669.8080105966615,-2818.20404367766,3494.994447751199,scope_mismatch
<HS,-109000,676.7904040735388,0.03,-3669.8080105966615,-3669.8080105966615,4346.5984146702,scope_mismatch
<HS,-109000,676.7904040735388,0.04,-3669.8080105966615,-4602.961166190822,5279.75157026436,scope_mismatch
HS / GED,49000,1604.4059669336366,0.02,1649.730206598499,1266.899065506471,337.50690142716553,near_match
HS / GED,49000,1604.4059669336366,0.03,1649.730206598499,1649.730206598499,-45.32423966486249,near_match
HS / GED,49000,1604.4059669336366,0.04,1649.730206598499,2069.2210747096356,-464.81510777599897,near_match
other,514000,5482.454915301568,0.02,17305.333187584256,13289.512646333185,-7807.057731031618,scope_mismatch
other,514000,5482.454915301568,0.03,17305.333187584256,17305.333187584256,-11822.878272282687,scope_mismatch
other,514000,5482.454915301568,0.04,17305.333187584256,21705.70678368883,-16223.251868387262,scope_mismatch
some college / associate,205000,2586.470380517471,0.02,6901.932496993721,5300.292008751562,-2713.8216282340913,scope_mismatch
some college / associate,205000,2586.470380517471,0.03,6901.932496993721,6901.932496993721,-4315.46211647625,scope_mismatch
some college / associate,205000,2586.470380517471,0.04,6901.932496993721,8656.945312560722,-6070.474932043251,scope_mismatch
