state_fips,listed_status_blind_2024,moved_millions,moved_se,moved_n,moved_own_medicaid_millions,moved_mexico_born_millions,moved_mexico_born_se,moved_mexico_born_n,no_medicaid_unauthorized_millions,no_medicaid_unauthorized_n,MCAID_share_of_no_medicaid_unauthorized,MCAID_share_se
6,True,1.1082,0.0781,445,1.1082,0.5918,0.0487,249,3.3284,1247,0.3329,0.0186
36,True,0.5871,0.0696,179,0.5871,0.0866,0.0234,28,1.327,390,0.4424,0.0375
48,False,0.1995,0.0334,69,0.1946,0.0765,0.0157,29,2.5704,835,0.0757,0.0133
12,False,0.1985,0.0461,55,0.1985,0.0164,0.0098,6,1.5992,502,0.1241,0.025
25,True,0.1718,0.0318,79,0.1718,0.0036,0.0026,2,0.529,249,0.3248,0.0494
34,True,0.1656,0.0342,51,0.1656,0.0163,0.0103,6,0.82,248,0.2019,0.0402
17,True,0.1401,0.0338,47,0.1401,0.0358,0.0123,13,0.727,242,0.1927,0.0407
37,False,0.1007,0.0232,41,0.1007,0.0491,0.0164,18,0.6748,244,0.1493,0.0311
53,True,0.098,0.0236,38,0.098,0.0603,0.0168,26,0.5539,213,0.1769,0.0375
42,False,0.0801,0.0215,26,0.0801,0.0073,0.0058,4,0.4122,132,0.1943,0.0475
24,False,0.079,0.0329,22,0.079,0.0,0.0,0,0.4172,119,0.1895,0.0708
51,False,0.0692,0.0244,27,0.0692,0.0022,0.0023,1,0.4405,147,0.1572,0.0497
18,False,0.0583,0.0247,20,0.0583,0.01,0.0025,5,0.3037,102,0.1921,0.0677
13,False,0.0538,0.0296,15,0.0538,0.0079,0.0077,2,0.6504,225,0.0827,0.0422
4,False,0.0442,0.0158,18,0.0442,0.0224,0.0105,10,0.4363,155,0.1012,0.034
26,False,0.0417,0.0172,15,0.0417,0.0053,0.0052,2,0.2042,65,0.204,0.0732
32,False,0.0401,0.0109,29,0.0401,0.0219,0.0079,15,0.246,181,0.1631,0.0382
9,True,0.0385,0.0112,18,0.0363,0.0063,0.004,3,0.1554,75,0.2334,0.0534
55,False,0.0372,0.0152,13,0.0372,0.017,0.0088,7,0.1958,70,0.1898,0.0727
19,False,0.0364,0.0141,23,0.0364,0.0028,0.002,2,0.1491,93,0.2439,0.0759
45,False,0.0359,0.0122,20,0.0359,0.0028,0.002,2,0.2392,106,0.1501,0.0483
41,True,0.0339,0.0123,23,0.0339,0.0213,0.0086,15,0.1193,73,0.284,0.0889
39,False,0.0333,0.0149,10,0.0333,0.0,0.0,0,0.2442,71,0.1364,0.0495
27,False,0.0264,0.0141,11,0.0226,0.0018,0.0018,1,0.1932,70,0.117,0.0616
49,True,0.0256,0.012,21,0.0256,0.0055,0.0048,5,0.1776,145,0.144,0.0619
47,False,0.0198,0.008,9,0.0198,0.0144,0.0071,6,0.2851,103,0.0696,0.026
22,False,0.0195,0.0077,16,0.0195,0.0094,0.0061,7,0.1604,106,0.1215,0.0552
1,False,0.016,0.0071,11,0.016,0.0097,0.0048,7,0.1531,97,0.1042,0.0386
15,False,0.0149,0.0058,28,0.0149,0.0004,0.0004,1,0.0493,87,0.3021,0.0902
44,True,0.0146,0.0058,18,0.0146,0.0,0.0,0,0.0448,50,0.3247,0.1154
35,False,0.0144,0.0051,19,0.0144,0.0094,0.0037,14,0.0769,101,0.187,0.0593
31,False,0.0107,0.0054,14,0.0107,0.0062,0.0034,7,0.0775,88,0.1382,0.0522
8,False,0.0102,0.006,4,0.0102,0.0044,0.0043,2,0.2831,95,0.0359,0.0216
11,True,0.0086,0.0027,32,0.0084,0.0,0.0,0,0.0309,111,0.2723,0.0609
21,False,0.0064,0.0047,3,0.0064,0.0024,0.0019,1,0.0808,30,0.0789,0.0418
50,True,0.0063,0.0033,18,0.0063,0.0008,0.0008,2,0.0128,33,0.4955,0.1347
20,False,0.0061,0.0032,5,0.0061,0.0011,0.0011,1,0.0782,59,0.078,0.0368
29,False,0.0051,0.0029,3,0.0051,0.0018,0.0018,1,0.1294,41,0.0394,0.0253
16,False,0.0047,0.0028,7,0.0047,0.0038,0.0026,6,0.0435,69,0.1088,0.0542
28,False,0.0043,0.0052,5,0.0043,0.0043,0.0052,5,0.0431,49,0.1007,0.1156
54,False,0.0043,0.003,8,0.0043,0.0,0.0,0,0.0118,23,0.3613,0.1721
40,False,0.0039,0.0029,3,0.0039,0.0,0.0,0,0.1002,68,0.0387,0.0292
10,False,0.0039,0.002,8,0.0039,0.0017,0.0012,4,0.0366,62,0.1069,0.0572
33,False,0.0032,0.0018,6,0.0032,0.0,0.0,0,0.0256,32,0.1238,0.0756
38,False,0.0019,0.0011,4,0.0019,0.0,0.0,0,0.017,47,0.1141,0.0548
46,False,0.0016,0.0019,3,0.0016,0.001,0.0012,2,0.0142,27,0.1099,0.1029
5,False,0.0008,0.0008,1,0.0008,0.0,0.0,0,0.0821,91,0.0103,0.0102
30,False,0.0007,0.0007,3,0.0007,0.0007,0.0007,3,0.0051,12,0.1406,0.1323
2,False,0.0,0.0,0,0.0,0.0,0.0,0,0.0053,13,0.0,0.0
23,True,0.0,0.0,0,0.0,0.0,0.0,0,0.0158,4,0.0,0.0
56,False,0.0,0.0,0,0.0,0.0,0.0,0,0.0049,19,0.0,0.0
