item,estimate,se
bmw_lowed_fb_all,19242160.0,88579.76594234149
bmw_lowed_fb_mexborn,7246098.0,45249.83961573787
bmw_lowed_fb_union,7474508.0,46605.55598852995
bmw_wa_all,215027613.0,37501.24074814059
bmw_wa_union,26117966.0,55164.217848619955
c08_lf_all,175478713.0,100199.62807615605
c08_lf_union,19996244.0,51373.012736260665
c08_lsi_all,6635078.0,48352.00997166509
c08_lsi_mexborn,3165994.0,32097.83486623358
c08_lsi_union,3246250.0,32379.51284840462
ct_lf_all,146761857.0,98777.7580103436
ct_lf_other_fb,21153471.0,64964.07607555117
ct_lf_other_nat,108378326.0,110930.21811413697
ct_lf_union,17230060.0,52323.2147965891
ct_lf_union_fb,7004959.0,41702.976146193694
ct_lf_union_nat,10225101.0,47781.68716778427
ct_ls_mexborn,2986372.0,30987.364853275278
ct_ls_other_fb,2986422.0,30083.83486110107
ct_ls_other_nat,4754568.0,34349.65727631063
ct_ls_union_fb,3027579.0,31217.72748455595
ct_ls_union_nat,1059240.0,16258.80125655025
e65_citizen_inst_other_fb,62042.0,1531.0576736361045
e65_citizen_inst_other_nat,1312758.0,3122.3901021493134
e65_citizen_inst_union_fb,8329.0,633.8280918356334
e65_citizen_inst_union_nat,26470.0,1111.4154713697305
e65_citizen_other_fb,6072544.0,27006.05859895146
e65_citizen_other_nat,50682147.0,34903.30876220763
e65_citizen_union_fb,982672.0,11284.306702230315
e65_citizen_union_nat,1460928.0,12656.91066176893
e65_inst_medicaid_other_fb,53036.0,1409.326221994042
e65_inst_medicaid_other_nat,751866.0,4318.4685885160725
e65_inst_medicaid_union_fb,13153.0,788.2569695219954
e65_inst_medicaid_union_nat,16825.0,827.721118493421
e65_inst_other_fb,76897.0,1738.4577216602077
e65_inst_other_nat,1312758.0,3122.3901021493134
e65_inst_union_fb,17081.0,898.3046253916318
e65_inst_union_nat,26470.0,1111.4154713697305
e65_other_fb,7508521.0,28161.612852427326
e65_other_nat,50682147.0,34903.30876220763
e65_union_fb,1594041.0,12724.971308415592
e65_union_nat,1460928.0,12656.91066176893
e80_inst_other_fb,41503.0,1248.8080917418818
e80_inst_other_nat,689258.0,3679.1535167752922
e80_inst_union_fb,8482.0,633.1166559173752
e80_inst_union_nat,8626.0,591.5234568468101
e80_other_fb,1786490.0,12770.061362421091
e80_other_nat,11347844.0,29759.706611457044
e80_union_fb,289472.0,6257.405928178226
e80_union_nat,272737.0,5415.638448050239
need_hh_65p_other_fb,1299735.0,12418.664416916981
need_hh_65p_other_nat,6257003.0,28916.229574410285
need_hh_65p_union_fb,293005.0,6543.989028108162
need_hh_65p_union_nat,234751.0,5199.154864013958
need_hh_medicaid_65p_other_fb,637544.0,10453.304943892146
need_hh_medicaid_65p_other_nat,1509731.0,14066.664983214749
need_hh_medicaid_65p_union_fb,156965.0,4790.193033688726
need_hh_medicaid_65p_union_nat,83432.0,3402.982735777541
need_hh_medicaid_u65_other_fb,311081.0,8203.246671288143
need_hh_medicaid_u65_other_nat,4204449.0,35229.59736712868
need_hh_medicaid_u65_union_fb,100306.0,4038.133944039004
need_hh_medicaid_u65_union_nat,429338.0,9785.355011444399
need_hh_u65_other_fb,620283.0,13522.477925661406
need_hh_u65_other_nat,7813347.0,41710.661825245596
need_hh_u65_union_fb,229611.0,6629.854187687691
need_hh_u65_union_nat,742426.0,11363.413382430475
need_inst_65p_other_fb,67254.0,1489.4534232395454
need_inst_65p_other_nat,1121403.0,3805.520378345122
need_inst_65p_union_fb,13896.0,783.2812394025533
need_inst_65p_union_nat,19005.0,929.2752821419496
need_inst_u65_other_fb,16425.0,758.8488980027579
need_inst_u65_other_nat,333456.0,3912.6669612937926
need_inst_u65_union_fb,5927.0,684.2885356339094
need_inst_u65_union_nat,19573.0,1155.480159933523
pop_all,340110990.0,4.0
pop_other_fb,38707171.0,107515.25357036554
pop_other_nat,261974300.0,117466.27693959659
pop_union,39429519.0,75333.5097977653
pop_union_fb,11573675.0,59292.96476185012
pop_union_nat,27855844.0,62361.5499045686
