area,title,pop,union_share_scaled,ct_ls,ct_ls_union,ct_lf,ct_lf_union,dL_ct,c08_lsi,c08_lsi_union,c08_lf,dC_cortes,ct_value_hour,ev_earn,ct_floor_hit,cortes_floor_hit
35620,"New York-Newark-Jersey City, NY-NJ-PA",20713228.0144,0.03482129368141002,826217.1312,107429.0,9223609.416,334149.148,-0.10656772271364634,698588.5224,101569.0,10994578.2464,-0.12720057809440544,3920921309.275588,30002629349.0264,False,False
31080,"Los Angeles-Long Beach-Anaheim, CA",12925650.0,0.34946830825413233,784492.0,493752.0,5835960.0,1976040.0,-0.6252550089516058,683330.0,432388.0,6994952.0,-0.6463354596879332,1531685180.7006202,11160784115.9375,False,False
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9574758.6927,0.19285030637798983,329170.8655,192797.9156,4354331.1336,831319.3866,-0.7145459096101496,229501.1797,166489.7652,5208344.5405,-1.1811407244942038,1800433031.391458,11428491524.737123,False,False
19100,"Dallas-Fort Worth-Arlington, TX",8414867.745050605,0.2424331282674019,382621.84214741475,222062.9533520352,3895048.990188559,892229.4179668867,-0.6499458312789455,264341.5090238724,175605.8274839384,4569621.659941034,-0.9040072986820933,1245968515.1571465,7818206661.841906,False,False
26420,"Houston-The Woodlands-Sugar Land, TX",7761509.608,0.27021674973928717,434258.7276,212279.166,3404102.51,869089.2808,-0.3996643555370145,325733.9692,170652.1456,4022838.398,-0.4802748928628038,937512278.4016724,7516666611.21294,False,False
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6531086.136086599,0.025018634823621808,233223.42554826482,15697.396379377939,3090120.8255552854,71459.66181572157,-0.048089018132714934,190237.67900789078,13149.6026,3657426.5326242126,-0.050894821521593414,1879260881.108771,12264049602.54681,False,False
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6453579.2024,0.024738743565007885,271672.6812,20177.1992,2861698.0056,73631.9808,-0.05311238845890687,240386.7456,17770.306,3453234.8592,-0.05364602280918618,595906053.0177549,4374602832.12162,False,False
12060,"Atlanta-Sandy Springs-Roswell, GA",6388947.950771657,0.06209051303815398,225899.7344710071,61084.23129633963,2939448.817438434,175210.503729933,-0.26533215413228106,128958.78070352036,53412.211954195416,3482030.4629959795,-0.5005876891379253,1163747628.8152494,7401302840.398294,False,False
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6333816.0596,0.025338938404650558,152994.2723,23808.2609,2805240.067,70905.4108,-0.1494615499540437,83097.0679,19274.6133,3401342.5586,-0.24986037830952545,1130386355.9959126,8997500578.915825,False,False
38060,"Phoenix-Mesa-Scottsdale, AZ",5186743.3504,0.2779708350128613,208652.5152,129995.7968,2272015.408,621830.7328,-0.7051412540971991,115149.9552,88719.9504,2717519.024,-1.2813823353252172,668186200.1211188,3616085507.87962,False,False
14460,"Boston-Cambridge-Newton, MA-NH",5026831.926192619,0.009218074287122615,142139.98919891988,1651.0,2346693.9432943296,20940.374437443745,-0.0028221802819512476,113436.44194419442,1355.0,2899398.594959496,-0.0036650888987148633,1154476175.0467246,10286214243.954264,False,False
40140,"Riverside-San Bernardino-Ontario, CA",4744200.0,0.4854455492962266,259556.0,188686.0,1948128.0,947657.0,-0.700165916821859,183832.0,146156.0,2305553.0,-1.0578439348107174,293903075.9904761,1908051286.345,False,False
41860,"San Francisco-Oakland-Hayward, CA",4647961.0,0.152212300323276,172989.0,80162.0,2196994.0,325988.0,-0.4880310612782446,146885.0,66008.0,2595968.0,-0.46397905702357933,1228192094.0920672,8563583444.3625,False,False
19820,"Detroit-Warren-Dearborn, MI",4401260.4561,0.035880095563171385,109278.3739,10772.0046,1869206.1882,63934.3638,-0.07173308397336298,35321.022899999996,8255.0229,2230983.52,-0.2432586392102074,629852429.0994675,4133387342.742509,False,False
42660,"Seattle-Tacoma-Bellevue, WA",4144145.0,0.08086027298666357,119489.0,34506.0,2022122.0,153380.0,-0.2740552037812187,74176.0,30132.0,2325880.0,-0.4664173267793932,834458865.3345461,5510285771.2875,False,False
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3771563.235179634,0.04168603845575781,94467.80145697441,20502.63775654466,1770741.3763346046,75744.46786196284,-0.20965045911448232,56815.8320250851,14925.606210979218,2127234.5248804153,-0.27396903256837346,865633059.6132895,6563818594.855399,False,False
45300,"Tampa-St. Petersburg-Clearwater, FL",3424502.0,0.04016619329958896,111384.0,20032.0,1505615.0,66653.0,-0.1594515161904817,52790.0,16151.0,1776919.0,-0.336063113962457,451897786.1292948,3093752969.28,False,False
41740,"San Diego-Carlsbad, CA",3300626.0,0.31698262561426155,134414.0,94663.0,1485887.0,460385.0,-0.9233939196364234,96833.0,74550.0,1724096.0,-1.217862230542861,530435125.70186543,3963729466.04,False,False
nonmetro_48,,3126353.55018745,0.3180446008513245,147356.93814798043,92947.20114376179,1180558.320274875,374563.22284863965,-0.6628773731398327,70534.49241796992,62497.779256955495,1407298.6513239623,-2.123943840255634,184740370.6300326,1289215216.5159187,False,False
19740,"Denver-Aurora-Lakewood, CO",3043991.6689563245,0.18452327544798142,106666.26623279673,59800.05431367864,1549470.2262331566,256709.23697524247,-0.682498441314423,64585.999806249376,42858.744906249376,1796451.8861319767,-0.9824346269453197,765964359.2928594,4934911564.269637,False,False
36740,"Orlando-Kissimmee-Sanford, FL",2939103.0,0.0288562126000906,85606.0,11985.0,1325157.0,40224.0,-0.12491074575587513,45861.0,9455.0,1582458.0,-0.21135914696158986,322164990.2734752,2448769903.275,False,False
12580,"Baltimore-Columbia-Towson, MD",2857102.6392,0.022542913048782188,72732.2914,7430.7583,1272743.4767,23669.164,-0.09253541641675866,38313.3556,5985.6645,1543495.4668999999,-0.15881109107525804,655886417.0488917,4203962667.8515277,False,False
16740,"Charlotte-Concord-Gastonia, NC-SC",2852359.6614,0.05576512007920804,104736.15610000001,28339.6154,1341840.5944,70587.9899,-0.2732975684871928,60806.3105,25775.6169,1574283.8257,-0.5246574777074509,480220504.6916612,3631568697.027454,False,False
41180,"St. Louis, MO-IL",2806930.230343949,0.028189639439537614,62278.20256089682,5859.809216391948,1242113.404787117,31084.69079561276,-0.07638859498317574,14817.442619738387,4971.321161830998,1485173.6841473423,-0.40111392095869913,455830548.1264398,3380027897.304507,False,False
41700,"San Antonio-New Braunfels, TX",2757111.5609159884,0.47016576524942016,107643.86979003099,71545.03805930408,1183253.77420029,537816.9875254275,-0.5315795823840332,56092.81230282972,39237.12117133287,1390802.0573998,-0.6554212064647795,218151403.5874967,1551762469.1346598,False,False
12420,"Austin-Round Rock, TX",2546820.508749125,0.2475248631081475,91260.0594940506,48209.21597840216,1278462.7589241075,285416.79222077795,-0.5305012949206525,61190.02739726027,34269.24917508249,1485870.908609139,-0.6028967823149465,502078312.393149,3584730490.8573112,False,False
