group,stratum_kind,stratum,generation,n_wave1,n_wave3,arrest5_n,arrest5_pct,incarc5_n,incarc5_pct,BAplus_n,BAplus_pct,noHS_n,noHS_pct,flag_small_cell
Mexican,"parental education (child report, V36/V41)",<HS,2nd,192,113,109,14.7,109,8.3,107,5.6,107,8.4,
Mexican,"parental education (child report, V36/V41)",HS grad,2nd,110,68,64,21.9,64,18.8,63,3.2,63,6.3,
Mexican,"parental education (child report, V36/V41)",Some college+,2nd,112,73,69,14.5,71,7.0,69,20.3,69,4.3,
Mexican,"parental education (child report, V36/V41)",ALL (no stratum),2nd,456,276,264,16.3,266,10.9,260,9.2,260,6.9,
Mexican,wave-I family income (P56),<$15k,2nd,72,46,46,15.2,46,8.7,45,0.0,45,8.9,
Mexican,wave-I family income (P56),$15-35k,2nd,91,67,65,13.8,65,9.2,64,15.6,64,6.2,
Mexican,wave-I family income (P56),$35k+,2nd,41,32,31,22.6,31,16.1,31,16.1,31,6.5,YES(<40)
Mexican,wave-I family income (P56),ALL (no stratum),2nd,456,276,264,16.3,266,10.9,260,9.2,260,6.9,
All other origins,"parental education (child report, V36/V41)",<HS,2nd,253,167,163,13.5,162,6.2,163,16.0,163,6.7,
All other origins,"parental education (child report, V36/V41)",HS grad,2nd,452,284,262,8.8,260,4.6,275,18.9,275,4.7,
All other origins,"parental education (child report, V36/V41)",Some college+,2nd,1382,998,966,8.0,963,3.6,985,40.5,985,2.1,
All other origins,"parental education (child report, V36/V41)",ALL (no stratum),2nd,2174,1501,1438,8.8,1433,4.3,1473,32.9,1473,3.1,
All other origins,wave-I family income (P56),<$15k,2nd,97,69,67,11.9,68,4.4,69,21.7,69,1.4,
All other origins,wave-I family income (P56),$15-35k,2nd,240,182,178,11.2,176,6.2,176,27.3,176,2.3,
All other origins,wave-I family income (P56),$35k+,2nd,497,403,393,5.9,393,3.1,400,39.8,400,2.2,
All other origins,wave-I family income (P56),ALL (no stratum),2nd,2174,1501,1438,8.8,1433,4.3,1473,32.9,1473,3.1,
Cuban,"parental education (child report, V36/V41)",<HS,2nd,118,81,78,15.4,77,6.5,80,16.2,80,7.5,
