year,universe,anc1p,ancestry,population,now_active_duty,ever_active_duty,reserve_training_only,approx_se_ever
2024,men_18_49,98,Scandinavian,129899,0.03233,0.13140,0.02097,0.00937
2024,men_18_49,811,Hawaiian,68901,0.03212,0.12154,0.01525,0.01245
2024,men_18_49,200,Spaniard,100033,0.02754,0.10704,0.01836,0.00978
2024,men_18_49,87,Scotch Irish,288670,0.02113,0.10008,0.01702,0.00559
2024,men_18_49,553,Nigerian,82577,0.02123,0.09847,0.01559,0.01037
2024,men_18_49,88,Scottish,634952,0.01930,0.09815,0.01776,0.00373
2024,men_18_49,11,British,132094,0.02258,0.09511,0.00525,0.00807
2024,men_18_49,215,Mexican American Indian,50233,0.02644,0.09472,0.01503,0.01307
2024,men_18_49,97,Welsh,136660,0.02269,0.09404,0.01549,0.00790
2024,men_18_49,183,Northern European,67033,0.02169,0.09376,0.01346,0.01126
2024,men_18_49,218,Mexican State,99657,0.06473,0.09374,0.01238,0.00923
2024,men_18_49,919,Cherokee,54267,0.00623,0.09363,0.00265,0.01251
2024,men_18_49,720,Filipino,342264,0.03186,0.09260,0.01172,0.00495
2024,men_18_49,195,European,888920,0.01899,0.08558,0.01438,0.00297
2024,men_18_49,996,Uncodable entries,2126877,0.01685,0.08440,0.01452,0.00191
2024,men_18_49,234,Colombian,85885,0.01949,0.08373,0.01584,0.00945
2024,men_18_49,261,Puerto Rican,736116,0.02793,0.08023,0.01473,0.00317
2024,men_18_49,26,French,539027,0.01582,0.07794,0.02016,0.00365
2024,men_18_49,187,Western European,87491,0.01308,0.07764,0.00981,0.00905
2024,men_18_49,50,Irish,3765503,0.01631,0.07762,0.01261,0.00138
2024,men_18_49,20,Danish,102969,0.02457,0.07470,0.01810,0.00819
2024,men_18_49,82,Norwegian,443776,0.01442,0.07466,0.01002,0.00395
2024,men_18_49,935,French Canadian,174284,0.01932,0.07399,0.01657,0.00627
2024,men_18_49,24,Finnish,73754,0.01734,0.07322,0.00992,0.00959
2024,men_18_49,599,African,277439,0.02218,0.07269,0.01166,0.00493
2024,men_18_49,84,Portuguese,146892,0.02044,0.07202,0.00986,0.00675
2024,men_18_49,917,Native American,257701,0.01483,0.07159,0.01351,0.00508
2024,men_18_49,32,German,5446831,0.01593,0.07118,0.01469,0.00110
2024,men_18_49,924,White,2365834,0.01615,0.07080,0.01253,0.00167
2024,men_18_49,940,United States,118490,0.00890,0.07032,0.01831,0.00743
2024,men_18_49,291,Spanish,259162,0.01196,0.07031,0.01316,0.00502
2024,men_18_49,111,Czech,113557,0.02002,0.06984,0.00659,0.00756
2024,men_18_49,920,American Indian,263416,0.00624,0.06943,0.01257,0.00495
2024,men_18_49,939,American,2705240,0.01540,0.06928,0.01096,0.00154
2024,men_18_49,3,Austrian,50501,0.02426,0.06917,0.00178,0.01129
2024,men_18_49,995,Mixture,224571,0.00844,0.06861,0.01153,0.00533
2024,men_18_49,308,Jamaican,141403,0.01852,0.06660,0.01255,0.00663
2024,men_18_49,902,African American,4195858,0.01610,0.06640,0.00936,0.00122
2024,men_18_49,22,English,3659500,0.01362,0.06604,0.01141,0.00130
2024,men_18_49,21,Dutch,323445,0.01345,0.06260,0.01119,0.00426
2024,men_18_49,903,Black,792424,0.01319,0.06191,0.01243,0.00271
2024,men_18_49,999,Not reported,14297759,0.01216,0.06179,0.01154,0.00064
2024,men_18_49,142,Polish,938633,0.01910,0.06175,0.00879,0.00248
2024,men_18_49,740,Japanese,125079,0.01734,0.06129,0.01420,0.00678
2024,men_18_49,252,Latino,72776,0.02002,0.06095,0.00603,0.00887
2024,men_18_49,750,Korean,162285,0.02152,0.05890,0.00817,0.00584
2024,men_18_49,271,Cuban,175099,0.01580,0.05732,0.00713,0.00555
2024,men_18_49,210,Mexican,3261990,0.01548,0.05730,0.01013,0.00129
2024,men_18_49,223,Honduran,50447,0.01984,0.05699,0.01439,0.01032
2024,men_18_49,275,Dominican,181569,0.01527,0.05660,0.01510,0.00542
2024,men_18_49,51,Italian,2426760,0.01395,0.05631,0.00876,0.00148
2024,men_18_49,125,Hungarian,117004,0.01378,0.05587,0.01481,0.00671
2024,men_18_49,89,Swedish,285973,0.00961,0.05433,0.00914,0.00424
