police_key,prisons_key,court_criminal_share,ice_interior,mexican_hispanic_scaling,cbp_border,national_bn,target_bn,target_share,change_bn,band_low,band_high,mexico_born_bn
offending,custody_acs_raw,0.500000,central,adj,per_head,519.153000,68.521134,0.131986,6.095691,171.215691,203.479792,
offending,custody_acs_raw,0.500000,central,adj,zero,519.153000,65.413644,0.126001,2.988201,168.108201,200.372302,
offending,custody_acs_raw,0.500000,central,raw,per_head,519.153000,64.619853,0.124472,2.194410,167.314411,199.578511,
offending,custody_acs_raw,0.500000,central,raw,zero,519.153000,61.512363,0.118486,-0.913080,164.206921,196.471021,
offending,custody_acs_raw,0.500000,low,adj,per_head,519.153000,68.434648,0.131820,6.009205,171.129205,203.393305,
offending,custody_acs_raw,0.500000,low,adj,zero,519.153000,65.327158,0.125834,2.901715,168.021715,200.285815,
offending,custody_acs_raw,0.500000,low,raw,per_head,519.153000,64.533367,0.124305,2.107924,167.227925,199.492025,
offending,custody_acs_raw,0.500000,low,raw,zero,519.153000,61.425877,0.118319,-0.999566,164.120435,196.384535,
offending,custody_acs_raw,0.500000,high,adj,per_head,519.153000,68.660009,0.132254,6.234566,171.354566,203.618667,
offending,custody_acs_raw,0.500000,high,adj,zero,519.153000,65.552519,0.126268,3.127076,168.247076,200.511176,
offending,custody_acs_raw,0.500000,high,raw,per_head,519.153000,64.758728,0.124739,2.333285,167.453286,199.717386,
offending,custody_acs_raw,0.500000,high,raw,zero,519.153000,61.651238,0.118754,-0.774205,164.345796,196.609896,
offending,custody_acs_raw,0.600000,central,adj,per_head,519.153000,68.689063,0.132310,6.263620,171.383620,203.647721,
offending,custody_acs_raw,0.600000,central,adj,zero,519.153000,65.581573,0.126324,3.156130,168.276130,200.540231,
offending,custody_acs_raw,0.600000,central,raw,per_head,519.153000,64.663043,0.124555,2.237600,167.357600,199.621701,
offending,custody_acs_raw,0.600000,central,raw,zero,519.153000,61.555553,0.118569,-0.869890,164.250110,196.514211,
offending,custody_acs_raw,0.600000,low,adj,per_head,519.153000,68.602577,0.132143,6.177134,171.297134,203.561235,
offending,custody_acs_raw,0.600000,low,adj,zero,519.153000,65.495087,0.126158,3.069644,168.189644,200.453744,
offending,custody_acs_raw,0.600000,low,raw,per_head,519.153000,64.576557,0.124388,2.151114,167.271114,199.535215,
offending,custody_acs_raw,0.600000,low,raw,zero,519.153000,61.469067,0.118403,-0.956376,164.163624,196.427725,
offending,custody_acs_raw,0.600000,high,adj,per_head,519.153000,68.827938,0.132577,6.402495,171.522495,203.786596,
offending,custody_acs_raw,0.600000,high,adj,zero,519.153000,65.720448,0.126592,3.295005,168.415005,200.679106,
offending,custody_acs_raw,0.600000,high,raw,per_head,519.153000,64.801918,0.124822,2.376475,167.496475,199.760576,
offending,custody_acs_raw,0.600000,high,raw,zero,519.153000,61.694428,0.118837,-0.731015,164.388985,196.653086,
offending,custody_acs_raw,0.750000,central,adj,per_head,519.153000,68.940957,0.132795,6.515514,171.635514,203.899614,
offending,custody_acs_raw,0.750000,central,adj,zero,519.153000,65.833467,0.126809,3.408024,168.528024,200.792124,
offending,custody_acs_raw,0.750000,central,raw,per_head,519.153000,64.727828,0.124680,2.302384,167.422385,199.686485,
offending,custody_acs_raw,0.750000,central,raw,zero,519.153000,61.620338,0.118694,-0.805106,164.314895,196.578995,
offending,custody_acs_raw,0.750000,low,adj,per_head,519.153000,68.854471,0.132628,6.429027,171.549028,203.813128,
offending,custody_acs_raw,0.750000,low,adj,zero,519.153000,65.746981,0.126643,3.321537,168.441538,200.705638,
offending,custody_acs_raw,0.750000,low,raw,per_head,519.153000,64.641341,0.124513,2.215898,167.335899,199.599999,
offending,custody_acs_raw,0.750000,low,raw,zero,519.153000,61.533851,0.118527,-0.891592,164.228409,196.492509,
offending,custody_acs_raw,0.750000,high,adj,per_head,519.153000,69.079832,0.133063,6.654388,171.774389,204.038489,
offending,custody_acs_raw,0.750000,high,adj,zero,519.153000,65.972342,0.127077,3.546898,168.666899,200.930999,
offending,custody_acs_raw,0.750000,high,raw,per_head,519.153000,64.866703,0.124947,2.441259,167.561260,199.825360,
offending,custody_acs_raw,0.750000,high,raw,zero,519.153000,61.759212,0.118961,-0.666231,164.453770,196.717870,
offending,custody_acs_adj,0.500000,central,adj,per_head,519.153000,70.407311,0.135620,7.981868,173.101869,205.365969,
offending,custody_acs_adj,0.500000,central,adj,zero,519.153000,67.299821,0.129634,4.874378,169.994379,202.258479,
offending,custody_acs_adj,0.500000,central,raw,per_head,519.153000,66.506031,0.128105,4.080588,169.200588,201.464688,
offending,custody_acs_adj,0.500000,central,raw,zero,519.153000,63.398541,0.122119,0.973097,166.093098,198.357198,
offending,custody_acs_adj,0.500000,low,adj,per_head,519.153000,70.320825,0.135453,7.895382,173.015382,205.279483,
offending,custody_acs_adj,0.500000,low,adj,zero,519.153000,67.213335,0.129467,4.787892,169.907892,202.171993,
offending,custody_acs_adj,0.500000,low,raw,per_head,519.153000,66.419545,0.127938,3.994101,169.114102,201.378202,
offending,custody_acs_adj,0.500000,low,raw,zero,519.153000,63.312055,0.121953,0.886611,166.006612,198.270712,
offending,custody_acs_adj,0.500000,high,adj,per_head,519.153000,70.546186,0.135887,8.120743,173.240744,205.504844,
offending,custody_acs_adj,0.500000,high,adj,zero,519.153000,67.438696,0.129901,5.013253,170.133253,202.397354,
offending,custody_acs_adj,0.500000,high,raw,per_head,519.153000,66.644906,0.128372,4.219462,169.339463,201.603563,
offending,custody_acs_adj,0.500000,high,raw,zero,519.153000,63.537416,0.122387,1.111972,166.231973,198.496073,
offending,custody_acs_adj,0.600000,central,adj,per_head,519.153000,70.575240,0.135943,8.149797,173.269798,205.533898,
offending,custody_acs_adj,0.600000,central,adj,zero,519.153000,67.467750,0.129957,5.042307,170.162308,202.426408,
offending,custody_acs_adj,0.600000,central,raw,per_head,519.153000,66.549220,0.128188,4.123777,169.243778,201.507878,
offending,custody_acs_adj,0.600000,central,raw,zero,519.153000,63.441730,0.122202,1.016287,166.136288,198.400388,
offending,custody_acs_adj,0.600000,low,adj,per_head,519.153000,70.488754,0.135776,8.063311,173.183312,205.447412,
offending,custody_acs_adj,0.600000,low,adj,zero,519.153000,67.381264,0.129791,4.955821,170.075822,202.339922,
offending,custody_acs_adj,0.600000,low,raw,per_head,519.153000,66.462734,0.128021,4.037291,169.157292,201.421392,
offending,custody_acs_adj,0.600000,low,raw,zero,519.153000,63.355244,0.122036,0.929801,166.049802,198.313902,
offending,custody_acs_adj,0.600000,high,adj,per_head,519.153000,70.714115,0.136211,8.288672,173.408673,205.672773,
offending,custody_acs_adj,0.600000,high,adj,zero,519.153000,67.606625,0.130225,5.181182,170.301183,202.565283,
offending,custody_acs_adj,0.600000,high,raw,per_head,519.153000,66.688095,0.128456,4.262652,169.382653,201.646753,
offending,custody_acs_adj,0.600000,high,raw,zero,519.153000,63.580605,0.122470,1.155162,166.275163,198.539263,
offending,custody_acs_adj,0.750000,central,adj,per_head,519.153000,70.827134,0.136428,8.401691,173.521691,205.785792,
offending,custody_acs_adj,0.750000,central,adj,zero,519.153000,67.719644,0.130443,5.294201,170.414201,202.678302,
offending,custody_acs_adj,0.750000,central,raw,per_head,519.153000,66.614005,0.128313,4.188562,169.308562,201.572663,
offending,custody_acs_adj,0.750000,central,raw,zero,519.153000,63.506515,0.122327,1.081072,166.201072,198.465172,
offending,custody_acs_adj,0.750000,low,adj,per_head,519.153000,70.740648,0.136262,8.315205,173.435205,205.699305,
offending,custody_acs_adj,0.750000,low,adj,zero,519.153000,67.633158,0.130276,5.207715,170.327715,202.591815,
offending,custody_acs_adj,0.750000,low,raw,per_head,519.153000,66.527519,0.128146,4.102076,169.222076,201.486176,
offending,custody_acs_adj,0.750000,low,raw,zero,519.153000,63.420029,0.122161,0.994586,166.114586,198.378686,
offending,custody_acs_adj,0.750000,high,adj,per_head,519.153000,70.966009,0.136696,8.540566,173.660566,205.924667,
offending,custody_acs_adj,0.750000,high,adj,zero,519.153000,67.858519,0.130710,5.433076,170.553076,202.817176,
offending,custody_acs_adj,0.750000,high,raw,per_head,519.153000,66.752880,0.128580,4.327437,169.447437,201.711537,
offending,custody_acs_adj,0.750000,high,raw,zero,519.153000,63.645390,0.122595,1.219947,166.339947,198.604047,
offending,custody_bjs_raw,0.500000,central,adj,per_head,519.153000,68.446441,0.131843,6.020998,171.140998,203.405098,
offending,custody_bjs_raw,0.500000,central,adj,zero,519.153000,65.338951,0.125857,2.913508,168.033508,200.297608,
offending,custody_bjs_raw,0.500000,central,raw,per_head,519.153000,64.545160,0.124328,2.119717,167.239718,199.503818,
offending,custody_bjs_raw,0.500000,central,raw,zero,519.153000,61.437670,0.118342,-0.987773,164.132228,196.396328,
offending,custody_bjs_raw,0.500000,low,adj,per_head,519.153000,68.359955,0.131676,5.934511,171.054512,203.318612,
offending,custody_bjs_raw,0.500000,low,adj,zero,519.153000,65.252465,0.125690,2.827021,167.947022,200.211122,
offending,custody_bjs_raw,0.500000,low,raw,per_head,519.153000,64.458674,0.124161,2.033231,167.153231,199.417332,
offending,custody_bjs_raw,0.500000,low,raw,zero,519.153000,61.351184,0.118176,-1.074259,164.045741,196.309842,
offending,custody_bjs_raw,0.500000,high,adj,per_head,519.153000,68.585316,0.132110,6.159873,171.279873,203.543973,
offending,custody_bjs_raw,0.500000,high,adj,zero,519.153000,65.477826,0.126124,3.052382,168.172383,200.436483,
offending,custody_bjs_raw,0.500000,high,raw,per_head,519.153000,64.684035,0.124595,2.258592,167.378593,199.642693,
offending,custody_bjs_raw,0.500000,high,raw,zero,519.153000,61.576545,0.118610,-0.848898,164.271102,196.535203,
offending,custody_bjs_raw,0.600000,central,adj,per_head,519.153000,68.614370,0.132166,6.188927,171.308927,203.573028,
offending,custody_bjs_raw,0.600000,central,adj,zero,519.153000,65.506880,0.126180,3.081437,168.201437,200.465537,
offending,custody_bjs_raw,0.600000,central,raw,per_head,519.153000,64.588350,0.124411,2.162907,167.282907,199.547008,
offending,custody_bjs_raw,0.600000,central,raw,zero,519.153000,61.480860,0.118425,-0.944583,164.175417,196.439518,
offending,custody_bjs_raw,0.600000,low,adj,per_head,519.153000,68.527884,0.131999,6.102441,171.222441,203.486541,
offending,custody_bjs_raw,0.600000,low,adj,zero,519.153000,65.420394,0.126014,2.994951,168.114951,200.379051,
offending,custody_bjs_raw,0.600000,low,raw,per_head,519.153000,64.501864,0.124244,2.076421,167.196421,199.460521,
offending,custody_bjs_raw,0.600000,low,raw,zero,519.153000,61.394374,0.118259,-1.031069,164.088931,196.353031,
offending,custody_bjs_raw,0.600000,high,adj,per_head,519.153000,68.753245,0.132433,6.327802,171.447802,203.711902,
offending,custody_bjs_raw,0.600000,high,adj,zero,519.153000,65.645755,0.126448,3.220312,168.340312,200.604412,
offending,custody_bjs_raw,0.600000,high,raw,per_head,519.153000,64.727225,0.124679,2.301782,167.421782,199.685882,
offending,custody_bjs_raw,0.600000,high,raw,zero,519.153000,61.619735,0.118693,-0.805708,164.314292,196.578392,
offending,custody_bjs_raw,0.750000,central,adj,per_head,519.153000,68.866264,0.132651,6.440820,171.560821,203.824921,
offending,custody_bjs_raw,0.750000,central,adj,zero,519.153000,65.758774,0.126665,3.333330,168.453331,200.717431,
offending,custody_bjs_raw,0.750000,central,raw,per_head,519.153000,64.653134,0.124536,2.227691,167.347692,199.611792,
offending,custody_bjs_raw,0.750000,central,raw,zero,519.153000,61.545644,0.118550,-0.879799,164.240202,196.504302,
offending,custody_bjs_raw,0.750000,low,adj,per_head,519.153000,68.779777,0.132485,6.354334,171.474335,203.738435,
