a,tau,c,mstar
0.000,0.05,0.00,-0.083333
0.000,0.05,0.50,-0.004209
0.000,0.05,0.90,-0.002392
0.000,0.10,0.00,-0.083333
0.000,0.10,0.50,-0.008013
0.000,0.10,0.90,-0.004651
0.000,0.15,0.00,-0.083333
0.000,0.15,0.50,-0.011469
0.000,0.15,0.90,-0.006787
0.000,0.20,0.00,-0.083333
0.000,0.20,0.50,-0.014621
0.000,0.20,0.90,-0.008810
0.000,0.25,0.00,-0.083333
0.000,0.25,0.50,-0.017508
0.000,0.25,0.90,-0.010729
0.000,0.30,0.00,-0.083333
0.000,0.30,0.50,-0.020163
0.000,0.30,0.90,-0.012551
0.000,0.35,0.00,-0.083333
0.000,0.35,0.50,-0.022611
0.000,0.35,0.90,-0.014284
0.000,0.40,0.00,-0.083333
0.000,0.40,0.50,-0.024877
0.000,0.40,0.90,-0.015935
0.000,0.45,0.00,-0.083333
0.000,0.45,0.50,-0.026980
0.000,0.45,0.90,-0.017508
0.000,0.50,0.00,-0.083333
0.000,0.50,0.50,-0.028937
0.000,0.50,0.90,-0.019010
0.000,0.55,0.00,-0.083333
0.000,0.55,0.50,-0.030762
0.000,0.55,0.90,-0.020444
0.000,0.60,0.00,-0.083333
0.000,0.60,0.50,-0.032469
0.000,0.60,0.90,-0.021816
0.000,0.65,0.00,-0.083333
0.000,0.65,0.50,-0.034069
0.000,0.65,0.90,-0.023130
0.000,0.70,0.00,-0.083333
0.000,0.70,0.50,-0.035571
0.000,0.70,0.90,-0.024388
0.000,0.75,0.00,-0.083333
0.000,0.75,0.50,-0.036984
0.000,0.75,0.90,-0.025595
0.000,0.80,0.00,-0.083333
0.000,0.80,0.50,-0.038316
0.000,0.80,0.90,-0.026754
0.000,0.85,0.00,-0.083333
0.000,0.85,0.50,-0.039573
0.000,0.85,0.90,-0.027867
0.000,0.90,0.00,-0.083333
0.000,0.90,0.50,-0.040763
0.000,0.90,0.90,-0.028937
0.000,0.95,0.00,-0.083333
0.000,0.95,0.50,-0.041889
0.000,0.95,0.90,-0.029966
0.000,1.00,0.00,-0.083333
0.000,1.00,0.50,-0.042957
0.000,1.00,0.90,-0.030957
0.001,0.05,0.00,-0.045736
0.001,0.05,0.50,-0.002310
0.001,0.05,0.90,-0.001313
0.001,0.10,0.00,-0.064535
0.001,0.10,0.50,-0.006206
0.001,0.10,0.90,-0.003602
0.001,0.15,0.00,-0.070801
0.001,0.15,0.50,-0.009744
0.001,0.15,0.90,-0.005766
0.001,0.20,0.00,-0.073934
0.001,0.20,0.50,-0.012972
0.001,0.20,0.90,-0.007816
0.001,0.25,0.00,-0.075814
0.001,0.25,0.50,-0.015928
0.001,0.25,0.90,-0.009760
0.001,0.30,0.00,-0.077067
0.001,0.30,0.50,-0.018646
0.001,0.30,0.90,-0.011607
0.001,0.35,0.00,-0.077962
0.001,0.35,0.50,-0.021154
0.001,0.35,0.90,-0.013364
0.001,0.40,0.00,-0.078634
0.001,0.40,0.50,-0.023474
0.001,0.40,0.90,-0.015036
0.001,0.45,0.00,-0.079156
0.001,0.45,0.50,-0.025627
0.001,0.45,0.90,-0.016630
0.001,0.50,0.00,-0.079574
0.001,0.50,0.50,-0.027631
0.001,0.50,0.90,-0.018152
0.001,0.55,0.00,-0.079915
0.001,0.55,0.50,-0.029500
0.001,0.55,0.90,-0.019606
0.001,0.60,0.00,-0.080200
0.001,0.60,0.50,-0.031248
0.001,0.60,0.90,-0.020996
0.001,0.65,0.00,-0.080441
0.001,0.65,0.50,-0.032886
0.001,0.65,0.90,-0.022327
0.001,0.70,0.00,-0.080648
0.001,0.70,0.50,-0.034424
0.001,0.70,0.90,-0.023602
0.001,0.75,0.00,-0.080827
0.001,0.75,0.50,-0.035872
0.001,0.75,0.90,-0.024825
0.001,0.80,0.00,-0.080984
0.001,0.80,0.50,-0.037235
0.001,0.80,0.90,-0.025999
0.001,0.85,0.00,-0.081122
0.001,0.85,0.50,-0.038523
0.001,0.85,0.90,-0.027127
0.001,0.90,0.00,-0.081245
0.001,0.90,0.50,-0.039741
0.001,0.90,0.90,-0.028211
0.001,0.95,0.00,-0.081355
0.001,0.95,0.50,-0.040894
0.001,0.95,0.90,-0.029255
0.001,1.00,0.00,-0.081453
0.001,1.00,0.50,-0.041988
0.001,1.00,0.90,-0.030259
0.002,0.05,0.00,-0.008139
0.002,0.05,0.50,-0.000411
0.002,0.05,0.90,-0.000234
0.002,0.10,0.00,-0.045736
0.002,0.10,0.50,-0.004398
0.002,0.10,0.90,-0.002552
0.002,0.15,0.00,-0.058269
0.002,0.15,0.50,-0.008019
0.002,0.15,0.90,-0.004745
0.002,0.20,0.00,-0.064535
0.002,0.20,0.50,-0.011323
0.002,0.20,0.90,-0.006822
0.002,0.25,0.00,-0.068295
0.002,0.25,0.50,-0.014348
0.002,0.25,0.90,-0.008792
0.002,0.30,0.00,-0.070801
0.002,0.30,0.50,-0.017130
0.002,0.30,0.90,-0.010664
0.002,0.35,0.00,-0.072591
0.002,0.35,0.50,-0.019696
0.002,0.35,0.90,-0.012443
0.002,0.40,0.00,-0.073934
0.002,0.40,0.50,-0.022071
0.002,0.40,0.90,-0.014137
0.002,0.45,0.00,-0.074978
0.002,0.45,0.50,-0.024275
0.002,0.45,0.90,-0.015753
0.002,0.50,0.00,-0.075814
0.002,0.50,0.50,-0.026326
0.002,0.50,0.90,-0.017294
0.002,0.55,0.00,-0.076498
0.002,0.55,0.50,-0.028239
0.002,0.55,0.90,-0.018767
0.002,0.60,0.00,-0.077067
0.002,0.60,0.50,-0.030028
0.002,0.60,0.90,-0.020176
0.002,0.65,0.00,-0.077549
0.002,0.65,0.50,-0.031704
0.002,0.65,0.90,-0.021524
0.002,0.70,0.00,-0.077962
0.002,0.70,0.50,-0.033278
0.002,0.70,0.90,-0.022816
