approach,f_beta,f_vot,f_tau,f_nhts,f_pi_source,f_fill_in,note,is_central,umr_eq_a4_hours_per_other_car_commuter,others_passenger_hours_m,others_truck_person_hours_m,time_bn,fuel_bn,total_bn,usd_per_other_commuter,hours_per_other_commuter,usd_per_other_car_commuter,usd_per_other_resident,f_variant,f_theta,f_sigma,f_hours,areas_at_free_flow_cap,uncapped_others_passenger_hours_m,f_elasticity,f_share,f_residual,f_elasticity_value
"A1 BPR, trips fixed",low,low,low,2017 southwest,nhts,trips fixed,,False,18.47942649750594,2035.0304145964487,127.54599663065723,33.556486300215056,2.823154137122958,36.37964043733801,412.7742125281563,23.09005990047553,468.4077633312331,175.0686224610781,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 southwest,nhts,DT 0.48,,False,10.609193847606942,1167.1066437877853,75.47352485475507,19.31417869707309,1.6468828091531253,20.96106150622622,237.83043353300056,13.24233884762203,269.88512858150347,100.87027026937461,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 southwest,nhts,DT 0.44,,False,9.87357731357412,1086.081450021742,70.47625347896795,17.980532711413936,1.5350030394613334,19.51553575087527,221.4290686986807,12.32300291824892,251.27319405543548,93.91401122780456,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 southwest,nhts,DT 0.32,,False,7.5250785344435664,827.5098150307905,54.33427548873884,13.718742836451163,1.1756119346974823,14.894354771148647,168.99577587539605,9.38917229946236,191.77296203992157,71.67564442322947,,,,,,,,,,
"A1 BPR, trips fixed",low,low,low,2017 southwest,acs,trips fixed,,False,18.03226004426035,2016.8389599596185,125.92357626774194,33.24215266125792,2.796509079806134,36.038661741064054,408.90536690045445,22.88365424961724,464.01747616662004,173.42774118991554,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 southwest,acs,DT 0.48,,False,10.290041485895976,1154.330610011209,74.35679279811936,19.09409567938941,1.6277333986656368,20.72182907805505,235.11603130245507,13.097378171321699,266.80488025444885,99.71901942839709,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 southwest,acs,DT 0.44,,False,9.571289679619648,1073.9984669890332,69.42061992533561,17.772403845262332,1.5168551913650479,19.28925903662738,218.86166584878146,12.185905801665037,248.35975762943903,92.82510676964671,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 southwest,acs,DT 0.32,,False,7.2820783718386055,817.8418919457994,53.48955350550304,13.5522108649041,1.1609959394223144,14.713206804326413,166.94041720617233,9.279477170807537,189.4405829138179,70.8039116454463,,,,,,,,,,
"A1 BPR, trips fixed",low,low,low,2022 national,nhts,trips fixed,,False,17.09894621742964,1899.5604463472714,116.95380463830477,31.260056952717495,2.6529124232697936,33.91296937598729,384.78662956485584,21.552977378684663,436.64802461937586,163.19833733500346,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2022 national,nhts,DT 0.48,,False,9.648968350563921,1073.1273986179688,68.1168239498229,17.72082608831946,1.523177095443115,19.244003183762572,218.34817949201724,12.176022401043095,247.77706377751477,92.60732342368456,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2022 national,nhts,DT 0.44,,False,8.965896947174741,997.2618542643039,63.516100665682025,16.474439415342662,1.4176470707523259,17.892086486094986,203.0089308470343,11.31522938736439,230.37039705535852,86.10153636538585,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2022 national,nhts,DT 0.32,,False,6.799735082227939,756.5719682752341,48.74961473888331,12.515098452992326,1.080788132942043,13.595886585934368,154.26296993774872,8.584290407256654,175.05447414170828,65.427065994134,,,,,,,,,,
"A1 BPR, trips fixed",low,low,low,2022 national,acs,trips fixed,,False,16.88202563513796,1890.109070458036,116.1972905939101,31.09931915799275,2.639048864574442,33.738368022567194,382.80555071696375,21.44573925887129,434.3999367205693,162.35810862312968,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2022 national,acs,DT 0.48,,False,9.501221579345044,1066.8598094430065,67.62023575246421,17.614385902182164,1.513803210270789,19.12818911245295,217.0341186186875,12.104908471519764,246.28589428127236,92.04999493769505,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2022 national,acs,DT 0.44,,False,8.826533278164662,991.3642637404607,63.04867511777114,16.374278230759128,1.4088110568290437,17.78308928758817,201.77221623851798,11.24831357250124,228.96699852397697,85.57701250629019,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2022 national,acs,DT 0.32,,False,6.689131970293035,751.9271608507263,48.38050936532204,12.436184847126338,1.0737897170243726,13.50997456415071,153.28818660530945,8.53158904176904,173.94830988381074,65.01363421950121,,,,,,,,,,
"A1 BPR, trips fixed",low,low,low,2017 national,nhts,trips fixed,,False,19.528113169617097,2121.0158045966414,135.31583816476453,35.04525801763517,2.9357659065415356,37.981023924176704,430.9439855052694,24.065675690504847,489.02645137455477,182.77491086037273,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 national,nhts,DT 0.48,,False,11.381372441065407,1230.0212598936089,81.08695287347308,20.401361977798096,1.7333263083965023,22.134688286194596,251.14675178352942,13.956186780350329,284.99621512282084,106.5180782516002,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 national,nhts,DT 0.44,,False,10.60719195101369,1145.8253296273201,75.80640649585953,19.01291362473258,1.617411411268381,20.630325036000958,234.0777992460641,13.000874732294092,265.62671567780467,99.2786773469622,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 national,nhts,DT 0.32,,False,8.120593958764445,875.9381965651905,58.66002221912372,14.555743365645512,1.2432204860138145,15.798963851659327,179.25973935510046,9.938655109395755,203.42029859952765,76.02886682144334,,,,,,,,,,
"A1 BPR, trips fixed",low,low,low,2017 national,acs,trips fixed,,False,18.74352534043946,2094.9367164299642,132.49458533144121,34.57987520879222,2.89665351554735,37.47652872433956,425.21983303059886,23.769774605391202,482.53079981433416,180.34714415866924,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 national,acs,DT 0.48,,False,10.794275809508402,1210.0729585271952,79.01651189070807,20.047992439123437,1.702595988671531,21.750588427794966,246.78864063462538,13.729847424358656,280.0507194168172,104.66968634092858,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 national,acs,DT 0.44,,False,10.048736133529511,1126.8135297478354,73.83758808535872,18.67626527990159,1.588054888981637,20.264320168883216,229.924999246124,12.785161200503852,260.91420287905225,97.51736340515124,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,low,2017 national,acs,DT 0.32,,False,7.665623780696177,860.3565042924495,57.05489497508825,14.280085628315431,1.218980682339348,15.499066310654783,175.85701272451428,9.761860597948754,199.55895377253754,74.58567912766823,,,,,,,,,,
