area,group_car_commuters,other_car_commuters,group_car_person_minutes,other_car_person_minutes,group_carpool_2,other_carpool_2,group_carpool_3,other_carpool_3,group_carpool_4,other_carpool_4,group_carpool_5_6,other_carpool_5_6,group_carpool_7plus,other_carpool_7plus,group_carpooled,other_carpooled,group_commuter_minutes,other_commuter_minutes,group_commuters,other_commuters,group_drove_alone,other_drove_alone,group_means_bicycle,other_means_bicycle,group_means_bus,other_means_bus,group_means_car_truck_van,other_means_car_truck_van,group_means_commuter_rail,other_means_commuter_rail,group_means_ferry,other_means_ferry,group_means_light_rail,other_means_light_rail,group_means_motorcycle,other_means_motorcycle,group_means_other,other_means_other,group_means_subway,other_means_subway,group_means_taxi_ridehail,other_means_taxi_ridehail,group_means_walked,other_means_walked,group_means_worked_from_home,other_means_worked_from_home,group_personal_income,other_personal_income,group_persons,other_persons,group_transit_commuters,other_transit_commuters,group_transit_minutes,other_transit_minutes,group_vehicle_minutes,other_vehicle_minutes,group_vehicle_minutes_peak,other_vehicle_minutes_peak,group_vehicles,other_vehicles,group_vehicles_before_6am,other_vehicles_before_6am,group_vehicles_narrow_peak,other_vehicles_narrow_peak,group_vehicles_peak,other_vehicles_peak,group_workers,other_workers,title,group_share_persons,group_share_commuters,group_share_car_commuters,group_share_vehicles,group_share_vehicle_minutes,group_share_vehicles_peak,group_share_carpooled,group_share_transit_commuters,group_share_means_worked_from_home,group_mean_one_way_minutes,group_peak_share_of_vehicles,group_vehicles_per_car_commuter,other_mean_one_way_minutes,other_peak_share_of_vehicles,other_vehicles_per_car_commuter,group_share_persons_scaled
35620,147739.0,5163839.3096,4126940.0,161209178.8904,23741.0,465697.7552,6188.0,88220.5856,2543.0,46578.9888,898.0,27454.0952,1571.0,15472.8704,34941.0,643424.2952,11517933.0,312511836.1672,326754.0,8533844.4256,112798.0,4520415.0144,6383.0,82121.0176,33214.0,636091.0,147739.0,5163839.3096,4641.0,283266.0,354.0,28895.0,464.0,25542.356,1058.0,8157.0,8856.0,126173.5144,89020.0,1583515.8304,4540.0,89212.0752,30485.0,507031.3224,21407.0,1272663.2136,20815416183.29108,1124617086485.004,695388.076,20017839.9384,127693.0,2557310.1864,6511172.0,135239543.68,3716903.238095238,151414794.20535555,2529546.0595238097,109183430.36277778,133338.8107142857,4898794.466871746,16199.709523809524,534681.4356,60845.42857142857,2297086.8336412697,91175.8369047619,3559910.170766984,348161.0,9806507.6392,"New York-Newark-Jersey City, NY-NJ-PA",0.03357217308265813,0.03687719319904442,0.027814519788398977,0.02649747201811987,0.023959663301242082,0.024972251191338998,0.05150764676087751,0.047557857900052736,0.016542379057197704,35.249554710883416,0.6837906864201052,0.902529533259909,36.620287479078094,0.726691065493968,0.9486729104378763,0.03482129368141002
31080,1777581.0,3165898.0,53505881.0,96600469.0,194702.0,248483.0,51431.0,53020.0,21863.0,21384.0,11750.0,12012.0,3372.0,5244.0,283118.0,340143.0,60164720.0,107888193.0,1979969.0,3509718.0,1494463.0,2825755.0,11075.0,23304.0,84644.0,102310.0,1777581.0,3165898.0,3488.0,6790.0,519.0,1937.0,1482.0,3002.0,5911.0,7887.0,34703.0,64642.0,4860.0,12517.0,9893.0,16484.0,45813.0,104947.0,155459.0,804566.0,127378232675.104,499047370913.0115,4355066.0,8570584.0,94993.0,126556.0,4508771.0,6702161.0,48996341.26428571,91371571.36904761,31569246.469047617,65931827.614285715,1632855.7662698412,3000368.721031746,306477.4369047619,333071.68095238094,659591.0619047619,1377081.507936508,1035818.8936507937,2135688.901984127,2135428.0,4314284.0,"Los Angeles-Long Beach-Anaheim, CA",0.33693206918027335,0.36067065390066866,0.3595809752605402,0.35242319269119304,0.34905656389058887,0.3266014023602385,0.45425271274794987,0.42876745099278263,0.16193224134788156,30.38669797355413,0.6343603121891521,0.9185830441874892,30.739846620155806,0.7118088143678958,0.9477149045963407,0.3494683082541324
16980,717878.1319,2704711.7093,20569155.3919,80559065.892,87806.967,189202.2993,24767.0504,42610.9303,10957.508,17004.3381,3499.0,7209.1242,2126.0,4027.3697,129156.5254,260054.0616,25016511.66,102632039.3924,831959.0762,3296076.4447,588721.6065,2444657.6477,4271.3302,26026.98,29216.0,125568.0957,717878.1319,2704711.7093,14536.0,103503.1562,0.0,651.0,381.0,4587.0,118.1548,1289.0753,8733.6639,34713.6279,25485.0,135419.0,8155.0,21860.6616,23184.7954,137746.1387,64149.8506,646264.0404,51525214739.73163,425632561528.014,1780257.0821,7794501.6106,69618.0,369728.2519,3404952.0,17998121.5229,18585486.743029762,76982103.32565635,10915207.952921428,52258181.18470278,652837.4540761905,2582717.6895689685,141369.82244166668,367713.48491071427,230106.17121190476,1114130.0118811112,385656.30485952384,1764394.9128177778,896108.9268,3942340.4851,"Chicago-Naperville-Elgin, IL-IN-WI",0.18593231842566496,0.20153873967116814,0.2097470527313619,0.2017698432240927,0.19447478721261094,0.17937075251451357,0.3318422718033618,0.15845816300680726,0.09029926274344204,30.069401699737114,0.5907386324904624,0.9093987197358038,31.13763928546909,0.6831543842146521,0.9548957401590853,0.19285030637798983
19100,862289.9131783278,2617146.198061606,25099714.2399791,75572876.38622805,95555.13427942795,224323.91079064907,30645.201399999998,44709.9548039604,10335.719471947195,19460.548790539055,4200.0,8781.96404510451,1454.0,3392.0,142190.05515137513,300668.378430253,25893333.357952695,78742465.47462144,895355.5603154015,2742952.5439436743,720099.8580269527,2316477.819631353,446.0,3857.0,4161.0,11555.6307,862289.9131783278,2617146.198061606,212.0,3459.0,145.0,284.2966,604.0,2692.0,107.0,4989.7137999999995,13651.370737073707,40498.42012233223,637.0,2794.0,2446.0,11617.0,10656.2764,44059.284659735975,76048.66678646865,592120.446639824,54408187809.22143,339296536725.7388,1966861.6459052805,6448006.099145325,5759.0,20784.9273,287687.0,1041416.092,22744136.157641977,71191459.97215937,15050767.020223236,51096341.14787233,784215.2717711614,2467043.802974336,150227.73414840485,327046.14398052805,303624.21595198807,1133038.7310673823,513145.04691342136,1756451.0359552307,971404.2271018702,3335072.9905834985,"Dallas-Fort Worth-Arlington, TX",0.23373648944894407,0.24609118707326644,0.2478246145669396,0.2412035626021431,0.2421247864996125,0.22609531748258596,0.32107338230280424,0.21696111260823112,0.11381649534277338,28.919609712181167,0.6543420733881858,0.9094566221708544,28.70719205422695,0.7119658896358488,0.9426465379739032,0.24243312826740193
47900,56199.54635107511,2250136.07669978,1919573.5768528853,74040176.97514516,4980.1416,205804.5096119812,4181.0999,43720.1703270027,952.0,18401.201217751775,82.7975,11312.2995,266.0,4658.1775,10462.039,283896.35815673566,2353683.9368528854,92289843.33703794,69590.5583510751,2730437.6382778576,45737.50735107511,1966239.7185430443,344.0,25774.9927,2289.0,100083.5010110211,56199.54635107511,2250136.07669978,474.0,15520.066514451446,0.0,209.0,225.0,3887.0,0.0,3320.442598079808,1477.0,33980.07624031403,4628.0,183375.346,535.012,19481.418,3419.0,94669.71851421142,11144.893,684358.0157153516,6931694546.599807,407555237673.3113,157537.3628390139,6373548.773247585,7616.0,303074.91352547257,348036.0,14560247.593342835,1648657.4516862186,69272051.03438501,1220418.7860924841,48708810.8674378,50437.08970107511,2113757.5290694823,7303.393996109611,281432.77786611224,22731.74303788379,949380.1020159468,36919.28510521052,1500658.246454955,80735.45135107511,3414795.6539932094,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.02412115834280049,0.02485352055913508,0.024367462302270437,0.023305246794175824,0.023246488746090484,0.02401133233766031,0.03554183981518736,0.024513108264350925,0.01602422198432713,33.82188608085113,0.7319868240618085,0.89746435649138,33.8003849797672,0.7099481495947997,0.9393909777090812,0.025018634823621808
33100,68333.174,2469123.4507999998,1911257.4752,74455201.0496,11318.1756,238803.8368,3628.7304,52718.5708,670.5904,21779.2296,539.0764,12682.0792,444.0,3653.0,16600.5728,329636.7164,2143827.3712,81631100.2948,76189.5532,2702335.4852,51732.6012,2139486.7344,1498.0,16493.6,1585.0,64532.7184,68333.174,2469123.4507999998,0.0,5970.0,0.0,66.0,0.0,1810.0,141.0,8514.8912,1786.0,44097.1792,734.0,11669.0,524.0,29177.5296,1588.3792,50881.116,6356.5064,459810.4172,5814974575.062124,282079056461.7376,153926.3016,6299652.9008,2319.0,84047.7184,113840.0,4229243.1808,1676659.4434666666,69548948.8050762,1179299.9176,51723819.669709526,59580.88423555555,2322418.0688526984,8426.147155555556,241227.23867809522,25294.939466666667,1077537.142147619,44287.773746666666,1702929.6886365078,82546.05960000001,3162145.9024,"Miami-Fort Lauderdale-West Palm Beach, FL",0.0238513074330531,0.02742086256090511,0.02692978998424691,0.025012976667478853,0.023540121098242328,0.025347602516666075,0.04794565264289275,0.026850620736332157,0.013635687300402021,28.138075118676507,0.7433218609440752,0.8719174121131202,30.207611431620037,0.7332571647953872,0.9405840230873153,0.024738743565007885
37980,62110.7929,2221555.1239,1547127.7201,63398815.3576,11388.6821,184205.4425,2173.599,30427.8826,435.49199999999996,14032.0,365.8396,5964.5724,136.0,4206.0,14499.6127,238835.8975,1862792.5701000001,77748598.5809,72234.2209,2615923.2824,47611.1802,1982719.2264,1454.0,15580.9813,3163.428,119113.9655,62110.7929,2221555.1239,503.0,47584.0241,304.0,191.1257,186.0,10738.0,0.0,909.0,631.0,30737.3906,776.0,55294.0,987.0,12994.0,2119.0,101225.6713,4524.0,478649.2985,4280458511.911032,314914769343.5703,154734.9483,6179081.1113,4932.428,232921.1153,244872.85,11293580.239500001,1376890.6084988094,60053549.68711667,967225.8485571429,43557109.92987619,55203.61897952381,2104062.915060159,9632.817403333333,241545.8791857143,23984.776266666668,1009741.3005371429,38681.801726190475,1535862.5058292064,76758.2209,3094572.5809,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.024429971891190658,0.02687127551541336,0.02719784555309785,0.02556591236388295,0.0224138163730056,0.024566982040821066,0.05723482147667745,0.020737248356980854,0.009363100183815311,25.788228167904283,0.7007113381558984,0.8887926945064617,29.72128391684672,0.729950846448569,0.9471126295378255,0.025338938404650554
12060,156174.7733518752,2328576.2174661867,5300065.527443854,74909881.35777807,28092.629072347234,170584.7196691069,6942.398612121212,37183.18374425443,5065.1804,17976.420967566755,806.0,5395.877929412942,260.0952,2753.904910911091,41166.30328446845,233894.10722125214,5677862.511751685,79523769.46216759,168880.17819417943,2474992.1413150816,115008.47006740674,2094682.1102449344,217.0,3971.728172817282,2399.380007860786,31403.240618451844,156174.7733518752,2328576.2174661867,182.0,993.0,0.0,54.016201620162015,0.0,1427.0,47.0,3160.9604437243725,3619.6804,37854.38509816982,775.0,14371.0,2961.0,20243.453167776777,2504.3444344434442,32937.140146334634,13962.493541574157,591748.8881264126,9955118871.811172,296762007688.4272,382462.7556870087,6006485.195084648,3356.380007860786,48248.256820072005,164535.39076339634,2396522.264772727,4398793.430672134,71353855.72620973,3111989.572545011,50424221.154567786,135833.34431650964,2221639.792982551,18505.569025372537,279269.51548633864,55242.84018011101,984666.9481844418,92823.80305636863,1552779.4033994467,182842.67173575357,3066741.029441494,"Atlanta-Sandy Springs-Roswell, GA",0.05986318226943998,0.0638760718314589,0.06285328949620715,0.05761819389048602,0.05806784950269318,0.05640715981362605,0.14966277120280924,0.0650402795983641,0.02305139702530392,33.62065680214551,0.6833653660185006,0.869752146273108,32.13091796724365,0.6989339173272733,0.954076476569018,0.06209051303815398
26420,830572.266,2264721.9916,25671270.2172,70403281.8048,92710.6464,191121.8808,30129.3684,41618.7616,11866.0,21598.2224,6585.0,10479.0772,1991.7232,1913.414,143282.738,266731.356,27177281.9204,74807008.3836,876121.804,2409059.77,687289.528,1997990.6356,2310.7796,7402.1664,14705.0,43869.7536,830572.266,2264721.9916,0.0,474.0,104.0,329.0,497.0,1288.0,576.0,1793.8164,11024.5844,33570.5908,1222.0,925.0,4913.0,13841.0,10197.173999999999,40844.4512,70086.8888,375513.2416,54858768000.88087,278150027045.2838,2022055.2444,5739454.3636,16528.0,46885.7536,833787.0,2347060.608,23112513.410295237,66057212.1794119,15037410.883438095,46040765.96155,753636.3594571429,2130732.168659841,155643.06888571428,320933.7724050794,272100.2073333333,912593.8943238095,487237.10457142856,1494660.3742880952,946208.6928,2784573.0116,"Houston-The Woodlands-Sugar Land, TX",0.2605234479534513,0.26668900463034195,0.26833386323793373,0.2612829644030067,0.2591968659479997,0.2458437481094166,0.34945807984834787,0.26063746524539433,0.15728650872944178,31.019981235851084,0.6465148588669392,0.9073700029578677,31.05236711648711,0.7014773589437974,0.9408360834410866,0.2702167497392872
14460,11994.374437443745,1785457.2394239423,354148.1818181818,55420393.94059406,2103.0,154841.01620162016,689.0,27123.456345634564,0.0,10283.0,0.0,7355.449144914492,0.0,4426.0,2792.0,204028.9216921692,543557.1818181818,72769055.28532854,18190.374437443745,2269896.0549054905,9202.374437443745,1581428.3177317732,533.0,31599.58505850585,1136.0,75061.0,11994.374437443745,1785457.2394239423,332.0,48129.0,0.0,3186.0,0.0,4682.0,0.0,1504.0,377.0,37823.14581458146,2023.0,131569.0,69.0,22106.0,1726.0,128779.08460846085,4782.0,438885.3582358236,2403230328.672212,315549533536.96106,44675.46894689469,4982156.457245724,3491.0,262627.0,144935.0,12925639.0,313522.8484848485,52137494.694147274,231627.79402940292,39121973.47971583,10552.54110411041,1696007.300424328,924.2544254425443,184141.37799708542,4180.370237023702,817713.0161866187,7404.7035703570355,1259984.3186318632,22972.374437443745,2708781.413141314,"Boston-Cambridge-Newton, MA-NH",0.008887400574129083,0.007950038164715413,0.006672988771962968,0.006183516597143928,0.00597744072800909,0.005842486750824614,0.013499601380539213,0.013118240780405684,0.010778345332897381,29.881582904599448,0.7016986238009313,0.8797908685564915,32.05832052444285,0.7429120843504771,0.9499008225879023,0.009218074287122614
