series,years,dependent,dlog_vmt,dlog_delay,elasticity_delay_on_vmt,implied_beta,note
101 Area Sum,2018-2019,pdelay,0.0035036538430716045,0.013846239082909245,3.951942658459216,2.951942658459216,
101 Area Sum,2018-2019,delay,0.0035036538430716045,0.014612675087011685,4.170696005231201,3.1706960052312008,
101 Area Sum,2019-2020,pdelay,-0.20081112363421014,-0.7012188639903583,3.4919323755574005,2.4919323755574005,
101 Area Sum,2019-2020,delay,-0.20081112363421014,-0.6970269525716646,3.471057479073431,2.471057479073431,
101 Area Sum,2020-2021,pdelay,0.13172268921676497,0.4668039581029802,3.5438386573994105,2.5438386573994105,
101 Area Sum,2020-2021,delay,0.13172268921676497,0.4660155459129251,3.537853263427096,2.537853263427096,
101 Area Sum,2021-2022,pdelay,0.02488558732322595,0.17725034335835607,7.122610411245013,6.122610411245013,
101 Area Sum,2021-2022,delay,0.02488558732322595,0.17784031690894506,7.146317850532104,6.146317850532104,
101 Area Sum,2022-2023,pdelay,0.0462531806681291,0.08534606523715148,1.8451934332801345,0.8451934332801345,
101 Area Sum,2022-2023,delay,0.0462531806681291,0.08497075251932608,1.837079121736496,0.8370791217364959,
101 Area Sum,2023-2024,pdelay,0.0523241326375543,0.0675222041284346,1.2904600750127346,0.29046007501273463,
101 Area Sum,2023-2024,delay,0.0523241326375543,0.06749556067678157,1.2899508749493989,0.28995087494939886,
101 Area Sum,2019-2024,pdelay,0.05437446621146414,0.09570370683656419,1.760085450114935,0.760085450114935,
101 Area Sum,2019-2024,delay,0.05437446621146414,0.0992952234463133,1.8261369787089183,0.8261369787089183,
101 Area Sum,2019-2021,pdelay,-0.06908843441744515,-0.23441490588737798,3.392968850198567,2.392968850198567,
101 Area Sum,2019-2021,delay,-0.06908843441744515,-0.23101140665873954,3.343705912670212,2.343705912670212,
"101 areas, 2019-2020 area VMT changes",2019-2020,imputation test,-0.17981886554759594,,0.999997323213123,,correlation of freeway and arterial log VMT changes across areas
