row,item,mean_all_cu
3,Item,"All
consumer
units"
4,Number of consumer units (in thousands) a/,135760.0
9,Income before taxes [I],104207.0
13,Age of reference person [I],52.2
16,People [I],2.4
17,Children under 18 [I],0.6
18,Adults 65 and older [I],0.4
19,Earners [I],1.3
20,Vehicles [I],1.9
21,Vehicles (owned) [I],1.8
22,Vehicles (leased) [I],b/
27,Men [I],48.0
28,Women [I],52.0
31,Homeowner [I],65.0
32,With mortgage [I],37.0
33,Without mortgage [I],28.0
34,Renter [I],35.0
37,Black or African-American [I],13.0
38,"White, Asian, and all other races, not including Black or African-American [I]",87.0
39,White [I],79.0
40,Asian [I],5.0
41,All other races not including Black or African-American [I],2.0
44,Hispanic or Latino [I],16.0
45,Not Hispanic or Latino [I],84.0
48,Elementary (1-8) [I],3.0
49,High school (9-12) [I],27.0
50,College [I],70.0
51,Never attended and other [I],b/
53,At least one vehicle owned or leased [I],89.0
54,At least one vehicle owned [I],87.0
55,At least one vehicle leased [I],4.0
58,Average annual expenditures,78535.21
65,Food,10169.0
72,Food at home,6224.06
79,Cereals and bakery products [D],778.63
86,Cereals and cereal products [D],239.81
93,Flour and prepared flour mixes [D],30.9
99,"Cereal, breakfast, and granola bars [D]",101.18
105,Rice [D],46.79
111,"Pasta, cornmeal, and other cereal products [D]",60.94
118,Bakery products [D],538.82
125,Bread [D],131.7
131,Cookies and crackers [D],141.52
138,Cookies [D],88.71
144,Crackers [D],52.81
151,Frozen and refrigerated bakery products [D],45.99
157,Other bakery products [D],219.61
164,Biscuits and rolls [D],88.41
170,Cakes and cupcakes [D],64.14
176,Bread and cracker products [D],7.64
182,"Sweetrolls, coffee cakes, and doughnuts [D]",38.14
188,"Pies, tarts, and turnovers [D]",21.29
195,"Meats, poultry, fish, and eggs [D]",1414.32
202,Beef [D],408.24
209,Ground beef [D],153.38
215,Roasts [D],56.26
221,Steak [D],150.5
227,Other beef [D],48.1
234,Pork [D],259.64
241,"Bacon, breakfast sausage, and related products [D]",100.79
247,Pork chops [D],35.12
253,Ham [D],51.67
259,Other pork [D],72.06
266,Other meats [D],149.83
273,Frankfurters [D],24.84
279,Lunchmeats [D],104.31
285,"Lamb, organ meat, and game [D]",20.68
292,Poultry [D],267.37
299,Chicken [D],213.65
305,Other poultry [D],53.72
312,Fish and seafood [D],223.88
319,Fresh fish and shellfish [D],117.94
325,Processed fish and seafood [D],105.94
332,Eggs [D],105.36
339,Dairy products [D],631.36
346,Fresh milk and cream [D],141.21
353,"Fresh milk, all types [D]",141.21
360,Other dairy products [D],490.15
367,Butter and margarine [D],52.83
373,Cheese [D],201.08
379,Ice cream and related products [D],87.38
385,Other dairy and related products [D],148.85
392,Fruits and vegetables [D],952.59
399,Fresh fruits [D],394.45
406,Apples [D],52.81
412,Bananas [D],42.88
418,Citrus fruits [D],58.64
424,Other fresh fruits [D],240.12
431,Fresh vegetables [D],354.82
438,Potatoes [D],51.63
444,Lettuce [D],30.63
450,Tomatoes [D],48.21
456,Other fresh vegetables [D],224.34
463,Processed fruits and vegetables [D],203.31
470,Frozen fruits and vegetables [D],65.21
476,Canned fruits and vegetables [D],73.43
482,Dried fruits and vegetables [D],61.65
488,Frozen noncarbonated juices and drinks [D],3.02
495,Other food at home,2447.16
502,Sugar and other sweets [D],229.84
509,Candy and chewing gum [D],161.6
515,Sugar and artificial sweeteners [D],25.29
521,"Jams, preserves, and other sweets [D]",42.95
528,Fats and oils [D],125.13
535,Fats and oils [D],57.26
541,Salad dressings [D],40.53
547,Peanut butter [D],27.34
554,Miscellaneous foods [D],1284.21
561,Frozen prepared foods [D],230.33
568,Frozen meals [D],67.14
574,Other frozen prepared foods [D],163.19
581,Canned and packaged soups [D],65.34
587,"Potato chips, nuts, and other snacks [D]",280.97
594,Potato chips and other snacks [D],213.76
600,Nuts [D],67.21
607,Condiments and seasonings [D],239.32
614,"Salt, spices, and other seasonings [D]",74.56
620,"Olives, pickles, and relishes [D]",22.24
626,Sauces and gravies [D],98.13
632,Baking needs and miscellaneous products [D],44.39
639,Other canned and packaged prepared foods [D],468.26
646,Prepared salads [D],74.7
652,Prepared desserts [D],16.79
658,Baby food [D],40.28
664,Miscellaneous prepared foods [D],336.5
671,Nonalcoholic beverages [D],713.91
678,Cola [D],95.35
684,Other carbonated drinks [D],152.08
690,Tea [D],51.09
696,Coffee [D],136.88
702,Nonfrozen noncarbonated juices and drinks [D],257.02
708,Other noncarbonated beverages and ice [D],21.49
715,Food prepared by consumer unit on out of town trips [I],94.06
722,Food away from home,3944.94
729,Food and nonalcoholic beverages at fast food [D],1730.73
735,Food and nonalcoholic beverages at full service restaurants [D],1521.71
741,Food and nonalcoholic beverages at vending machines and mobile vendors [D],36.32
747,Food and nonalcoholic beverages at employer [D],43.6
753,School meals and board [I],40.16
759,Catered affairs [I],47.95
765,Food on out of town trips [I],478.99
771,Meals as pay [I],45.48
778,Alcoholic beverages,642.71
785,At home [D],268.72
792,"Beer, ale, and other malt beverage [D]",90.11
798,Distilled spirits [D],61.2
804,Wine [D],117.42
811,Away from home,373.99
818,Alcoholic beverages purchased on trips [I],95.16
824,"Alcoholic beverages at restaurants, taverns [D]",278.83
831,Housing,26265.71
838,Shelter [I],16316.79
845,Owned dwellings [I],9309.69
852,Mortgage interest and charges [I],3645.53
859,Mortgage interest [I],3470.28
865,"Interest paid, home equity loan [I]",45.15
871,"Interest paid, home equity line of credit [I]",129.94
877,Late fee mortgage pay (owned home) (new UCC Q20242) [I],0.16
884,Property taxes [I],2737.69
890,"Maintenance, repairs, insurance, and other expenses [I]",2926.47
897,Homeowners insurance [I],736.78
903,Ground rent [I],76.0
909,Maintenance and repair services [I],1742.55
916,Painting and papering [I],125.94
922,Plumbing and water heating [I],181.03
928,"Heat, a/c, and electrical work [I]",448.69
934,Roofing and gutters [I],374.53
940,Other repair and maintenance services [I],462.16
946,Repair of built-in appliances (through Q20241) [I],0.29
952,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner) (new UCC Q20242) [I]",20.82
958,"Flooring installation, repair, and replacement [I]",129.09
965,Maintenance and repair commodities [I],211.39
972,"Paints, wallpaper, and supplies [I]",38.65
978,Tools and equipment for painting and wallpapering [I],4.15
984,Plumbing supplies and equipment [I],23.75
990,"Electrical supplies, heating, and cooling equipment [I]",10.27
996,Materials and equipment for roofs and gutters [I],25.34
1002,"Materials for plaster, panel, siding, windows, doors, screens, and awnings [I]",48.87
1008,"Materials for patio, walk, fence, driveway, masonry, brick, and stucco work [I]",3.98
1014,Materials for landscaping maintenance [I],d/
1020,Miscellaneous supplies and equipment [I],56.38
1027,"Material for insulation, other maintenance, and repair [I]",56.38
1033,"Materials to finish basements, remodel rooms, or build patios or walkways [I]",d/
1040,Property management and security [I],143.13
1047,Property management [I],130.29
1053,Management and upkeep services for security [I],12.84
1060,Parking [I],16.62
1067,Rented dwellings [I],5660.45
1074,Rent [I],5450.23
1080,Rent as pay [I],75.74
1086,"Maintenance, insurance, and other expenses [I]",134.49
1093,Tenant's insurance [I],39.76
1099,Maintenance and repair services [I],68.36
1106,Repair or maintenance services [I],56.0
1112,Repair of built-in appliances (through Q20241) [I],b/
1118,"Home warranties, maintenance, repairs, or services contracts on household appliances (renter) (new UCC Q20242) [I]",1.08
1124,"Flooring installation, repair, and replacement [I]",11.28
1131,Maintenance and repair commodities [I],26.37
1138,"Paint, wallpaper, and supplies [I]",4.72
1144,Tools and equipment for painting and wallpapering [I],0.51
1150,"Materials for plastering, panels, roofing, and gutters, etc. [I]",1.21
1156,"Materials for patio, walk, fence, driveway, masonry, brick and stucco work [I]",0.1
1162,Plumbing supplies and equipment [I],2.19
1168,"Electrical supplies, heating, and cooling equipment [I]",0.41
1174,Miscellaneous supplies and equipment [I],14.66
1181,"Material for insulation, other maintenance, and repair [I]",9.94
1187,"Materials for additions, finishing basements, and remodeling rooms [I]",1.88
1193,Construction materials for jobs not started [I],2.84
1200,Material for landscape maintenance [I],2.57
1207,Other lodging [I],1346.64
1214,Owned vacation homes [I],281.16
1221,Mortgage interest and charges [I],72.03
1228,Mortgage interest [I],70.88
1234,"Interest paid, home equity loan [I]",0.03
1240,"Interest paid, home equity line of credit [I]",1.12
1246,Late fee mortgage pay (owned vacation) (new UCC Q20242) [I],d/
1253,Property taxes [I],116.16
1259,"Maintenance, insurance, and other expenses [I]",92.97
1266,Homeowners insurance [I],14.26
1272,Ground rent [I],5.17
1278,Maintenance and repair services [I],53.81
1285,Repair and remodeling services [I],52.67
1291,"Flooring installation, repair, and replacement [I]",1.14
1298,Maintenance and repair commodities [I],2.53
1305,"Paints, wallpaper, and supplies [I]",0.64
1311,Tools and equipment for painting and wallpapering [I],0.07
1317,"Materials for plastering, paneling, roofing, gutters, downspouts, siding, windows, doors, screens, and awnings [I]",0.95
1323,"Material for patio, walk, fence, drive, masonry, brick, and stucco [I]",0.07
1329,Plumbing supplies and equipment [I],0.25
1335,"Electrical supplies, heating, and cooling equipment [I]",0.05
1341,Miscellaneous supplies and equipment [I],0.49
1348,"Material for insulation, other maintenance, and repair [I]",0.49
1354,Material for finishing basements and remodeling rooms [I],d/
1361,Materials for landscaping maintenance [I],d/
1368,Property management and security [I],14.19
1375,Property management [I],12.26
1381,Management and upkeep services for security [I],1.92
1388,Parking [I],3.02
1395,Housing while attending school [I],159.76
1401,Lodging on out of town trips [I],905.72
1408,"Utilities, fuels, and public services [I]",4736.5
1415,Natural gas [I],492.57
1422,Natural gas (renter) [I],87.32
1428,Natural gas (owned home) [I],400.78
1434,Natural gas (owned vacation) [I],3.42
1440,Natural gas (rented vacation) [I],1.05
1447,Electricity [I],1832.89
1454,Electricity (renter) [I],458.79
1460,Electricity (owned home) [I],1358.9
1466,Electricity (owned vacation) [I],11.58
1472,Electricity (rented vacation) [I],3.62
1479,Fuel oil and other fuels [I],125.32
1486,Fuel oil [I],62.39
1493,Fuel oil (renter) [I],3.8
1499,Fuel oil (owned home) [I],58.22
1505,Fuel oil (owned vacation) [I],0.37
1511,Fuel oil (rented vacation) [I],d/
1518,"Coal, wood, and other fuels [I]",9.82
1525,"Coal, wood, and other fuels (renter) [I]",0.28
1531,"Coal, wood, and other fuels (owned home) [I]",9.54
1537,"Coal, wood, and other fuels (owned vacation) [I]",d/
1543,"Coal, wood, and other fuels (rented vacation) [I]",d/
1550,Bottled gas [I],53.12
1557,"Gas, bottled/tank (renter) [I]",3.04
1563,"Gas, bottled/tank (owned home) [I]",45.5
1569,"Gas, bottled/tank (owned vacation) [I]",4.58
1575,"Gas, bottled/tank (rented vacation) [I]",d/
1582,Telephone services [I],1459.68
1589,"Residential phone service, VOIP, and phone cards [I]",100.29
1596,Phone cards [I],d/
1602,Residential telephone including VOIP [I],100.29
1609,Cellular phone service [I],1359.39
1616,Water and other public services [I],826.03
1623,Water and sewerage maintenance [I],559.48
1630,Water/sewer maintenance (renter) [I],93.55
1636,Water/sewer maintenance (owned home) [I],461.52
1642,Water/sewer maintenance (owned vacation) [I],3.56
1648,Water/sewer maintenance (rented vacation) [I],0.85
1655,Trash and garbage collection [I],257.87
1662,Trash/garbage collection (renter) [I],25.29
1668,Trash/garbage collection (owned home) [I],224.53
1674,Trash/garbage collection (owned vacation) [I],7.57
1680,Trash/garbage collection (rented vacation) [I],0.48
1687,Septic tank cleaning [I],8.69
1694,Septic tank cleaning (renter) (through Q20241) [I],d/
1700,Septic tank cleaning (owned home) (through Q20241) [I],0.24
1706,Septic tank cleaning (owned vacation) (through Q20241) [I],d/
1712,Septic tank cleaning (rented vacation) (through Q20241) [I],d/
1718,Septic tank cleaning (renter) (new UCC Q20242) [I],0.23
1724,Septic tank cleaning (owner) (new UCC Q20242) [I],8.22
1731,Household operations,1920.72
1738,Personal services [I],547.12
1745,"Care for elderly, invalids, handicapped, etc. [I]",75.71
1751,Adult day care centers [I],0.95
1757,"Babysitting, childcare, daycare, preschool [I]",470.46
1764,Other household expenses,1373.59
1771,Housekeeping services [I],186.25
1777,Gardening and lawn care service [I],238.02
1783,Water softening services (through Q20241) [I],0.67
1789,Water softening services (owner) (new UCC Q20242) [I],4.19
1795,Water softening services (renter) (new UCC Q20242) [I],0.53
1801,"Household laundry and dry cleaning, sent out (nonclothing) not coin-operated [D]",d/
1807,Coin-operated household laundry and dry cleaning (nonclothing) [D],d/
1813,Services for termite/pest control [I],68.04
1819,Home security system service fees [I],44.4
1825,Other home services [I],25.6
1831,Termite/pest control products [I],17.01
1837,"Moving, storage, and freight [I]",59.85
1843,"Appliance repair, including service center (through Q20241) [I]",1.82
1849,"Reupholstering, furniture repair [I]",9.33
1855,"Repairs/rentals of lawn and garden equipment, hand or power tools, and other household equipment [I]",7.06
1861,Appliance rentals [I],1.8
1867,Rental of office equipment for nonbusiness use [I],0.89
1873,Repair of miscellaneous household equipment and furnishings [D],2.52
1879,Repair of computer systems for nonbusiness use [I],7.53
1885,Computer information services (internet) [I],697.9
1891,Installation of computers [I],0.19
1897,"Rental and installation of dishwashers, range hoods, and garbage disposals [I]",d/
1904,Housekeeping supplies [D],877.3
1911,Laundry and cleaning products [D],208.88
1917,Other household products [D],537.09
1924,"Paper towels, napkins, and toilet tissue [D]",131.24
1930,Miscellaneous household products [D],277.18
1936,Lawn and garden supplies [D],128.67
1943,Postage and stationery [D],131.33
1950,"Stationery, stationery supplies, and gift wrap [D]",85.57
1956,Postage [D],43.29
1962,Delivery services [D],2.48
