row,item,all_cu,q1_lowest,q2_second,q3_third,q4_fourth,q5_highest
3,Item,"All
consumer
units","Lowest
20
percent","Second
20
percent","Third
20
percent","Fourth
20
percent","Highest
20
percent"
4,Number of consumer units (in thousands) a/,135760.0,27139.0,27186.0,26959.0,27205.0,27272.0
5,Lower limit,n.a.,n.a.,29932.0,57452.0,94511.0,155925.0
10,Income before taxes,104207.0,16658.0,42925.0,74474.0,121548.0,264510.0
14,Age of reference person,52.2,57.1,56.0,50.4,48.5,48.9
17,People,2.4,1.6,2.1,2.5,2.9,3.2
18,Children under 18,0.6,0.3,0.4,0.5,0.7,0.8
19,Adults 65 and older,0.4,0.5,0.6,0.5,0.3,0.3
20,Earners,1.3,0.5,0.8,1.4,1.8,2.1
21,Vehicles,1.9,1.0,1.6,1.9,2.3,2.7
26,Men,48.0,39.0,44.0,48.0,51.0,57.0
27,Women,52.0,61.0,56.0,52.0,49.0,43.0
30,Homeowner,65.0,43.0,58.0,62.0,74.0,88.0
31,With mortgage,37.0,12.0,21.0,33.0,50.0,68.0
32,Without mortgage,28.0,31.0,37.0,29.0,24.0,20.0
33,Renter,35.0,57.0,42.0,38.0,26.0,12.0
36,Black or African-American,13.0,20.0,14.0,14.0,12.0,7.0
37,"White, Asian, and all other races, not including Black or African-American",87.0,80.0,86.0,86.0,88.0,93.0
40,Hispanic or Latino,16.0,15.0,19.0,20.0,15.0,10.0
41,Not Hispanic or Latino,84.0,85.0,81.0,80.0,85.0,90.0
44,Elementary (1-8),3.0,5.0,4.0,2.0,2.0,1.0
45,High school (9-12),27.0,43.0,36.0,27.0,21.0,10.0
46,College,70.0,52.0,60.0,71.0,78.0,89.0
47,Never attended and other,c/,1.0,c/,c/,c/,d/
49,At least one vehicle owned or leased,89.0,68.0,88.0,93.0,96.0,97.0
52,Average annual expenditures,78535.0,35046.0,50054.0,66900.0,89972.0,150342.0
57,Food,10169.0,5498.0,7400.0,9097.0,11845.0,16989.0
62,Food at home,6224.0,3843.0,4952.0,5820.0,7162.0,9336.0
67,Cereals and bakery products,779.0,501.0,626.0,740.0,860.0,1166.0
72,Cereals and cereal products,240.0,156.0,191.0,223.0,270.0,359.0
77,Bakery products,539.0,345.0,435.0,517.0,589.0,807.0
82,"Meats, poultry, fish, and eggs",1414.0,889.0,1117.0,1342.0,1647.0,2074.0
87,Beef,408.0,237.0,336.0,382.0,492.0,593.0
92,Pork,260.0,180.0,234.0,241.0,285.0,357.0
97,Other meats,150.0,92.0,107.0,151.0,172.0,227.0
102,Poultry,267.0,171.0,200.0,250.0,311.0,405.0
107,Fish and seafood,224.0,132.0,157.0,219.0,263.0,348.0
112,Eggs,105.0,77.0,84.0,99.0,124.0,143.0
117,Dairy products,631.0,385.0,493.0,594.0,733.0,951.0
122,Fresh milk and cream,141.0,99.0,108.0,133.0,162.0,205.0
127,Other dairy products,490.0,287.0,385.0,461.0,571.0,746.0
132,Fruits and vegetables,953.0,579.0,774.0,879.0,1084.0,1445.0
137,Fresh fruits,394.0,223.0,321.0,367.0,450.0,610.0
142,Fresh vegetables,355.0,231.0,283.0,330.0,398.0,532.0
147,Processed fruits and vegetables,203.0,125.0,170.0,182.0,236.0,303.0
152,Other food at home,2447.0,1489.0,1941.0,2265.0,2838.0,3700.0
157,Sugar and other sweets,230.0,148.0,185.0,217.0,252.0,347.0
162,Fats and oils,125.0,74.0,106.0,116.0,144.0,186.0
167,Miscellaneous foods,1284.0,761.0,992.0,1153.0,1520.0,1994.0
172,Nonalcoholic beverages,714.0,478.0,610.0,695.0,801.0,985.0
177,Food prepared by consumer unit on out of town trips,94.0,29.0,48.0,85.0,122.0,188.0
182,Food away from home,3945.0,1655.0,2448.0,3277.0,4682.0,7652.0
188,Alcoholic beverages,643.0,244.0,342.0,504.0,726.0,1395.0
194,Housing,26266.0,14563.0,19174.0,24093.0,29374.0,44033.0
199,Shelter,16317.0,9178.0,11902.0,15257.0,17851.0,27338.0
204,Owned dwellings,9310.0,2989.0,5153.0,7657.0,10557.0,20133.0
209,Mortgage interest and charges,3646.0,720.0,1367.0,2667.0,4593.0,8850.0
214,Property taxes,2738.0,1054.0,1643.0,2155.0,3003.0,5816.0
219,"Maintenance, repairs, insurance, and other expenses",2926.0,1215.0,2142.0,2835.0,2961.0,5467.0
224,Rented dwellings,5660.0,5781.0,6225.0,6720.0,5697.0,3894.0
229,Other lodging,1347.0,409.0,523.0,880.0,1597.0,3312.0
234,"Utilities, fuels, and public services",4736.0,2934.0,4065.0,4635.0,5431.0,6607.0
239,Natural gas,493.0,287.0,410.0,458.0,555.0,751.0
244,Electricity,1833.0,1276.0,1674.0,1813.0,2023.0,2376.0
249,Fuel oil and other fuels,125.0,63.0,107.0,96.0,139.0,220.0
254,Telephone services,1460.0,834.0,1204.0,1465.0,1770.0,2024.0
259,"Residential phone service, VOIP, and phone cards",100.0,113.0,119.0,89.0,92.0,88.0
264,Cellular phone service,1359.0,720.0,1084.0,1376.0,1678.0,1935.0
269,Water and other public services,826.0,474.0,670.0,803.0,945.0,1236.0
