detail_line,parent,tier,detail_mean_all_cu,parent_mean_all_cu,within_parent_fraction,q1_lowest,q2_second,q3_third,q4_fourth,q5_highest
"Babysitting, childcare, daycare, preschool [I]",Personal services,intensive,470.46,547.12,0.8598844860359701,159.07862991665448,101.46636935224447,275.16303553151045,466.05739143149583,1345.7192206462933
Housekeeping services [I],Other household expenses,intensive,186.25,1373.59,0.13559359051827694,90.30533128517244,136.81393283294142,161.49196630726783,198.91579729031227,342.9161904207224
Gardening and lawn care service [I],Other household expenses,intensive,238.02,1373.59,0.1732831485377733,115.40657692615702,174.84269687461327,206.380229908488,254.20637890491344,438.23308265202866
Shoe repair and other shoe services [I],Other apparel products and services,intensive,2.0,252.09,0.00793367448133603,1.0869134039430361,1.293188940457773,1.555000198341862,1.9516839224086633,4.093776032369392
Apparel laundry and dry cleaning not coin-operated [I],Other apparel products and services,intensive,37.24,252.09,0.1477250188424769,20.238327581419338,24.079178071323735,28.954103693125475,36.34035463524932,76.22610972271808
Coin-operated apparel laundry and dry cleaning [I],Other apparel products and services,intensive,48.7,252.09,0.19318497362053236,26.46634138601293,31.489150700146773,37.86425482962434,47.52350351065096,99.6834463881947
"Alteration, repair, and tailoring of apparel and accessories [I]",Other apparel products and services,intensive,6.29,252.09,0.024951406243801818,3.418342655400849,4.067079217739696,4.890475623785156,6.1380459359752475,12.874925621801738
Personal care services,Personal care products and services,intensive,478.51,977.71,0.48941915291855453,208.9819782962228,322.5272217733274,416.98511828660844,560.384930091745,881.9333135592352
"Care for elderly, invalids, handicapped, etc. [I]",Personal services,nontraded,75.71,547.12,0.13837914899839157,25.60014256470244,16.328739581810204,44.2813276794853,75.00149875712823,216.5633681824828
Adult day care centers [I],Personal services,nontraded,0.95,547.12,0.001736364965638251,0.3212275186430764,0.20489106594531362,0.5556367890042403,0.9411098113759321,2.717411171223863
Services for termite/pest control [I],Other household expenses,nontraded,68.04,1373.59,0.04953443167175067,32.989931493385946,49.98024155679643,58.99550812105505,72.66701126245823,125.27257769785746
"Moving, storage, and freight [I]",Other household expenses,nontraded,59.85,1373.59,0.04357195378533624,29.018921221033935,43.96410136940426,51.894196958335456,63.92005620308826,110.19347112311534
Food away from home,Food away from home,nontraded,3944.94,3944.94,1.0,1655.0,2448.0,3277.0,4682.0,7652.0
