category,citizen_per100k,legal_immigrant_per100k,undocumented_per100k,foreign_born_per100k,citizen_ratio,legal_immigrant_ratio,undocumented_ratio,foreign_born_ratio
Arson,2.3066,1.6891,0.573,1.2676,1.0,0.7323,0.2484,0.5496
NA,9.4389,6.1752,1.7109,4.4891,1.0,0.6542,0.1813,0.4756
Traffic,68.3184,86.7411,38.0897,68.3665,1.0,1.2697,0.5575,1.0007
all_other_offenses,143.6017,124.3686,67.625,102.9378,1.0,0.8661,0.4709,0.7168
assault,160.9135,131.6368,77.8084,111.307,1.0,0.8181,0.4835,0.6917
burglary,63.1158,41.6417,18.2222,32.7966,1.0,0.6598,0.2887,0.5196
drugs,337.1583,235.6118,135.9785,197.9826,1.0,0.6988,0.4033,0.5872
homicide,4.8251,4.9978,1.891,3.8244,1.0,1.0358,0.3919,0.7926
kidnapping,2.0168,2.5287,1.4735,2.1302,1.0,1.2538,0.7306,1.0562
obstructing_police,56.4958,40.0122,22.0614,33.2326,1.0,0.7082,0.3905,0.5882
robbery,29.0616,17.4327,5.1818,12.8058,1.0,0.5999,0.1783,0.4406
sexual offsenses,21.2545,22.2069,7.7931,16.7631,1.0,1.0448,0.3667,0.7887
sexual_assault,18.1678,31.2387,11.2886,23.704,1.0,1.7195,0.6213,1.3047
theft,99.7487,54.9012,19.7284,41.6172,1.0,0.5504,0.1978,0.4172
weapons,30.4056,14.3823,4.6251,10.6972,1.0,0.473,0.1521,0.3518
