category,citizen_per100k,legal_noncitizen_per100k,naturalized_per100k,undocumented_per100k,citizen_ratio,legal_noncitizen_ratio,naturalized_ratio,undocumented_ratio
Arson,2.3066,1.3248,1.957,0.573,1.0,0.5744,0.8485,0.2484
NA,9.4389,5.6743,6.5436,1.7109,1.0,0.6012,0.6933,0.1813
Traffic,68.3184,103.2392,74.6088,38.0897,1.0,1.5111,1.0921,0.5575
all_other_offenses,143.6017,130.0044,120.2242,67.625,1.0,0.9053,0.8372,0.4709
assault,160.9135,132.7478,130.8198,77.8084,1.0,0.825,0.813,0.4835
burglary,63.1158,39.1221,43.4945,18.2222,1.0,0.6198,0.6891,0.2887
drugs,337.1583,202.5509,259.924,135.9785,1.0,0.6008,0.7709,0.4033
homicide,4.8251,6.026,4.2417,1.891,1.0,1.2489,0.8791,0.3919
kidnapping,2.0168,3.1068,2.1036,1.4735,1.0,1.5404,1.043,0.7306
obstructing_police,56.4958,38.1138,41.4082,22.0614,1.0,0.6746,0.7329,0.3905
robbery,29.0616,16.1787,18.3548,5.1818,1.0,0.5567,0.6316,0.1783
sexual offsenses,21.2545,29.0631,17.165,7.7931,1.0,1.3674,0.8076,0.3667
sexual_assault,18.1678,46.1681,20.2601,11.2886,1.0,2.5412,1.1152,0.6213
theft,99.7487,43.1785,63.5218,19.7284,1.0,0.4329,0.6368,0.1978
weapons,30.4056,9.9534,17.6392,4.6251,1.0,0.3274,0.5801,0.1521
