category,citizen_per100k,legal_immigrant_per100k,undocumented_per100k,foreign_born_per100k,citizen_ratio,legal_immigrant_ratio,undocumented_ratio,foreign_born_ratio
Arson,2.295,1.6632,0.6122,1.2875,1.0,0.7247,0.2668,0.561
NA,9.0976,5.421,1.7041,4.0924,1.0,0.5959,0.1873,0.4498
Traffic,67.6167,84.6354,40.602,68.8958,1.0,1.2517,0.6005,1.0189
all_other_offenses,141.1008,119.8859,72.1428,102.8204,1.0,0.8496,0.5113,0.7287
assault,158.4868,127.1801,82.1837,111.0964,1.0,0.8025,0.5186,0.701
burglary,65.2089,42.0566,20.0204,34.1798,1.0,0.645,0.307,0.5242
drugs,325.6753,223.2024,143.9694,194.8809,1.0,0.6854,0.4421,0.5984
homicide,4.8009,5.018,1.8571,3.8881,1.0,1.0452,0.3868,0.8099
kidnapping,1.9789,2.3841,1.5612,2.09,1.0,1.2048,0.7889,1.0561
obstructing_police,54.9431,38.1739,23.2347,32.8339,1.0,0.6948,0.4229,0.5976
robbery,29.3616,17.3925,5.6429,13.1927,1.0,0.5924,0.1922,0.4493
sexual offsenses,21.6054,22.0415,8.3265,17.1392,1.0,1.0202,0.3854,0.7933
sexual_assault,17.9557,30.1702,11.2347,23.4018,1.0,1.6803,0.6257,1.3033
theft,101.8131,55.0556,21.9694,43.2291,1.0,0.5408,0.2158,0.4246
weapons,29.7751,13.805,4.949,10.6395,1.0,0.4636,0.1662,0.3573
