year,ysm,rate_all,inst_share_yoep_imputed,inst_share_pobp_imputed,pop_share_yoep_imputed,rate_reported_only,rate_pobp_reported,us_rate_all,us_rate_pobp_reported,us_inst_share_pobp_imputed,crude_ratio_all,crude_ratio_pobp_reported_both
2006,0-5,0.0165813,0.131082,0.0776027,0.116708,0.0160387,0.0156604,0.0304988,0.0299722,0.0689931,0.54367,0.522497
2006,6-10,0.0161366,0.0793717,0.0219917,0.113051,0.0167728,0.0161927,0.0304988,0.0299722,0.0689931,0.529089,0.540258
2006,11-15,0.0163364,0.12664,0.0345894,0.123603,0.016254,0.0161106,0.0304988,0.0299722,0.0689931,0.535642,0.53752
2007,0-5,0.0155178,0.164652,0.0853316,0.122657,0.0139363,0.0145815,0.0310132,0.0303072,0.0834918,0.500359,0.481121
2007,6-10,0.0165092,0.217635,0.0565885,0.133235,0.0148625,0.0160519,0.0310132,0.0303072,0.0834918,0.532328,0.52964
2007,11-15,0.0218964,0.251925,0.0880724,0.151252,0.0185525,0.020613,0.0310132,0.0303072,0.0834918,0.706035,0.680133
2008,0-5,0.0230047,0.168281,0.0277933,0.138299,0.0220445,0.0229643,0.0304864,0.0306363,0.0678885,0.754588,0.749576
2008,6-10,0.0202549,0.25482,0.0568297,0.155936,0.0178874,0.0196929,0.0304864,0.0306363,0.0678885,0.664391,0.642795
2008,11-15,0.0173888,0.191324,0.0513137,0.157625,0.0162507,0.0169738,0.0304864,0.0306363,0.0678885,0.57038,0.554041
2009,0-5,0.0274389,0.165068,0.0113243,0.124799,0.0263446,0.0278739,0.0301173,0.0306909,0.0439885,0.911065,0.908212
2009,6-10,0.0187684,0.153323,0.0336439,0.132317,0.0183437,0.0186175,0.0301173,0.0306909,0.0439885,0.623177,0.606611
2009,11-15,0.0234582,0.161607,0.0343055,0.125523,0.0225912,0.0232279,0.0301173,0.0306909,0.0439885,0.778893,0.756832
2010,0-5,0.0366125,0.387527,0.028644,0.149515,0.0258391,0.0366564,0.0322675,0.0332153,0.0397582,1.13466,1.1036
2010,6-10,0.0169559,0.0523669,0.0138796,0.15588,0.0190371,0.0172837,0.0322675,0.0332153,0.0397582,0.525481,0.520355
2010,11-15,0.0163916,0.0232502,0.024533,0.133673,0.0182317,0.0164799,0.0322675,0.0332153,0.0397582,0.507992,0.496155
2011,0-5,0.0359326,0.224855,0.0794833,0.141622,0.0322489,0.0339769,0.0310604,0.0318329,0.0420676,1.15686,1.06735
2011,6-10,0.0209751,0.168352,0.0215753,0.140016,0.0202469,0.0211196,0.0310604,0.0318329,0.0420676,0.675301,0.663453
2011,11-15,0.021606,0.208508,0.0686176,0.135503,0.0195959,0.0206831,0.0310604,0.0318329,0.0420676,0.695612,0.649739
2012,0-5,0.043478,0.1209,0.0245376,0.144282,0.0443406,0.0437761,0.0306521,0.031623,0.0429912,1.41844,1.38431
2012,6-10,0.0183897,0.121626,0.0269921,0.137704,0.0188866,0.0185345,0.0306521,0.031623,0.0429912,0.599949,0.586108
2012,11-15,0.0205588,0.131633,0.0286159,0.149796,0.0209248,0.0206885,0.0306521,0.031623,0.0429912,0.670715,0.654225
2013,0-5,0.0320298,0.0821446,0.0118717,0.183163,0.0360643,0.0328869,0.030572,0.0320525,0.0502916,1.04768,1.02603
2013,6-10,0.0176627,0.135691,0.0167809,0.181054,0.0187035,0.018274,0.030572,0.0320525,0.0502916,0.577743,0.570128
2013,11-15,0.0158444,0.106456,0.0199863,0.155364,0.0166812,0.0163095,0.030572,0.0320525,0.0502916,0.518265,0.508836
2014,0-5,0.0412928,0.254094,0.0172797,0.187664,0.0376873,0.0426824,0.0296446,0.0312241,0.0487266,1.39293,1.36697
2014,6-10,0.018841,0.115436,0.0303977,0.170718,0.019958,0.0191454,0.0296446,0.0312241,0.0487266,0.635562,0.61316
2014,11-15,0.0151663,0.174432,0.0161131,0.165904,0.0150696,0.0156363,0.0296446,0.0312241,0.0487266,0.511606,0.500778
2015,0-5,0.0394921,0.157747,0.0442183,0.185278,0.0399097,0.0403555,0.0294055,0.0306923,0.0643319,1.34302,1.31484
2015,6-10,0.016753,0.266282,0.0296823,0.187924,0.0150095,0.0171701,0.0294055,0.0306923,0.0643319,0.569722,0.559425
2015,11-15,0.0116143,0.0943132,0.00895651,0.161172,0.0125714,0.0120725,0.0294055,0.0306923,0.0643319,0.394969,0.39334
2016,0-5,0.037219,0.152221,0.0427017,0.22076,0.040642,0.0383813,0.0285812,0.0297979,0.061623,1.30222,1.28805
2016,6-10,0.02172,0.358798,0.0508453,0.199669,0.0174391,0.0217403,0.0285812,0.0297979,0.061623,0.759942,0.72959
2016,11-15,0.0163696,0.189942,0.0961315,0.185194,0.0160486,0.0156245,0.0285812,0.0297979,0.061623,0.572742,0.524349
2017,0-5,0.0329922,0.139755,0.0392096,0.245562,0.0378465,0.0341001,0.0276009,0.0287407,0.0638671,1.19533,1.18648
2017,6-10,0.0162635,0.084282,0.015324,0.208278,0.0188477,0.017104,0.0276009,0.0287407,0.0638671,0.589237,0.595115
2017,11-15,0.0139031,0.222222,0.0705792,0.207191,0.0136987,0.0138139,0.0276009,0.0287407,0.0638671,0.503718,0.480639
2018,0-5,0.036224,0.156874,0.030269,0.271647,0.0423627,0.0390131,0.0273242,0.0281703,0.0916888,1.32571,1.3849
2018,6-10,0.0134065,0.210497,0.0959368,0.23652,0.0140398,0.013215,0.0273242,0.0281703,0.0916888,0.490644,0.469112
2018,11-15,0.0183083,0.179953,0.0468049,0.223412,0.0195048,0.0189192,0.0273242,0.0281703,0.0916888,0.670041,0.671602
2019,0-5,0.0344851,0.205802,0.0711236,0.253977,0.0342945,0.0350086,0.0265967,0.0277298,0.0761491,1.29659,1.26249
2019,6-10,0.019823,0.260293,0.0372827,0.269986,0.0201634,0.0206424,0.0265967,0.0277298,0.0761491,0.745318,0.744411
2019,11-15,0.0148079,0.21092,0.0232449,0.251774,0.0157137,0.0157831,0.0265967,0.0277298,0.0761491,0.556757,0.569175
