citizenship,period,ysm,n,n_inst,weighted_per_year,rate,rate_se,us_all_rate,us_all_expected,ratio_age_us_all,ratio_age_us_all_se,us_nhw_rate,us_nhw_expected,ratio_age_us_nhw,ratio_age_us_nhw_se,us_mexorig_rate,us_mexorig_expected,ratio_age_us_mexorig,ratio_age_us_mexorig_se
nat,2006-2010,0-5,750,13,22308,0.00677784,0.00202201,0.0308751,0.0310006,0.218636,0.0653378,0.0158278,0.0157442,0.430498,0.128763,0.0430681,0.0440101,0.154006,0.0462128
nat,2006-2010,3-5,546,8,16637.2,0.00453201,0.0021893,0.0308751,0.0308087,0.147102,0.0713714,0.0158278,0.0157168,0.288355,0.140138,0.0430681,0.0437042,0.103697,0.0505835
nat,2006-2010,6-10,1832,29,52240.4,0.0076416,0.00144273,0.0308751,0.0322942,0.236625,0.0446717,0.0158278,0.016414,0.465553,0.0878715,0.0430681,0.04582,0.166774,0.0314921
nat,2006-2010,11-15,2675,35,72438.8,0.00699349,0.00126607,0.0308751,0.0323718,0.216037,0.0390345,0.0158278,0.0164027,0.426363,0.0770358,0.0430681,0.0458003,0.152695,0.027559
nat,2006-2010,16+,12540,210,313915,0.0103824,0.000793931,0.0308751,0.0312625,0.332105,0.0254542,0.0158278,0.016135,0.643474,0.049329,0.0430681,0.0455132,0.228119,0.0174662
nat,2006-2010,all,17797,287,460902,0.00936468,0.000580503,0.0308751,0.0315411,0.296904,0.0184256,0.0158278,0.0161897,0.578433,0.0358798,0.0430681,0.0455203,0.205725,0.0127483
nat,2011-2015,0-5,543,10,15456.6,0.00756958,0.00333793,0.0302583,0.0299116,0.253065,0.111244,0.0159414,0.0153732,0.492388,0.216254,0.0368524,0.0387509,0.195339,0.0859951
nat,2011-2015,3-5,364,4,10370,0.00194793,0.0013347,0.0302583,0.0296513,0.0656944,0.0451311,0.0159414,0.0151634,0.128463,0.088234,0.0368524,0.0381186,0.0511017,0.0352192
nat,2011-2015,6-10,1275,29,36479.4,0.00882142,0.00206606,0.0302583,0.0312044,0.282698,0.0663423,0.0159414,0.0163324,0.540119,0.126864,0.0368524,0.040638,0.217073,0.051104
nat,2011-2015,11-15,2914,45,80669,0.00733119,0.0021555,0.0302583,0.0315219,0.232575,0.0683868,0.0159414,0.0164714,0.445086,0.130889,0.0368524,0.041451,0.176864,0.0520338
