year,ysm,n,n_inst,weighted_per_year,rate,rate_se,us_all_rate,us_all_expected,ratio_age_us_all,ratio_age_us_all_se,us_nhw_rate,us_nhw_expected,ratio_age_us_nhw,ratio_age_us_nhw_se,us_mexorig_rate,us_mexorig_expected,ratio_age_us_mexorig,ratio_age_us_mexorig_se
2006,0-5,6616,197,1.0375e+06,0.0165813,0.00118294,0.0304988,0.0312378,0.530808,0.0377502,0.0155229,0.0157655,1.05175,0.0749033,0.0431562,0.0440345,0.376552,0.0268817
2006,3-5,3533,101,536094,0.0160326,0.00159425,0.0304988,0.0317128,0.505557,0.0501946,0.0155229,0.0159854,1.00295,0.0996447,0.0431562,0.044889,0.357162,0.0353914
2006,6-10,6904,198,1.04545e+06,0.0161366,0.00121575,0.0304988,0.033187,0.486232,0.0365478,0.0155229,0.0165501,0.975012,0.0732864,0.0431562,0.0469887,0.343414,0.0257268
2006,11-15,4536,128,653019,0.0163364,0.0014837,0.0304988,0.0321773,0.5077,0.0460193,0.0155229,0.0161423,1.01202,0.0917762,0.0431562,0.0451818,0.361571,0.032706
2006,16+,8542,386,1.12619e+06,0.0283104,0.00146723,0.0304988,0.0306366,0.924072,0.0479296,0.0155229,0.0156362,1.81057,0.094,0.0431562,0.0455681,0.621278,0.0324017
2006,all,26598,909,3.86216e+06,0.0198397,0.000669769,0.0304988,0.031749,0.624892,0.0210543,0.0155229,0.0160039,1.23968,0.0417816,0.0431562,0.0454753,0.436273,0.0146649
2007,0-5,6141,177,986289,0.0155178,0.00126689,0.0310132,0.0318906,0.486593,0.0397688,0.0159151,0.0161831,0.958889,0.0783394,0.0441476,0.0460424,0.337032,0.0274162
2007,3-5,3497,93,556808,0.0145364,0.00169785,0.0310132,0.0322242,0.451103,0.0527607,0.0159151,0.0163206,0.89068,0.104131,0.0441476,0.0464646,0.31285,0.036495
2007,6-10,6851,217,1.04899e+06,0.0165092,0.00130822,0.0310132,0.0332615,0.496345,0.0394358,0.0159151,0.0167462,0.985849,0.0781353,0.0441476,0.0473381,0.348751,0.0277225
2007,11-15,4674,186,676183,0.0218964,0.00211982,0.0310132,0.0326968,0.669681,0.0646631,0.0159151,0.0164565,1.33057,0.128642,0.0441476,0.0458532,0.477534,0.0459024
2007,16+,8693,356,1.14806e+06,0.0244509,0.00144828,0.0310132,0.0311836,0.784093,0.0464422,0.0159151,0.0161463,1.51433,0.0897874,0.0441476,0.0448476,0.5452,0.0322663
2007,all,26359,936,3.85952e+06,0.019562,0.000716506,0.0310132,0.0321942,0.607626,0.0222007,0.0159151,0.0163731,1.19477,0.0436252,0.0441476,0.046006,0.425206,0.0155301
2008,0-5,5239,216,857087,0.0230047,0.00231477,0.0304864,0.0314144,0.732296,0.0737452,0.0154228,0.0156699,1.46808,0.147816,0.0421818,0.0443521,0.518682,0.0522322
2008,3-5,3220,118,518148,0.0200271,0.00223762,0.0304864,0.031795,0.629882,0.0709702,0.0154228,0.0158657,1.26229,0.142122,0.0421818,0.0449742,0.445302,0.0502227
2008,6-10,6495,254,1.02686e+06,0.0202549,0.0016038,0.0304864,0.0329749,0.614252,0.0487372,0.0154228,0.0164728,1.2296,0.0975837,0.0421818,0.046105,0.439321,0.0348655
2008,11-15,4377,138,652258,0.0173888,0.0016951,0.0304864,0.0326252,0.532987,0.0519548,0.0154228,0.0163192,1.06554,0.103879,0.0421818,0.0458019,0.379653,0.0370035
2008,16+,8234,368,1.13022e+06,0.0247086,0.00146002,0.0304864,0.0312494,0.79069,0.0462708,0.0154228,0.0159602,1.54814,0.0903799,0.0421818,0.0434142,0.569135,0.0333676
2008,all,24345,976,3.66642e+06,0.0217607,0.000961151,0.0304864,0.032016,0.679683,0.0300436,0.0154228,0.0160998,1.35162,0.0596638,0.0421818,0.0448118,0.485602,0.0214504
2009,0-5,4781,241,736984,0.0274389,0.0022198,0.0301173,0.0305483,0.898211,0.0720165,0.0153455,0.0154208,1.77934,0.142415,0.0421991,0.0435795,0.629627,0.0502766
2009,3-5,3047,130,471232,0.0236295,0.00254372,0.0301173,0.0308888,0.764989,0.0818644,0.0153455,0.0156035,1.51438,0.161661,0.0421991,0.0441413,0.535316,0.0571546
2009,6-10,6293,234,954955,0.0187684,0.00136473,0.0301173,0.0321368,0.584016,0.0424237,0.0153455,0.0164209,1.14296,0.0831103,0.0421991,0.0458522,0.409324,0.029621
2009,11-15,4885,200,713269,0.0234582,0.0019429,0.0301173,0.0320766,0.731318,0.0604524,0.0153455,0.0163702,1.43298,0.118201,0.0421991,0.0461206,0.508627,0.0420045
2009,16+,8177,336,1.11028e+06,0.0226591,0.00130683,0.0301173,0.0307508,0.736863,0.0424783,0.0153455,0.0158038,1.43378,0.0826939,0.0421991,0.0446506,0.507475,0.0292616
2009,all,24136,1011,3.51549e+06,0.0227664,0.000951352,0.0301173,0.0313538,0.726111,0.0301873,0.0153455,0.016006,1.42236,0.0591247,0.0421991,0.0450507,0.50535,0.0209488
2010,0-5,4259,288,656033,0.0366125,0.00239018,0.0322675,0.0328448,1.11471,0.073102,0.0169691,0.0171485,2.13502,0.139898,0.043741,0.0457645,0.800019,0.0525279
2010,3-5,2867,97,442401,0.0187816,0.00226385,0.0322675,0.0331093,0.567261,0.0689146,0.0169691,0.0172904,1.08624,0.13197,0.043741,0.0462177,0.406373,0.0495075
2010,6-10,5986,170,879574,0.0169559,0.00146688,0.0322675,0.0345479,0.490795,0.0423892,0.0169691,0.0181683,0.933271,0.0806872,0.043741,0.0485196,0.349466,0.0302493
2010,11-15,5509,162,760937,0.0163916,0.00156948,0.0322675,0.0345345,0.474645,0.0454941,0.0169691,0.0180435,0.90845,0.0870878,0.043741,0.0497706,0.329344,0.0315336
2010,16+,8447,325,1.09008e+06,0.0234387,0.00146812,0.0322675,0.0331049,0.708013,0.0446154,0.0169691,0.0172724,1.357,0.0855584,0.043741,0.0491641,0.476744,0.0301192
2010,all,24201,945,3.38662e+06,0.0227235,0.000883341,0.0322675,0.0337505,0.67328,0.0261857,0.0169691,0.0176543,1.28714,0.0500813,0.043741,0.0484745,0.468773,0.0181689
2011,0-5,3432,347,493340,0.0359326,0.00240826,0.0310604,0.0316821,1.13416,0.075169,0.0160091,0.0161602,2.22352,0.147681,0.0394265,0.0420479,0.854563,0.0565582
2011,3-5,2153,169,323463,0.0246798,0.00254248,0.0310604,0.0319554,0.77232,0.0788572,0.0160091,0.0162841,1.51558,0.154957,0.0394265,0.0425309,0.58028,0.0590813
2011,6-10,4956,280,740257,0.0209751,0.00172137,0.0310604,0.0327368,0.64072,0.0527418,0.0160091,0.0167155,1.25483,0.103163,0.0394265,0.0441091,0.475529,0.0392053
2011,11-15,6195,340,871470,0.021606,0.00149655,0.0310604,0.0332429,0.649944,0.0449991,0.0160091,0.0168201,1.28454,0.0886608,0.0394265,0.0458082,0.471663,0.0327011
2011,16+,8712,598,1.14339e+06,0.0307463,0.00179987,0.0310604,0.0321078,0.957595,0.0562816,0.0160091,0.0163873,1.87622,0.110513,0.0394265,0.0444092,0.692341,0.0403887
2011,all,23295,1565,3.24846e+06,0.0268552,0.000939474,0.0310604,0.032491,0.826543,0.0289817,0.0160091,0.0165437,1.62329,0.0569486,0.0394265,0.0443575,0.605426,0.0211963
2012,0-5,2615,294,373062,0.043478,0.0033017,0.0306521,0.0314165,1.38392,0.106496,0.0159188,0.0161417,2.69352,0.20712,0.0378164,0.0406282,1.07015,0.082877
2012,3-5,1584,118,240124,0.0280022,0.00321843,0.0306521,0.0315455,0.887676,0.103155,0.0159188,0.0162403,1.72424,0.200288,0.0378164,0.040996,0.683047,0.0794277
2012,6-10,4378,210,672877,0.0183897,0.00173431,0.0306521,0.0324126,0.567363,0.053821,0.0159188,0.0167308,1.09915,0.104165,0.0378164,0.0424448,0.433261,0.0411757
2012,11-15,6062,300,875391,0.0205588,0.0017449,0.0306521,0.032937,0.624185,0.0528984,0.0159188,0.0170105,1.2086,0.102245,0.0378164,0.0434604,0.473047,0.040283
2012,16+,8521,480,1.15799e+06,0.0259744,0.00183217,0.0306521,0.0320964,0.80926,0.0572323,0.0159188,0.0165412,1.57028,0.111154,0.0378164,0.0433887,0.598643,0.0422836
2012,all,21576,1284,3.07932e+06,0.024898,0.000984241,0.0306521,0.0323221,0.77031,0.0304366,0.0159188,0.0166677,1.49379,0.0590057,0.0378164,0.0428684,0.580802,0.0229305
2013,0-5,2175,179,326103,0.0320298,0.00313671,0.030572,0.0310256,1.03237,0.101199,0.0160303,0.016102,1.98918,0.195038,0.0375083,0.0397708,0.805359,0.0791051
2013,3-5,1261,72,193228,0.0220879,0.00329931,0.030572,0.0312706,0.706348,0.105657,0.0160303,0.0162342,1.36058,0.203921,0.0375083,0.0401193,0.550556,0.0829359
2013,6-10,4017,170,627536,0.0176627,0.00152674,0.030572,0.0326081,0.541667,0.046956,0.0160303,0.017064,1.03509,0.0897914,0.0375083,0.0429084,0.411638,0.0357917
2013,11-15,6132,213,918938,0.0158444,0.00140224,0.030572,0.0328504,0.48232,0.0425844,0.0160303,0.0171585,0.923413,0.0816199,0.0375083,0.0444892,0.35614,0.0314614
2013,16+,8350,464,1.1412e+06,0.0264449,0.00213374,0.030572,0.0321829,0.821706,0.0661577,0.0160303,0.0167175,1.58186,0.127346,0.0375083,0.044866,0.589418,0.0474677
2013,all,20674,1026,3.01378e+06,0.0219883,0.00101695,0.030572,0.0323497,0.679707,0.0315559,0.0160303,0.0168575,1.30436,0.060623,0.0375083,0.0437922,0.502106,0.0233948
2014,0-5,2139,173,294313,0.0412928,0.00426724,0.0296446,0.0299394,1.37921,0.141675,0.0158277,0.0157001,2.6301,0.270038,0.0351424,0.0369643,1.1171,0.114594
