year,group,ysm,outcome,n,n_inst,weighted,rate,rate_se,us_all_rate,us_all_expected,ratio_age_us_all,ratio_age_us_all_se,ratio_crude_us_all,ratio_crude_us_all_se,us_nhw_rate,us_nhw_expected,ratio_age_us_nhw,ratio_age_us_nhw_se,ratio_crude_us_nhw,ratio_crude_us_nhw_se,us_mexorig_rate,us_mexorig_expected,ratio_age_us_mexorig,ratio_age_us_mexorig_se,ratio_crude_us_mexorig,ratio_crude_us_mexorig_se
1980,mexico_born,0-5,institutional,12032,78,240640,0.00648271,0.000730281,0.0134845,0.0145616,0.445191,0.0505299,0.480754,0.0543476,0.00878683,0.00947821,0.683959,0.0777162,0.737776,0.0833238,0.0214642,0.0223504,0.290049,0.033276,0.302024,0.0351234
1980,mexico_born,0-5,correctional,12032,78,240640,0.00598404,0.000698258,0.00946892,0.0105319,0.568184,0.0665149,0.631967,0.073789,0.0051485,0.00584396,1.02397,0.119944,1.16229,0.135421,0.0178746,0.0186572,0.320736,0.0382614,0.33478,0.0403804
1980,mexico_born,6-10,institutional,9539,39,190780,0.00408848,0.000600339,0.0134845,0.0138405,0.2954,0.0434225,0.303199,0.0444339,0.00878683,0.00891487,0.458613,0.0679261,0.465296,0.0686123,0.0214642,0.0217591,0.187897,0.0280226,0.190479,0.0282576
1980,mexico_born,6-10,correctional,9539,39,190780,0.00356431,0.000540119,0.00946892,0.00981316,0.363218,0.05514,0.376423,0.0569048,0.0051485,0.00525852,0.677818,0.104008,0.692301,0.105486,0.0178746,0.0184658,0.193022,0.0297303,0.199407,0.030685
1980,mexico_born,11-15,institutional,4802,19,96040,0.00395668,0.000797892,0.0134845,0.0128376,0.308211,0.0620463,0.293425,0.0590687,0.00878683,0.0083792,0.472203,0.0953647,0.450297,0.090873,0.0214642,0.0203253,0.194668,0.0406742,0.184339,0.0381467
1980,mexico_born,11-15,correctional,4802,19,96040,0.00333195,0.000753749,0.00946892,0.0088259,0.377519,0.0853925,0.351882,0.0795062,0.0051485,0.00473566,0.703586,0.160142,0.647168,0.14691,0.0178746,0.0170208,0.195757,0.0452168,0.186407,0.0429519
1980,mexico_born,16+,institutional,5406,39,108120,0.00721421,0.0012359,0.0134845,0.0126009,0.572514,0.0977204,0.535001,0.091516,0.00878683,0.00829833,0.869357,0.147557,0.821025,0.139461,0.0214642,0.0199502,0.36161,0.0646234,0.336104,0.0598568
1980,mexico_born,16+,correctional,5406,39,108120,0.00573437,0.00113524,0.00946892,0.00860269,0.666579,0.131632,0.605599,0.119844,0.0051485,0.00464559,1.23437,0.242927,1.11379,0.219637,0.0178746,0.0167419,0.342516,0.0703579,0.320812,0.0657372
1980,mexico_born,all,institutional,31779,175,635580,0.00550678,0.000385886,0.0134845,0.0137511,0.400461,0.0281717,0.40838,0.0285778,0.00878683,0.00894234,0.61581,0.0432753,0.626709,0.0437655,0.0214642,0.0214586,0.256623,0.0203588,0.256556,0.0201235
1980,mexico_born,all,correctional,31779,175,635580,0.0048145,0.000356422,0.00946892,0.00973017,0.494801,0.0366596,0.508453,0.0375071,0.0051485,0.0052969,0.908928,0.067835,0.935126,0.0692889,0.0178746,0.0180267,0.267076,0.0222734,0.269349,0.0222958
1980,mexico_born_naturalized,0-5,institutional,1159,8,23180,0.0069025,0.00231555,0.0134845,0.0144771,0.476787,0.160512,0.511885,0.171863,0.00878683,0.00937549,0.736229,0.247538,0.785551,0.263497,0.0214642,0.0222844,0.309746,0.10502,0.321582,0.108674
1980,mexico_born_naturalized,0-5,correctional,1159,8,23180,0.00517688,0.00203841,0.00946892,0.0104419,0.495779,0.195718,0.546723,0.215332,0.0051485,0.00572382,0.904444,0.35639,1.00551,0.395336,0.0178746,0.0187435,0.276196,0.109456,0.289623,0.11468
