year,group,ysm,outcome,n,n_inst,weighted,rate,rate_se,us_all_rate,us_all_expected,ratio_age_us_all,ratio_age_us_all_se,ratio_crude_us_all,ratio_crude_us_all_se,us_nhw_rate,us_nhw_expected,ratio_age_us_nhw,ratio_age_us_nhw_se,ratio_crude_us_nhw,ratio_crude_us_nhw_se,us_mexorig_rate,us_mexorig_expected,ratio_age_us_mexorig,ratio_age_us_mexorig_se,ratio_crude_us_mexorig,ratio_crude_us_mexorig_se
1980,mexico_born,0-5,institutional,11319,65,226380,0.00574256,0.000720614,0.0110502,0.0119989,0.478591,0.060069,0.519679,0.065022,0.00724473,0.00785881,0.730715,0.0915694,0.792653,0.099011,0.0182109,0.018914,0.303615,0.0394202,0.315337,0.0414219
1980,mexico_born,0-5,correctional,11319,65,226380,0.00530082,0.000680817,0.00761694,0.00854399,0.620416,0.0794487,0.695925,0.0888773,0.00417043,0.00478504,1.10779,0.14112,1.27105,0.161376,0.0148173,0.0153739,0.344794,0.0458898,0.357745,0.0480763
1980,mexico_born,6-10,institutional,9072,35,181440,0.00385802,0.000587372,0.0110502,0.0113347,0.340373,0.0519987,0.349136,0.0531408,0.00724473,0.00734923,0.524956,0.0806586,0.532528,0.0814543,0.0182109,0.0185457,0.208028,0.0321561,0.211853,0.0326408
1980,mexico_born,6-10,correctional,9072,35,181440,0.00341711,0.000538234,0.00761694,0.00789629,0.432749,0.0685927,0.448619,0.0707063,0.00417043,0.00425771,0.80257,0.128747,0.819365,0.130397,0.0148173,0.015416,0.22166,0.0359239,0.230616,0.0372667
1980,mexico_born,11-15,institutional,4521,17,90420,0.00376023,0.000819353,0.0110502,0.0104602,0.359481,0.078135,0.340286,0.0739857,0.00724473,0.00686917,0.547407,0.119532,0.51903,0.113309,0.0182109,0.0173503,0.216724,0.0494288,0.206483,0.0465361
1980,mexico_born,11-15,correctional,4521,17,90420,0.00309666,0.000765138,0.00761694,0.00703953,0.439896,0.108613,0.406549,0.100255,0.00417043,0.00379179,0.816675,0.20306,0.742527,0.184015,0.0148173,0.0142985,0.216572,0.0550331,0.20899,0.0531044
1980,mexico_born,16+,institutional,5005,31,100100,0.00619381,0.00128949,0.0110502,0.0102572,0.603849,0.125281,0.560516,0.116541,0.00724473,0.00680484,0.910207,0.188833,0.85494,0.177434,0.0182109,0.017069,0.362869,0.0774546,0.340116,0.072845
1980,mexico_born,16+,correctional,5005,31,100100,0.00519481,0.00120101,0.00761694,0.00685734,0.757554,0.174215,0.682007,0.15722,0.00417043,0.0037296,1.39286,0.320225,1.24563,0.28685,0.0148173,0.0140729,0.369137,0.0877671,0.350591,0.0830047
1980,mexico_born,all,institutional,29917,148,598340,0.00494702,0.000394569,0.0110502,0.0112736,0.438816,0.0349441,0.447686,0.0354427,0.00724473,0.00737841,0.670473,0.0536177,0.682844,0.0542394,0.0182109,0.0182573,0.270961,0.0245188,0.271652,0.0244126
1980,mexico_born,all,correctional,29917,148,598340,0.00437878,0.000368822,0.00761694,0.00783806,0.558656,0.0467611,0.574874,0.0478349,0.00417043,0.00429847,1.01868,0.0859896,1.04996,0.087795,0.0148173,0.0150065,0.291793,0.0278873,0.295518,0.0280678
