year,ysm,rate,se_taylor_stratified,se_jackknife,jackknife_over_taylor
1980,0-5,0.00648271,0.000718493,0.000730281,1.01641
1980,6-10,0.00408848,0.000646313,0.000600339,0.928868
1980,11-15,0.00395668,0.000901557,0.000797892,0.885016
1980,all,0.00550678,0.000395595,0.000385886,0.975457
1990,0-5,0.00967177,0.000855815,0.000942866,1.10172
1990,6-10,0.0120109,0.00115397,0.00116087,1.00598
1990,11-15,0.0120144,0.00130976,0.0012688,0.968724
1990,all,0.0122209,0.000597125,0.000531021,0.889295
2000,0-5,0.00452589,0.000328712,0.000340936,1.03719
2000,6-10,0.00586389,0.000468357,0.00043276,0.923997
2000,11-15,0.00654568,0.000479473,0.000453284,0.945379
2000,all,0.00675827,0.00022685,0.000204107,0.899745
