ysm,n,n_inst,rate,rate_se
0,4491,36,0.00657171,0.00117881
1,11145,65,0.00441109,0.000634261
2,8893,38,0.00384617,0.000667893
3,7291,28,0.00382663,0.000953242
4,6709,45,0.00570714,0.00103202
5,8724,40,0.00402727,0.000658738
6,6761,30,0.00370881,0.00068555
7,5454,53,0.0076409,0.00106886
8,5689,36,0.00608628,0.00122469
9,4961,28,0.00545246,0.00117659
10,9197,66,0.00648341,0.000861098
11,7594,74,0.00835527,0.00114444
12,6715,34,0.00369921,0.000607754
13,4351,21,0.00590736,0.00161473
14,5464,48,0.00716971,0.00103216
15,7615,61,0.00720151,0.00117729
16+,37421,448,0.0106124,0.000529473
