block,victim,offence,hispanic_offender_incidents_2024,hispanic_victimisations,group_incidents,group_victimisations,outside_victims,unit_tangible,unit_full,cost_tangible,cost_full
nonfatal_violence,White,Rape/sexual assault,28033.6430,30451.8565,16750.6853,18195.6183,18195.6183,9993.1695,210442.4016,181831898.0739,3829129605.7961
nonfatal_violence,White,Robbery,33143.9457,36002.9797,19804.1976,21512.5299,21512.5299,8026.5070,22289.1698,172670473.1921,479496433.6076
nonfatal_violence,White,Aggravated assault,79479.1023,86335.0589,47490.4184,51586.9952,51586.9952,6615.0309,81697.3813,341249569.0489,4214522419.2739
nonfatal_violence,White,Simple assault,223512.8065,242793.2721,133553.5555,145074.0351,145074.0351,3537.7285,20653.4279,513232547.8776,2996276124.0796
nonfatal_violence,Black,Rape/sexual assault,6496.3543,6891.1659,3881.7070,4117.6151,4117.6151,9993.1695,210442.4016,41148025.8361,866520811.9033
nonfatal_violence,Black,Robbery,12163.3665,12902.5870,7267.8647,7709.5644,7709.5644,8026.5070,22289.1698,61880872.7415,171839789.6268
nonfatal_violence,Black,Aggravated assault,21265.7606,22558.1730,12706.7347,13478.9781,13478.9781,6615.0309,81697.3813,89163856.7535,1101197209.7834
nonfatal_violence,Black,Simple assault,48564.6471,51516.1311,29018.3878,30781.9609,30781.9609,3537.7285,20653.4279,108898220.1891,635753009.9301
nonfatal_violence,Hispanic,Rape/sexual assault,26189.3399,28163.0150,15648.6759,16827.9878,3598.2445,9993.1695,210442.4016,35957867.2740,757223213.3002
nonfatal_violence,Hispanic,Robbery,51320.5778,55188.1875,30665.1137,32976.0911,7051.1127,8026.5070,22289.1698,56595805.6027,157163448.0521
nonfatal_violence,Hispanic,Aggravated assault,71947.9915,77370.1197,42990.4229,46230.2574,9885.1848,6615.0309,81697.3813,65390803.1304,807593710.8888
nonfatal_violence,Hispanic,Simple assault,220627.1046,237253.9546,131829.2885,141764.1776,30312.7253,3537.7285,20653.4279,107238191.9353,626061685.7097
nonfatal_violence,Other,Rape/sexual assault,10979.6776,11911.6194,6560.5860,7117.4406,7117.4406,9993.1695,210442.4016,71125790.2188,1497811285.8491
nonfatal_violence,Other,Robbery,7746.2972,8403.7935,4628.5739,5021.4416,5021.4416,8026.5070,22289.1698,40304636.5187,111923765.0266
nonfatal_violence,Other,Aggravated assault,14128.5252,15327.7373,8442.0880,9158.6422,9158.6422,6615.0309,81697.3813,60584701.1577,748237080.5789
nonfatal_violence,Other,Simple assault,57283.3214,62145.4604,34227.9772,37133.2065,37133.2065,3537.7285,20653.4279,131367202.6803,766928002.7264
homicide,White,Murder,519.1226,,310.1865,310.1865,310.1865,2372050.3884,8963762.9944,735778117.4930,2780438684.6413
homicide,Black,Murder,504.2214,,301.2828,301.2828,301.2828,2372050.3884,8963762.9944,714657911.8803,2700627345.7101
homicide,Hispanic,Murder,2725.4243,,1628.4977,1628.4977,348.2135,2372050.3884,8963762.9944,825980037.9610,3121303550.1970
homicide,Other,Murder,103.2178,,61.6748,61.6748,61.6748,2372050.3884,8963762.9944,146295656.0251,552837997.9456
