offense,race_total,race_white,ethnicity_total,hispanic,not_hispanic
TOTAL,6341604,4432409,5492557,1031548,4461009
Murder and nonnegligent manslaughter,7335,3352,5984,1183,4801
Rape3,13799,9598,11844,3454,8390
Robbery,44157,20752,39690,9141,30549
Aggravated assault,255217,158657,226503,57689,168814
Burglary,104595,73021,93297,18958,74339
Larceny-theft,532056,359623,451951,63977,387974
Motor vehicle theft,47641,34196,42130,10659,31471
Arson,5050,3591,4401,824,3577
Violent crime4,320508,192359,284021,71467,212554
Property crime4,689342,470431,591779,94418,497361
Other assaults,617518,404866,534255,98185,436070
Forgery and counterfeiting,31500,21164,27754,4663,23091
Fraud,76151,50587,65995,9543,56452
Embezzlement,9494,5800,7958,1034,6924
"Stolen property; buying, receiving, possessing",56680,36550,49421,9244,40177
Vandalism,104011,70941,90665,17162,73503
"Weapons; carrying, possessing, etc.",97466,54167,82953,18755,64198
Prostitution and commercialized vice,19598,9973,17998,3474,14524
Sex offenses (except rape and prostitution),23976,17889,21262,5990,15272
Drug abuse violations,997642,708139,898477,180093,718384
Gambling,1746,994,1546,387,1159
Offenses against the family and children,55986,36819,47693,6038,41655
Driving under the influence,643147,523835,546446,144250,402196
Liquor laws,93266,71076,76303,12087,64216
Drunkenness,215789,163013,204347,45853,158494
Disorderly conduct,172495,112874,136508,17443,119065
Vagrancy,15697,10580,14586,2039,12547
All other offenses (except traffic),2098299,1469360,1792195,289387,1502808
Suspicion,1293,992,395,36,359
