occupation,occp_codes,group,state,n_unweighted,weighted_workers,share,share_se,total_weighted_workers
all_food_prep_serving,4000+4010+4020+4030+4040+4055+4110+4120+4130+4140+4150+4160,FBOTHER,US,9687,1264651.0,0.1434881788140521,0.0017496715535943509,8813625.0
all_food_prep_serving,4000+4010+4020+4030+4040+4055+4110+4120+4130+4140+4150+4160,MEXBORN,US,4415,635487.0,0.07210279538782283,0.0014036786944338548,8813625.0
all_food_prep_serving,4000+4010+4020+4030+4040+4055+4110+4120+4130+4140+4150+4160,OTHER_USBORN,US,15560,2019046.0,0.2290823582805032,0.0018149660066592306,8813625.0
all_food_prep_serving,4000+4010+4020+4030+4040+4055+4110+4120+4130+4140+4150+4160,USMEX,US,6781,854842.0,0.09699096569232296,0.0014520170203943372,8813625.0
all_food_prep_serving,4000+4010+4020+4030+4040+4055+4110+4120+4130+4140+4150+4160,USWHITE,US,39757,4039599.0,0.4583357018252989,0.0022018982016247172,8813625.0
chefs_and_cooks,4000+4020,FBOTHER,06,704,83586.0,0.24687587683674223,0.010303589569827222,338575.0
chefs_and_cooks,4000+4020,MEXBORN,06,848,109401.0,0.3231219079967511,0.01101131725654454,338575.0
chefs_and_cooks,4000+4020,OTHER_USBORN,06,376,41940.0,0.12387211105368087,0.006464505683996786,338575.0
chefs_and_cooks,4000+4020,USMEX,06,585,62532.0,0.18469172266115336,0.009555235705075948,338575.0
chefs_and_cooks,4000+4020,USWHITE,06,406,41116.0,0.12143838145167245,0.00653305472674286,338575.0
chefs_and_cooks,4000+4020,FBOTHER,12,452,70123.0,0.3710447224162381,0.020154691404962927,188988.0
chefs_and_cooks,4000+4020,MEXBORN,12,46,6897.0,0.03649438059559337,0.007776538139531827,188988.0
chefs_and_cooks,4000+4020,OTHER_USBORN,12,345,54914.0,0.29056871335746187,0.017645429620580515,188988.0
chefs_and_cooks,4000+4020,USMEX,12,28,3317.0,0.017551378923529537,0.0038681117076584714,188988.0
chefs_and_cooks,4000+4020,USWHITE,12,462,53737.0,0.28434080470717715,0.014766776201289616,188988.0
chefs_and_cooks,4000+4020,FBOTHER,13,99,13083.0,0.1476303317535545,0.016184739195666015,88620.0
chefs_and_cooks,4000+4020,MEXBORN,13,34,4953.0,0.0558903182125931,0.012281490457798572,88620.0
chefs_and_cooks,4000+4020,OTHER_USBORN,13,271,40748.0,0.4598059128864816,0.02441567051979772,88620.0
chefs_and_cooks,4000+4020,USMEX,13,24,2211.0,0.024949221394719025,0.005533717578783904,88620.0
chefs_and_cooks,4000+4020,USWHITE,13,303,27625.0,0.31172421575265175,0.020433495547743312,88620.0
chefs_and_cooks,4000+4020,FBOTHER,17,87,11450.0,0.12111147544451614,0.017894708082098122,94541.0
chefs_and_cooks,4000+4020,MEXBORN,17,133,23558.0,0.24918289419405337,0.025429522901173066,94541.0
chefs_and_cooks,4000+4020,OTHER_USBORN,17,122,17613.0,0.1863001237558308,0.019232788520104224,94541.0
