cbsa,NAME,pop_b03001,mexican_share,all,tagged,mexican,cbp_restaurants,osm_coverage,tagged_coverage
10180,"Abilene, TX Metro Area",178244,0.207115,193.0,151.0,22.0,279.0,0.691756,0.541219
10300,"Adrian, MI Micro Area",98823,0.070894,66.0,53.0,6.0,135.0,0.488889,0.392593
10460,"Alamogordo, NM Micro Area",68235,0.30795,81.0,57.0,9.0,62.0,1.306452,0.919355
10480,"Alamosa, CO Micro Area",27622,0.288393,52.0,40.0,11.0,41.0,1.268293,0.97561
10500,"Albany, GA Metro Area",146768,0.01174,102.0,93.0,9.0,213.0,0.478873,0.43662
10580,"Albany-Schenectady-Troy, NY Metro Area",902372,0.008221,1523.0,1119.0,78.0,1554.0,0.980051,0.720077
10660,"Albert Lea, MN Micro Area",30752,0.087181,24.0,22.0,5.0,47.0,0.510638,0.468085
10700,"Albertville, AL Micro Area",98712,0.092309,100.0,85.0,8.0,159.0,0.628931,0.534591
10740,"Albuquerque, NM Metro Area",918567,0.285097,1346.0,1152.0,210.0,1321.0,1.018925,0.872067
10760,"Alexander City, AL Micro Area",41070,0.018822,38.0,33.0,4.0,55.0,0.690909,0.6
10780,"Alexandria, LA Metro Area",150593,0.023208,76.0,63.0,5.0,180.0,0.422222,0.35
10820,"Alexandria, MN Micro Area",39354,0.018295,51.0,44.0,6.0,69.0,0.73913,0.637681
10860,"Alice, TX Micro Area",45850,0.742246,22.0,18.0,2.0,67.0,0.328358,0.268657
10940,"Alma, MI Micro Area",41478,0.057645,33.0,27.0,3.0,45.0,0.733333,0.6
10980,"Alpena, MI Micro Area",28908,0.010758,50.0,36.0,3.0,46.0,1.086957,0.782609
11100,"Amarillo, TX Metro Area",270207,0.258313,550.0,486.0,97.0,443.0,1.241535,1.097065
11140,"Americus, GA Micro Area",33713,0.031768,16.0,11.0,1.0,45.0,0.355556,0.244444
11180,"Ames, IA Metro Area",125261,0.030736,153.0,129.0,14.0,163.0,0.93865,0.791411
11200,"Amherst Town-Northampton, MA Metro Area",156595,0.007957,208.0,178.0,19.0,243.0,0.855967,0.73251
11220,"Amsterdam, NY Micro Area",49461,0.019935,48.0,45.0,2.0,71.0,0.676056,0.633803
11380,"Andrews, TX Micro Area",18518,0.526353,20.0,20.0,6.0,22.0,0.909091,0.909091
11420,"Angola, IN Micro Area",34648,0.032585,31.0,24.0,5.0,63.0,0.492063,0.380952
11460,"Ann Arbor, MI Metro Area",368394,0.027788,598.0,501.0,54.0,596.0,1.003356,0.840604
11500,"Anniston-Oxford, AL Metro Area",116141,0.03023,145.0,126.0,9.0,176.0,0.823864,0.715909
11580,"Arcadia, FL Micro Area",34719,0.22708,6.0,5.0,0.0,24.0,0.25,0.208333
11660,"Arkadelphia, AR Micro Area",21378,0.039199,34.0,24.0,2.0,32.0,1.0625,0.75
11680,"Arkansas City-Winfield, KS Micro Area",34487,0.070606,38.0,32.0,5.0,41.0,0.926829,0.780488
11860,"Atchison, KS Micro Area",16211,0.022516,16.0,14.0,4.0,19.0,0.842105,0.736842
11980,"Athens, TX Micro Area",83658,0.127388,81.0,74.0,12.0,134.0,0.604478,0.552239
12020,"Athens-Clarke County, GA Metro Area",218190,0.051166,380.0,319.0,51.0,348.0,1.091954,0.916667
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",6176937,0.057457,6968.0,5978.0,719.0,10632.0,0.65538,0.562265
12100,"Atlantic City-Hammonton, NJ Metro Area",369940,0.041818,760.0,443.0,33.0,1035.0,0.7343,0.428019
12140,"Auburn, IN Micro Area",43584,0.019296,37.0,31.0,3.0,65.0,0.569231,0.476923
12180,"Auburn, NY Micro Area",75464,0.00436,40.0,30.0,3.0,104.0,0.384615,0.288462
12220,"Auburn-Opelika, AL Metro Area",196614,0.020477,264.0,229.0,28.0,328.0,0.804878,0.698171
12300,"Augusta-Waterville, ME Micro Area",125614,0.004769,178.0,127.0,10.0,177.0,1.00565,0.717514
12380,"Austin, MN Micro Area",40069,0.095111,35.0,29.0,2.0,46.0,0.76087,0.630435
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2357497,0.247874,3203.0,2688.0,503.0,3644.0,0.878979,0.737651
12460,"Bainbridge, GA Micro Area",29118,0.052888,32.0,21.0,2.0,39.0,0.820513,0.538462
12540,"Bakersfield-Delano, CA Metro Area",910433,0.501359,711.0,574.0,135.0,1167.0,0.609254,0.491859
12580,"Baltimore-Columbia-Towson, MD Metro Area",2839409,0.015608,4092.0,3367.0,266.0,4479.0,0.913597,0.75173
12620,"Bangor, ME Metro Area",153571,0.008446,197.0,141.0,8.0,202.0,0.975248,0.69802
12700,"Barnstable Town, MA Metro Area",230073,0.006402,476.0,340.0,19.0,661.0,0.720121,0.514372
12860,"Batavia, NY Micro Area",57943,0.016378,72.0,42.0,4.0,88.0,0.818182,0.477273
12900,"Batesville, AR Micro Area",38120,0.04735,22.0,17.0,1.0,51.0,0.431373,0.333333
12940,"Baton Rouge, LA Metro Area",871379,0.017578,697.0,626.0,56.0,1258.0,0.554054,0.497615
12980,"Battle Creek, MI Metro Area",133846,0.042893,134.0,112.0,16.0,178.0,0.752809,0.629213
13020,"Bay City, MI Metro Area",103235,0.051514,114.0,94.0,8.0,142.0,0.802817,0.661972
13060,"Bay City, TX Micro Area",36274,0.377378,45.0,34.0,10.0,51.0,0.882353,0.666667
13140,"Beaumont-Port Arthur, TX Metro Area",396058,0.140676,394.0,347.0,45.0,537.0,0.733706,0.646182
13260,"Bedford, IN Micro Area",45077,0.015507,60.0,52.0,7.0,38.0,1.578947,1.368421
13300,"Beeville, TX Micro Area",31000,0.556323,13.0,12.0,1.0,31.0,0.419355,0.387097
13420,"Bemidji, MN Micro Area",46421,0.013658,70.0,60.0,6.0,67.0,1.044776,0.895522
13660,"Big Rapids, MI Micro Area",40321,0.018229,21.0,20.0,1.0,53.0,0.396226,0.377358
13700,"Big Spring, TX Micro Area",33127,0.383856,33.0,26.0,3.0,57.0,0.578947,0.45614
13740,"Billings, MT Metro Area",187269,0.04406,308.0,261.0,34.0,320.0,0.9625,0.815625
13780,"Binghamton, NY Metro Area",245844,0.006305,240.0,183.0,10.0,359.0,0.668524,0.509749
13820,"Birmingham, AL Metro Area",1181432,0.036971,1292.0,1159.0,153.0,1746.0,0.739977,0.663803
13860,"Bishop, CA Micro Area",18803,0.185662,72.0,55.0,13.0,38.0,1.894737,1.447368
13900,"Bismarck, ND Metro Area",134286,0.014194,110.0,100.0,14.0,175.0,0.628571,0.571429
13940,"Blackfoot, ID Micro Area",48993,0.149695,25.0,21.0,6.0,40.0,0.625,0.525
14010,"Bloomington, IL Metro Area",170882,0.046207,255.0,237.0,27.0,258.0,0.988372,0.918605
14020,"Bloomington, IN Metro Area",161256,0.020669,254.0,194.0,19.0,272.0,0.933824,0.713235
14180,"Blytheville, AR Micro Area",39749,0.042718,63.0,51.0,6.0,54.0,1.166667,0.944444
14220,"Bogalusa, LA Micro Area",45238,0.008533,25.0,22.0,3.0,43.0,0.581395,0.511628
14260,"Boise City, ID Metro Area",790640,0.118046,962.0,869.0,128.0,1090.0,0.882569,0.797248
14300,"Bonham, TX Micro Area",36525,0.111403,17.0,14.0,2.0,26.0,0.653846,0.538462
14420,"Borger, TX Micro Area",20413,0.219419,27.0,22.0,5.0,34.0,0.794118,0.647059
14500,"Boulder, CO Metro Area",328317,0.098432,622.0,515.0,102.0,636.0,0.977987,0.809748
14540,"Bowling Green, KY Metro Area",183194,0.033631,122.0,104.0,10.0,260.0,0.469231,0.4
14580,"Bozeman, MT Metro Area",122194,0.029805,209.0,176.0,23.0,263.0,0.794677,0.669202
14660,"Brainerd, MN Micro Area",97801,0.01137,98.0,62.0,5.0,174.0,0.563218,0.356322
14720,"Breckenridge, CO Micro Area",38268,0.137948,164.0,119.0,19.0,204.0,0.803922,0.583333
14780,"Brenham, TX Micro Area",36156,0.165007,49.0,43.0,8.0,66.0,0.742424,0.651515
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",947528,0.023811,903.0,722.0,62.0,1802.0,0.50111,0.400666
14940,"Brigham City, UT-ID Micro Area",64406,0.074046,76.0,63.0,9.0,69.0,1.101449,0.913043
15020,"Brookhaven, MS Micro Area",34830,0.002641,33.0,25.0,4.0,50.0,0.66,0.5
15180,"Brownsville-Harlingen, TX Metro Area",423192,0.842377,239.0,208.0,31.0,593.0,0.403035,0.350759
15220,"Brownwood, TX Micro Area",38294,0.193007,38.0,30.0,4.0,64.0,0.59375,0.46875
15260,"Brunswick-St. Simons, GA Metro Area",114345,0.031186,161.0,122.0,10.0,243.0,0.662551,0.502058
15380,"Buffalo-Cheektowaga, NY Metro Area",1161385,0.00641,1260.0,1019.0,102.0,1858.0,0.678149,0.548439
15420,"Burley, ID Micro Area",47087,0.28407,26.0,21.0,3.0,58.0,0.448276,0.362069
15460,"Burlington, IA-IL Micro Area",44881,0.02237,55.0,38.0,4.0,67.0,0.820896,0.567164
15580,"Butte-Silver Bow, MT Micro Area",35589,0.036837,60.0,52.0,6.0,64.0,0.9375,0.8125
