decile,n_cbsa,mexican_share_mean,mexican_share_min,mexican_share_max,pop_total,mex_rest_total,mex_per_100k_pooled,all_per_100k_pooled,mex_share_of_tagged,cbsas_with_any_mexican,mex_per_100k_median
0,58.0,0.007207,0.001173,0.011007,11126718.0,771.0,6.929267,112.324227,0.079028,0.948276,6.479277
1,57.0,0.014707,0.01137,0.017945,8687429.0,772.0,8.886404,118.711762,0.090674,0.982456,8.860731
2,57.0,0.020365,0.01796,0.022946,9824708.0,841.0,8.560051,111.952437,0.097136,0.982456,8.087997
3,57.0,0.026386,0.023009,0.030908,39501797.0,3316.0,8.394555,108.850744,0.094993,1.0,10.05935
4,58.0,0.036253,0.030914,0.042479,16590977.0,1532.0,9.233935,112.880634,0.101767,0.948276,9.197344
5,57.0,0.052282,0.042718,0.066963,18266731.0,2127.0,11.64412,109.231367,0.125487,0.982456,11.744671
6,57.0,0.085378,0.067362,0.106676,7733777.0,1169.0,15.115512,118.700087,0.152313,1.0,13.426649
7,57.0,0.145341,0.106918,0.185662,28391825.0,4510.0,15.884854,130.541098,0.144621,0.982456,14.096041
8,57.0,0.241216,0.188727,0.306291,36855799.0,6655.0,18.05686,122.650984,0.173579,0.982456,20.151014
9,58.0,0.555302,0.306974,0.924433,32914990.0,5077.0,15.424583,103.466536,0.177598,0.965517,15.006499
