award,family,year_n,person_qid,person,family_name,ethnic,citizenship,birth_country,surname,pcthispanic,surname_matched,us_citizen,mexico_linked,hisp_documented,mex_documented,hisp_imputed_50,hisp_imputed_70,hisp_imputed_90,hispanic_any,period
Academy Award for Best Actor,film,1990.0,Q166389,Daniel Day-Lewis,Day-Lewis,English people|Irish people|Jewish people,Ireland|United Kingdom,United Kingdom,DAY-LEWIS,,False,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1991.0,Q171745,Jeremy Irons,Irons,,United Kingdom,United Kingdom,IRONS,2.75,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1992.0,Q65932,Anthony Hopkins,Hopkins,,United Kingdom|United States,United Kingdom,HOPKINS,2.14,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1993.0,Q41163,Al Pacino,Pacino,Italian Americans|Sicilian Americans,United States,United States,PACINO,10.29,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1994.0,Q2263,Tom Hanks,Hanks,,Greece|United States,United States,HANKS,2.61,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1995.0,Q2263,Tom Hanks,Hanks,,Greece|United States,United States,HANKS,2.61,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1996.0,Q42869,Nicolas Cage,Cage|Coppola,English Americans|German Americans|Italian Americans|Polish Americans|Scottish Americans,United States,United States,CAGE,1.94,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1997.0,Q166272,Geoffrey Rush,Rush,,Australia,Australia,RUSH,2.16,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1998.0,Q39792,Jack Nicholson,Nicholson,,United States,United States,NICHOLSON,2.54,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,1999.0,Q23301,Roberto Benigni,Benigni,,Italy,Italy,BENIGNI,1.42,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2000.0,Q25144,Kevin Spacey,Fowler,,United States,United States,FOWLER,2.16,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2001.0,Q129817,Russell Crowe,Crowe,New Zealanders,Australia|New Zealand,New Zealand,CROWE,2.19,True,False,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2002.0,Q42101,Q42101,Washington,African Americans,United States,United States,WASHINGTON,2.54,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2003.0,Q104514,Adrien Brody,Brody,,United States,United States,BRODY,2.15,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2004.0,Q44221,Sean Penn,Penn,,United States,United States,PENN,4.49,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2005.0,Q171905,Jamie Foxx,Bishop|Foxx,African Americans,United States,United States,FOXX,2.21,True,True,False,False,False,False,False,False,False,1990-2014
Academy Award for Best Actor,film,2006.0,Q180560,Philip Seymour Hoffman,Hoffman,,United States,United States,HOFFMAN,2.12,True,True,False,False,False,False,False,False,False,1990-2014
