scope,group,winner_years,distinct_people,surname_unmatched_share,hispanic_share,hispanic_documented_share,hispanic_imputed_only_share,hispanic_share_thr50,hispanic_share_thr90,hispanic_share_upper_bound,mexico_linked_share,mexican_documented_share,us_citizen_share
all_winners,ALL,1466,1313,0.204,0.0464,0.0136,0.0327,0.0477,0.0355,0.0506,0.0116,0.013,0.8145
all_winners,period 1990-2014,1009,907,0.1903,0.0347,0.0089,0.0258,0.0357,0.0238,0.0379,0.0079,0.0079,0.8503
all_winners,period 2015-2025,457,426,0.2341,0.0722,0.0241,0.0481,0.0744,0.0613,0.08,0.0197,0.0241,0.7352
all_winners,family fellowship,565,565,0.2389,0.0513,0.0142,0.0372,0.0531,0.046,0.0605,0.0106,0.0124,0.8212
all_winners,family fellowship 1990-2014,360,360,0.2333,0.0361,0.0111,0.025,0.0389,0.0306,0.0399,0.0083,0.0083,0.8861
all_winners,family fellowship 2015-2025,205,205,0.2488,0.078,0.0195,0.0585,0.078,0.0732,0.0974,0.0146,0.0195,0.7073
all_winners,family film,284,249,0.1972,0.0352,0.0246,0.0106,0.0352,0.0246,0.0175,0.0246,0.0246,0.7148
all_winners,family film 1990-2014,191,171,0.178,0.0262,0.0105,0.0157,0.0262,0.0105,0.0191,0.0105,0.0105,0.7382
all_winners,family film 2015-2025,93,84,0.2366,0.0538,0.0538,0.0,0.0538,0.0538,0.0141,0.0538,0.0538,0.6667
all_winners,family letters,288,267,0.1528,0.0382,0.0139,0.0243,0.0417,0.0278,0.0451,0.0104,0.0139,0.9549
all_winners,family letters 1990-2014,205,191,0.1415,0.0195,0.0098,0.0098,0.0195,0.0098,0.0227,0.0098,0.0098,0.9756
all_winners,family letters 2015-2025,83,80,0.1807,0.0843,0.0241,0.0602,0.0964,0.0723,0.1029,0.012,0.0241,0.9036
all_winners,family medal,95,95,0.1579,0.0842,0.0105,0.0737,0.0842,0.0421,0.1,0.0105,0.0105,0.9684
all_winners,family medal 1990-2014,81,81,0.1481,0.0617,0.0123,0.0494,0.0617,0.0494,0.0725,0.0123,0.0123,0.9753
all_winners,family medal 2015-2025,14,14,0.2143,0.2143,0.0,0.2143,0.2143,0.0,0.2727,0.0,0.0,0.9286
all_winners,family music,142,110,0.1972,0.0352,0.0,0.0352,0.0352,0.0352,0.0439,0.0,0.0,0.6972
all_winners,family music 1990-2014,96,77,0.1667,0.0312,0.0,0.0312,0.0312,0.0312,0.0375,0.0,0.0,0.6979
all_winners,family music 2015-2025,46,35,0.2609,0.0435,0.0,0.0435,0.0435,0.0435,0.0588,0.0,0.0,0.6957
all_winners,family theatre,92,76,0.2283,0.0543,0.0,0.0543,0.0543,0.0217,0.0704,0.0,0.0,0.663
all_winners,family theatre 1990-2014,76,61,0.2237,0.0658,0.0,0.0658,0.0658,0.0263,0.0847,0.0,0.0,0.6842
all_winners,family theatre 2015-2025,16,16,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625
all_winners,award Academy Award for Best Actor,36,30,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944
all_winners,award Academy Award for Best Actress,36,32,0.2778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8611
all_winners,award Academy Award for Best Adapted Screenplay,50,49,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74
all_winners,award Academy Award for Best Director,38,33,0.2895,0.1316,0.1316,0.0,0.1316,0.1316,0.037,0.1316,0.1316,0.5263
all_winners,award Academy Award for Best Original Screenplay,52,51,0.25,0.0192,0.0192,0.0,0.0192,0.0192,0.0,0.0192,0.0192,0.6731
all_winners,award Academy Award for Best Supporting Actor,36,34,0.1111,0.0556,0.0,0.0556,0.0556,0.0,0.0625,0.0,0.0,0.8056
all_winners,award Academy Award for Best Supporting Actress,36,36,0.1944,0.0556,0.0278,0.0278,0.0556,0.0278,0.0345,0.0278,0.0278,0.7222
all_winners,award Grammy Award for Album of the Year,31,26,0.129,0.0323,0.0,0.0323,0.0323,0.0323,0.037,0.0,0.0,0.5806
all_winners,award Grammy Award for Best New Artist,29,29,0.1724,0.0345,0.0,0.0345,0.0345,0.0345,0.0417,0.0,0.0,0.8276
all_winners,award Grammy Award for Record of the Year,24,20,0.2917,0.0417,0.0,0.0417,0.0417,0.0417,0.0588,0.0,0.0,0.4167
all_winners,award Grammy Award for Song of the Year,23,23,0.3043,0.0435,0.0,0.0435,0.0435,0.0435,0.0625,0.0,0.0,0.5652
all_winners,award MacArthur Fellows Program,565,565,0.2389,0.0513,0.0142,0.0372,0.0531,0.046,0.0605,0.0106,0.0124,0.8212
all_winners,award National Book Award for Fiction,25,25,0.04,0.04,0.0,0.04,0.04,0.04,0.0417,0.0,0.0,1.0
all_winners,award National Book Award for Nonfiction,27,27,0.2222,0.0741,0.0741,0.0,0.0741,0.0741,0.0952,0.037,0.0741,0.9259
all_winners,award National Book Award for Poetry,24,24,0.0833,0.0833,0.0,0.0833,0.0833,0.0833,0.0909,0.0,0.0,0.9583
all_winners,award National Medal of Arts,95,95,0.1579,0.0842,0.0105,0.0737,0.0842,0.0421,0.1,0.0105,0.0105,0.9684
all_winners,award Pulitzer Prize for Biography or Autobiography,40,38,0.025,0.075,0.05,0.025,0.075,0.05,0.0769,0.05,0.05,0.95
all_winners,award Pulitzer Prize for Drama,33,32,0.1818,0.0606,0.0,0.0606,0.0606,0.0,0.0741,0.0,0.0,0.9697
all_winners,award Pulitzer Prize for Fiction,31,30,0.2258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9677
all_winners,award Pulitzer Prize for General Nonfiction,39,39,0.1795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9231
all_winners,award Pulitzer Prize for History,34,33,0.2059,0.0,0.0,0.0,0.0294,0.0,0.0,0.0,0.0,0.9412
all_winners,award Pulitzer Prize for Music,35,35,0.1429,0.0286,0.0,0.0286,0.0286,0.0286,0.0333,0.0,0.0,0.9714
all_winners,award Pulitzer Prize for Poetry,35,35,0.2,0.0286,0.0,0.0286,0.0286,0.0286,0.0357,0.0,0.0,0.9714
all_winners,award Tony Award for Best Direction of a Musical,28,27,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143
all_winners,award Tony Award for Best Direction of a Play,29,26,0.2414,0.1034,0.0,0.1034,0.1034,0.069,0.1364,0.0,0.0,0.5517
all_winners,award Tony Award for Best Musical,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all_winners,award Tony Award for Best Play,32,29,0.2188,0.0625,0.0,0.0625,0.0625,0.0,0.08,0.0,0.0,0.6875
us_citizens_only,ALL,1194,1075,0.1667,0.0385,0.0067,0.0318,0.0394,0.0293,0.0462,0.0042,0.0059,1.0
us_citizens_only,period 1990-2014,858,777,0.1632,0.0291,0.0058,0.0233,0.0291,0.0221,0.0348,0.0047,0.0047,1.0
us_citizens_only,period 2015-2025,336,313,0.1756,0.0625,0.0089,0.0536,0.0655,0.0476,0.0758,0.003,0.0089,1.0
us_citizens_only,family fellowship,464,464,0.2069,0.0431,0.0086,0.0345,0.0431,0.0388,0.0543,0.0043,0.0065,1.0
us_citizens_only,family fellowship 1990-2014,319,319,0.2132,0.0282,0.0063,0.0219,0.0282,0.0251,0.0359,0.0031,0.0031,1.0
us_citizens_only,family fellowship 2015-2025,145,145,0.1931,0.0759,0.0138,0.0621,0.0759,0.069,0.094,0.0069,0.0138,1.0
us_citizens_only,family film,203,178,0.1232,0.0049,0.0,0.0049,0.0049,0.0,0.0056,0.0,0.0,1.0
us_citizens_only,family film 1990-2014,141,126,0.1206,0.0071,0.0,0.0071,0.0071,0.0,0.0081,0.0,0.0,1.0
us_citizens_only,family film 2015-2025,62,56,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,family letters,275,254,0.1418,0.0327,0.0109,0.0218,0.0364,0.0218,0.0381,0.0073,0.0109,1.0
us_citizens_only,family letters 1990-2014,200,186,0.135,0.02,0.01,0.01,0.02,0.01,0.0231,0.01,0.01,1.0
us_citizens_only,family letters 2015-2025,75,72,0.16,0.0667,0.0133,0.0533,0.08,0.0533,0.0794,0.0,0.0133,1.0
us_citizens_only,family medal,92,92,0.1522,0.087,0.0109,0.0761,0.087,0.0435,0.1026,0.0109,0.0109,1.0
us_citizens_only,family medal 1990-2014,79,79,0.1519,0.0633,0.0127,0.0506,0.0633,0.0506,0.0746,0.0127,0.0127,1.0
us_citizens_only,family medal 2015-2025,13,13,0.1538,0.2308,0.0,0.2308,0.2308,0.0,0.2727,0.0,0.0,1.0
us_citizens_only,family music,99,84,0.1414,0.0505,0.0,0.0505,0.0505,0.0505,0.0588,0.0,0.0,1.0
us_citizens_only,family music 1990-2014,67,60,0.1045,0.0448,0.0,0.0448,0.0448,0.0448,0.05,0.0,0.0,1.0
us_citizens_only,family music 2015-2025,32,25,0.2188,0.0625,0.0,0.0625,0.0625,0.0625,0.08,0.0,0.0,1.0
us_citizens_only,family theatre,61,50,0.1803,0.0492,0.0,0.0492,0.0492,0.0328,0.06,0.0,0.0,1.0
us_citizens_only,family theatre 1990-2014,52,41,0.1731,0.0577,0.0,0.0577,0.0577,0.0385,0.0698,0.0,0.0,1.0
us_citizens_only,family theatre 2015-2025,9,9,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Academy Award for Best Actor,25,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Academy Award for Best Actress,31,27,0.2581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Academy Award for Best Adapted Screenplay,37,36,0.1351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Academy Award for Best Director,20,18,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Academy Award for Best Original Screenplay,35,34,0.0571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Academy Award for Best Supporting Actor,29,27,0.069,0.0345,0.0,0.0345,0.0345,0.0,0.037,0.0,0.0,1.0
us_citizens_only,award Academy Award for Best Supporting Actress,26,26,0.1154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Grammy Award for Album of the Year,18,16,0.0556,0.0556,0.0,0.0556,0.0556,0.0556,0.0588,0.0,0.0,1.0
us_citizens_only,award Grammy Award for Best New Artist,24,24,0.1667,0.0417,0.0,0.0417,0.0417,0.0417,0.05,0.0,0.0,1.0
us_citizens_only,award Grammy Award for Record of the Year,10,9,0.2,0.1,0.0,0.1,0.1,0.1,0.125,0.0,0.0,1.0
us_citizens_only,award Grammy Award for Song of the Year,13,13,0.2308,0.0769,0.0,0.0769,0.0769,0.0769,0.1,0.0,0.0,1.0
us_citizens_only,award MacArthur Fellows Program,464,464,0.2069,0.0431,0.0086,0.0345,0.0431,0.0388,0.0543,0.0043,0.0065,1.0
us_citizens_only,award National Book Award for Fiction,25,25,0.04,0.04,0.0,0.04,0.04,0.04,0.0417,0.0,0.0,1.0
us_citizens_only,award National Book Award for Nonfiction,25,25,0.2,0.08,0.08,0.0,0.08,0.08,0.1,0.04,0.08,1.0
us_citizens_only,award National Book Award for Poetry,23,23,0.087,0.0435,0.0,0.0435,0.0435,0.0435,0.0476,0.0,0.0,1.0
us_citizens_only,award National Medal of Arts,92,92,0.1522,0.087,0.0109,0.0761,0.087,0.0435,0.1026,0.0109,0.0109,1.0
us_citizens_only,award Pulitzer Prize for Biography or Autobiography,38,36,0.0263,0.0526,0.0263,0.0263,0.0526,0.0263,0.0541,0.0263,0.0263,1.0
us_citizens_only,award Pulitzer Prize for Drama,32,31,0.1562,0.0625,0.0,0.0625,0.0625,0.0,0.0741,0.0,0.0,1.0
us_citizens_only,award Pulitzer Prize for Fiction,30,29,0.2333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Pulitzer Prize for General Nonfiction,36,36,0.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Pulitzer Prize for History,32,31,0.1875,0.0,0.0,0.0,0.0312,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Pulitzer Prize for Music,34,34,0.1176,0.0294,0.0,0.0294,0.0294,0.0294,0.0333,0.0,0.0,1.0
us_citizens_only,award Pulitzer Prize for Poetry,34,34,0.2059,0.0294,0.0,0.0294,0.0294,0.0294,0.037,0.0,0.0,1.0
us_citizens_only,award Tony Award for Best Direction of a Musical,20,19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Tony Award for Best Direction of a Play,16,14,0.125,0.1875,0.0,0.1875,0.1875,0.125,0.2143,0.0,0.0,1.0
us_citizens_only,award Tony Award for Best Musical,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
us_citizens_only,award Tony Award for Best Play,22,20,0.2273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
