cut,level,acs_hh_m,cps25_m,cps26_m,cps25_over_acs
citizenship,naturalized,3.804613,4.10137025,4.340538270000001,1.07799932608126
citizenship,noncitizen,7.200719,8.12984364,6.768408849999999,1.1290322035896694
state,California,3.909819,3.92808846,3.6443920199999997,1.004672712470833
state,Texas,2.397243,2.3752124699999997,2.3764342300000005,0.9908100555513144
state,Illinois,0.630095,0.70562742,0.64362038,1.1198746538220428
state,Arizona,0.490936,0.66103458,0.6057766899999999,1.3464781152736813
state,all other,3.577239,4.561250960000001,3.8387238,1.2750758224429513
total,Mexico-born FB,11.005332,12.231213890000001,11.10894712,1.1113898145008259
total,Mexican self-ID,38.292815,40.360114679999995,40.629631700000004,1.0539866207276742
total,All Hispanic,66.7644,68.52643375999999,70.06280444,1.0263918159977472
total,All foreign-born,49.542033,53.11819486,52.32489061,1.0721843986499302
total,Population,331.722429,337.68964157,338.55489354,1.017988571312433
